Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.37,0.24,-0.72,-0.59,-0.01,-0
Other Operating Activities,-0.57,-0.38,0.54,-0.21,0.01,-
Operating Cash Flow,-0.19,-0.14,-0.18,-0.8,-0,-0
Change in Investments,0.53,0,0,-116.15,-0.1,0
Investing Cash Flow,0.53,0,0,-116.15,-0.1,0
Share Issuance / Repurchase,0,0,0,118.26,0,0
Debt Issued / Paid,0,0,0,-0.08,0.03,0.06
Other Financing Activities,-,-,-,-0.43,0.07,-0.06
Financing Cash Flow,0,0,0,117.75,0.09,-0
Net Cash Flow,0.33,-0.14,-0.18,0.8,-0.01,-0
Free Cash Flow,-0.19,-0.14,-0.18,-0.8,-0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.06,-0.00,-
