Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,105.23,93.97,84.02,76.99,71.42,60.5,49.77,48.01,45.63,43.87,Upgrade
Revenue Growth (YoY),11.98%,11.85%,9.13%,7.79%,18.05%,21.55%,3.67%,5.21%,4.03%,5.61%,Upgrade
Gross Profit,105.23,93.97,84.02,76.99,71.42,60.5,49.77,48.01,45.63,43.87,Upgrade
"Selling, General & Admin",49.88,49.41,47.12,39.74,37.46,33.11,29.38,28.04,26.46,25.61,Upgrade
Other Operating Expenses,10.41,9.54,14.19,7.88,7.24,10.97,5.75,5.19,5.81,6.41,Upgrade
Operating Expenses,60.28,58.95,61.32,47.62,44.7,44.08,35.14,33.23,32.26,32.02,Upgrade
Operating Income,44.95,35.02,22.7,29.37,26.72,16.42,14.64,14.78,13.37,11.85,Upgrade
Pretax Income,44.95,35.02,22.7,29.37,26.72,16.42,14.64,14.78,13.37,11.85,Upgrade
Income Tax,9.2,7.19,4.31,5.65,4.97,6.63,3.77,3.76,3.08,2.54,Upgrade
Net Income,35.75,27.83,18.39,23.72,21.75,9.79,10.87,11.02,10.29,9.32,Upgrade
Net Income Growth,28.45%,51.32%,-22.46%,9.07%,122.19%,-9.95%,-1.34%,7.07%,10.47%,4.83%,Upgrade
Shares Outstanding (Basic),9,9,9,7,7,7,6,6,6,6,Upgrade
Shares Change,-2.12%,-0.09%,23.02%,0.46%,0.32%,15.82%,0.44%,0.39%,0.41%,0.44%,Upgrade
EPS (Basic),4.15,3.19,2.13,3.36,3.09,1.50,1.80,1.83,1.71,1.56,Upgrade
EPS (Diluted),4.15,3.19,2.13,3.36,3.09,1.50,1.80,1.83,1.71,1.56,Upgrade
EPS Growth,30.09%,49.77%,-36.61%,8.74%,106.00%,-16.67%,-1.64%,7.02%,9.62%,4.70%,Upgrade
Free Cash Flow Per Share,4.52,4.69,2.85,3.44,3.95,2.17,1.93,2.10,1.27,2.63,Upgrade
Dividend Per Share,1.060,1.030,1.000,0.980,0.890,0.800,0.800,0.800,0.770,0.760,Upgrade
Dividend Growth,2.91%,3.00%,2.04%,10.11%,11.25%,0%,0%,3.90%,1.32%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,42.72%,37.27%,27.02%,38.14%,37.41%,27.14%,29.41%,30.78%,29.30%,27.01%,Upgrade
Profit Margin,33.97%,29.62%,21.89%,30.81%,30.45%,16.18%,21.84%,22.95%,22.55%,21.24%,Upgrade
Free Cash Flow Margin,36.57%,43.38%,29.53%,31.61%,38.92%,25.22%,23.52%,26.33%,16.80%,35.96%,Upgrade
Effective Tax Rate,20.46%,20.52%,18.98%,19.22%,18.61%,40.40%,25.74%,25.45%,23.04%,21.39%,Upgrade
EBITDA,48.75,38.46,26.35,32.06,29.57,18.71,16.44,16.53,15.43,13.84,Upgrade
EBITDA Margin,46.32%,40.93%,31.37%,41.65%,41.41%,30.93%,33.02%,34.44%,33.82%,31.56%,Upgrade
Depreciation & Amortization,3.8,3.44,3.65,2.7,2.85,2.29,1.8,1.76,2.06,1.99,Upgrade
EBIT,44.95,35.02,22.7,29.37,26.72,16.42,14.64,14.78,13.37,11.85,Upgrade
EBIT Margin,42.72%,37.27%,27.02%,38.14%,37.41%,27.14%,29.41%,30.78%,29.30%,27.01%,Upgrade
