Year,2022,2021,2020
"Selling, General & Admin",2.54,1.8,0.09
Operating Expenses,2.54,1.8,0.09
Operating Income,-2.54,-1.8,-0.09
Interest Expense / Income,0.04,0.01,0
Other Expense / Income,5.11,-0.9,0.48
Pretax Income,-7.69,-0.9,-0.57
Net Income,-7.69,-0.9,-0.57
Shares Outstanding (Basic),6,12,3
Shares Outstanding (Diluted),6,12,3
Shares Change,-49.80%,298.75%,-
EPS (Basic),-1.30,-0.08,-0.08
EPS (Diluted),-1.30,-0.08,-0.08
Free Cash Flow Per Share,-0.25,-0.07,-0.04
EBITDA,-7.65,-0.89,-0.57
EBIT,-7.65,-0.89,-0.57
