Year,2022,2021,2020,2019
"Selling, General & Admin",1.01,6.61,27.67,20.17
Research & Development,0,0,97.92,60.94
Other Operating Expenses,0,0,4.13,1.76
Operating Expenses,1.01,6.61,129.72,82.87
Operating Income,-1.01,-6.61,-129.72,-82.87
Other Expense / Income,-2.08,-0.05,0.12,0.11
Pretax Income,1.07,-6.56,-129.84,-82.98
Net Income,1.07,-6.56,-129.84,-82.98
Shares Outstanding (Basic),19,17,100,100
Shares Outstanding (Diluted),19,17,100,100
Shares Change,16.00%,-83.46%,-,-
EPS (Basic),0.06,-0.40,-1298.00,-830.00
EPS (Diluted),0.06,-0.40,-1298.00,-830.00
Free Cash Flow Per Share,-0.03,-0.07,-,-
EBITDA,1.07,-6.56,-,-
EBIT,1.07,-6.56,-129.84,-82.98
