Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,51.21,55.28,76.89,33.42,20.61,14.42,12.26,10.9,9.94,6.78,Upgrade
Revenue Growth (YoY),-7.36%,-28.10%,130.06%,62.19%,42.93%,17.59%,12.53%,9.65%,46.46%,50.39%,Upgrade
Gross Profit,51.21,55.28,76.89,33.42,20.61,14.42,12.26,10.9,9.94,6.78,Upgrade
"Selling, General & Admin",20.68,24.25,31.54,17.29,12.17,8.5,7.3,6.95,6.49,5.17,Upgrade
Other Operating Expenses,7.94,8.22,9.06,4.09,3.1,2.46,2.52,2.66,2.97,2.54,Upgrade
Operating Expenses,28.62,32.46,40.6,21.38,15.28,10.96,9.82,9.61,9.46,7.7,Upgrade
Operating Income,22.59,22.82,36.28,12.04,5.33,3.46,2.44,1.28,0.48,-0.92,Upgrade
Pretax Income,22.59,22.82,36.28,12.04,5.33,3.46,2.44,1.28,0.48,-0.92,Upgrade
Income Tax,4.43,4.37,6.68,2.44,1.06,2.12,0.81,-3.19,0,0,Upgrade
Net Income,18.16,18.45,29.61,9.6,4.27,1.35,1.63,4.48,0.48,-0.92,Upgrade
Preferred Dividends,0,0,2.28,0.21,0,0.67,0.86,0.86,0.42,0,Upgrade
Net Income Common,18.16,18.45,27.33,9.39,4.27,0.68,0.77,3.62,0.06,-0.92,Upgrade
Net Income Growth,-1.57%,-32.48%,191.03%,119.75%,528.38%,-11.69%,-78.73%,6141.38%,-,-,Upgrade
Shares Outstanding (Basic),6,7,7,5,4,4,3,3,3,3,Upgrade
Shares Change,-1.40%,0.19%,22.96%,24.24%,2.17%,44.58%,-0.19%,1.33%,-,-0.01%,Upgrade
EPS (Basic),2.84,2.84,4.53,2.05,1.02,0.21,0.28,1.26,-,-0.33,Upgrade
EPS (Diluted),2.78,2.77,4.47,2.03,1.00,0.19,0.28,1.10,-,-0.33,Upgrade
EPS Growth,0.36%,-38.03%,120.20%,103.00%,426.32%,-30.91%,-75.00%,-,-,-,Upgrade
Free Cash Flow Per Share,5.99,38.11,-18.86,-19.47,-2.89,0.86,0.60,1.74,0.21,-1.55,Upgrade
Dividend Per Share,0.180,0.130,0.030,-,-,-,-,-,-,-,Upgrade
Dividend Growth,38.46%,333.33%,-,-,-,-,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,44.11%,41.28%,47.19%,36.03%,25.87%,24.01%,19.88%,11.79%,4.82%,-13.53%,Upgrade
Profit Margin,35.47%,33.38%,35.54%,28.10%,20.74%,4.72%,6.28%,33.23%,0.58%,-13.53%,Upgrade
Free Cash Flow Margin,75.88%,453.54%,-161.08%,-311.13%,-60.29%,25.24%,14.23%,46.42%,5.98%,-65.96%,Upgrade
Effective Tax Rate,19.60%,19.13%,18.40%,20.26%,19.83%,61.11%,33.24%,-248.68%,-,-,Upgrade
EBITDA,22.21,20.75,35.15,12.26,5.54,3.58,2.58,1.52,0.9,-0.28,Upgrade
EBITDA Margin,43.36%,37.53%,45.72%,36.69%,26.87%,24.81%,21.06%,13.95%,9.06%,-4.07%,Upgrade
Depreciation & Amortization,-0.39,-2.07,-1.13,0.22,0.21,0.12,0.15,0.24,0.42,0.64,Upgrade
EBIT,22.59,22.82,36.28,12.04,5.33,3.46,2.44,1.28,0.48,-0.92,Upgrade
EBIT Margin,44.11%,41.28%,47.19%,36.03%,25.87%,24.01%,19.88%,11.79%,4.82%,-13.53%,Upgrade
