Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,49.98,46.31,39.28,38.13,36.26,35.01,31.39,32.29,32.06,28.31,Upgrade
Revenue Growth (YoY),7.94%,17.90%,3.01%,5.16%,3.57%,11.53%,-2.78%,0.71%,13.25%,11.37%,Upgrade
Gross Profit,49.98,46.31,39.28,38.13,36.26,35.01,31.39,32.29,32.06,28.31,Upgrade
"Selling, General & Admin",28.93,25.47,24.85,23.51,22.35,20.75,19.14,17.23,17.56,18.32,Upgrade
Other Operating Expenses,2.35,2.52,2.67,3.24,3.69,3.8,3.41,10.05,2.52,3.81,Upgrade
Operating Expenses,31.27,28,27.52,26.76,26.04,24.55,22.55,27.28,20.08,22.14,Upgrade
Operating Income,18.71,18.31,11.76,11.37,10.22,10.46,8.84,5.01,11.98,6.17,Upgrade
Pretax Income,18.71,18.31,11.76,11.37,10.22,10.46,8.84,5.01,11.98,6.17,Upgrade
Income Tax,5.26,5.21,3.51,3.41,2.81,5.55,3.61,2.14,4.93,-2.81,Upgrade
Net Income,13.45,13.1,8.25,7.96,7.41,4.92,5.23,2.87,7.05,8.99,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0.32,0.78,1.04,Upgrade
Net Income Common,13.45,13.1,8.25,7.96,7.41,4.92,5.23,2.55,6.27,7.95,Upgrade
Net Income Growth,2.66%,58.90%,3.54%,7.48%,50.74%,-6.00%,104.74%,-59.25%,-21.13%,273.62%,Upgrade
Shares Outstanding (Basic),9,9,8,8,8,8,8,8,8,7,Upgrade
Shares Outstanding (Diluted),9,9,9,9,8,9,8,8,9,8,Upgrade
Shares Change,1.94%,2.11%,-0.42%,1.51%,-1.61%,1.72%,-0.55%,-0.16%,1.37%,1.91%,Upgrade
EPS (Basic),1.54,1.53,0.97,0.94,0.89,0.60,0.64,0.31,0.77,1.13,Upgrade
EPS (Diluted),1.51,1.50,0.97,0.93,0.88,0.57,0.62,0.30,0.75,0.98,Upgrade
EPS Growth,0.67%,54.64%,4.30%,5.68%,54.39%,-8.06%,106.67%,-60.00%,-23.47%,216.13%,Upgrade
Free Cash Flow Per Share,0.64,2.57,1.83,1.39,1.78,1.46,0.77,0.81,0.74,1.54,Upgrade
Dividend Per Share,0.295,0.270,0.195,0.215,0.190,0.155,0.135,0.110,0.040,-,Upgrade
Dividend Growth,9.26%,38.46%,-9.30%,13.16%,22.58%,14.81%,22.73%,175.00%,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,37.43%,39.55%,29.93%,29.83%,28.18%,29.89%,28.17%,15.51%,37.37%,21.81%,Upgrade
Profit Margin,26.91%,28.29%,20.99%,20.88%,20.43%,14.04%,16.66%,7.91%,19.55%,28.07%,Upgrade
Free Cash Flow Margin,11.24%,47.54%,39.48%,30.93%,40.70%,34.02%,19.92%,20.57%,18.85%,38.09%,Upgrade
Effective Tax Rate,28.12%,28.46%,29.86%,29.99%,27.49%,53.02%,40.86%,42.69%,41.19%,-45.55%,Upgrade
EBITDA,19.42,19.09,12.58,12.24,10.98,11.15,9.52,5.41,12.3,6.47,Upgrade
EBITDA Margin,38.86%,41.23%,32.02%,32.10%,30.29%,31.84%,30.33%,16.75%,38.38%,22.87%,Upgrade
Depreciation & Amortization,0.71,0.78,0.82,0.86,0.76,0.69,0.68,0.4,0.32,0.3,Upgrade
EBIT,18.71,18.31,11.76,11.37,10.22,10.46,8.84,5.01,11.98,6.17,Upgrade
EBIT Margin,37.43%,39.55%,29.93%,29.83%,28.18%,29.89%,28.17%,15.51%,37.37%,21.81%,Upgrade
