Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,200.33,209.97,154.98,162.25,150.41,133.98,128.81,118.27,111.34,107.35,Upgrade
Revenue Growth (YoY),-4.59%,35.49%,-4.48%,7.87%,12.26%,4.02%,8.91%,6.23%,3.71%,1.11%,Upgrade
Gross Profit,200.33,209.97,154.98,162.25,150.41,133.98,128.81,118.27,111.34,107.35,Upgrade
"Selling, General & Admin",111.92,99.38,95.55,90.9,86.63,78.16,74.12,68.38,62.23,60.12,Upgrade
Other Operating Expenses,17.44,13.37,13.71,11.93,14.25,12.35,10.55,11.01,10.13,9.33,Upgrade
Operating Expenses,129.36,112.75,109.25,102.83,100.88,90.51,84.67,79.39,72.36,69.44,Upgrade
Operating Income,70.97,97.22,45.72,59.42,49.53,43.47,44.14,38.88,38.98,37.91,Upgrade
Pretax Income,70.97,97.22,45.72,59.42,49.53,43.47,44.14,38.88,38.98,37.91,Upgrade
Income Tax,14.4,19.53,7.39,10.56,10.01,9.95,12.21,10.54,9.63,12.38,Upgrade
Net Income,56.57,77.7,38.33,48.86,39.53,33.53,31.93,28.34,29.36,25.53,Upgrade
Preferred Dividends,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.47,Upgrade
Net Income Common,55.11,76.24,36.87,47.4,38.07,32.06,30.47,26.88,27.89,24.06,Upgrade
Net Income Growth,-27.71%,106.77%,-22.21%,24.53%,18.72%,5.23%,13.37%,-3.65%,15.91%,9.51%,Upgrade
Shares Outstanding (Basic),15,16,16,16,16,15,14,14,14,14,Upgrade
Shares Outstanding (Diluted),15,16,16,16,16,15,14,14,14,14,Upgrade
Shares Change,-2.92%,-0.78%,0.20%,0.47%,5.77%,4.10%,2.52%,1.36%,1.18%,0.24%,Upgrade
EPS (Basic),3.58,4.81,2.30,2.97,2.39,2.13,2.11,1.91,2.01,1.75,Upgrade
EPS (Diluted),3.56,4.78,2.30,2.96,2.39,2.13,2.10,1.90,2.00,1.75,Upgrade
EPS Growth,-25.52%,107.83%,-22.30%,23.85%,12.21%,1.43%,10.53%,-5.00%,14.29%,9.38%,Upgrade
Free Cash Flow Per Share,8.14,4.01,2.45,3.38,3.92,2.56,2.71,2.53,2.15,2.46,Upgrade
Dividend Per Share,1.160,1.080,1.040,1.000,0.960,0.850,0.810,0.800,0.770,0.740,Upgrade
Dividend Growth,7.41%,3.85%,4.00%,4.17%,12.94%,4.94%,1.25%,3.90%,4.05%,29.82%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,35.43%,46.30%,29.50%,36.62%,32.93%,32.44%,34.27%,32.87%,35.01%,35.31%,Upgrade
Profit Margin,27.51%,36.31%,23.79%,29.21%,25.31%,23.93%,23.65%,22.72%,25.05%,22.42%,Upgrade
Free Cash Flow Margin,62.50%,30.27%,25.29%,33.33%,41.42%,28.76%,30.33%,30.10%,26.85%,31.47%,Upgrade
Effective Tax Rate,20.29%,20.08%,16.16%,17.77%,20.20%,22.88%,27.66%,27.11%,24.69%,32.65%,Upgrade
EBITDA,84.05,110.76,57.09,69.7,58.47,52.95,53.29,47.46,46.8,46.62,Upgrade
EBITDA Margin,41.96%,52.75%,36.84%,42.96%,38.87%,39.52%,41.37%,40.12%,42.04%,43.43%,Upgrade
Depreciation & Amortization,13.08,13.54,11.37,10.28,8.93,9.48,9.15,8.58,7.82,8.71,Upgrade
EBIT,70.97,97.22,45.72,59.42,49.53,43.47,44.14,38.88,38.98,37.91,Upgrade
EBIT Margin,35.43%,46.30%,29.50%,36.62%,32.93%,32.44%,34.27%,32.87%,35.01%,35.31%,Upgrade
