Year,2022,2021,2020,2019,2018,2017
Revenue,15.75,16.3,14.24,13.04,12.67,12.44
Revenue Growth (YoY),-3.39%,14.48%,9.24%,2.90%,1.88%,-
Gross Profit,15.75,16.3,14.24,13.04,12.67,12.44
"Selling, General & Admin",14.22,11.05,11.12,10.63,9.53,9.04
Other Operating Expenses,2.55,2.04,2.07,2.67,1.83,1.78
Operating Expenses,16.77,13.08,13.19,13.31,11.36,10.82
Operating Income,-1.02,3.22,1.06,-0.27,1.31,1.61
Pretax Income,-1.02,3.22,1.06,-0.27,1.31,1.61
Income Tax,-0.45,0.6,-0.02,-0.19,0.23,0.7
Net Income,-0.57,2.62,1.08,-0.08,1.08,0.91
Net Income Growth,-,142.91%,-,-,18.42%,-
Shares Outstanding (Basic),6,6,5,2,5,-
Shares Outstanding (Diluted),6,6,5,2,-,-
Shares Change,-0.86%,18.68%,117.66%,-55.71%,-,-
EPS (Basic),-0.10,0.45,0.21,-0.04,-,-
EPS (Diluted),-0.10,0.45,0.21,-0.04,-,-
EPS Growth,-,109.30%,-,-,-,-
Free Cash Flow Per Share,0.15,0.41,0.23,0.34,-0.17,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-6.45%,19.76%,7.41%,-2.06%,10.36%,12.97%
Profit Margin,-3.59%,16.08%,7.58%,-0.61%,8.52%,7.33%
Free Cash Flow Margin,5.52%,14.63%,7.76%,5.91%,-6.70%,15.81%
Effective Tax Rate,-,18.65%,-2.27%,-,17.68%,43.46%
EBITDA,-0.49,3.78,1.63,0.26,1.85,2.17
EBITDA Margin,-3.14%,23.20%,11.45%,1.99%,14.61%,17.47%
Depreciation & Amortization,0.52,0.56,0.58,0.53,0.54,0.56
EBIT,-1.02,3.22,1.06,-0.27,1.31,1.61
EBIT Margin,-6.45%,19.76%,7.41%,-2.06%,10.36%,12.97%
