Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Revenue,387.8,307.13,298.95,172.3,152.17,137.76,127.87,119.97,109.53,83.77,Upgrade
Revenue Growth (YoY),26.27%,2.73%,73.51%,13.23%,10.46%,7.74%,6.59%,9.53%,30.74%,44.79%,Upgrade
Cost of Revenue,89.72,61.07,73.07,36.77,37.32,31.38,29.29,30.56,27.18,21.59,Upgrade
Gross Profit,298.08,246.05,225.88,135.52,114.85,106.39,98.59,89.41,82.35,62.18,Upgrade
"Selling, General & Admin",5.33,5.42,5.93,3.24,3.2,2.95,3.34,3.53,3.06,2.73,Upgrade
Other Operating Expenses,7.19,7.23,6.04,2.68,2.46,2.34,2.21,2.37,2.53,2.63,Upgrade
Operating Expenses,12.52,12.64,11.96,5.92,5.65,5.29,5.55,5.91,5.58,5.36,Upgrade
Operating Income,285.57,233.41,213.92,129.6,109.2,101.1,93.04,83.51,76.76,56.82,Upgrade
Interest Expense / Income,89.38,65.74,74.86,43.53,33.17,31.53,27.72,24.51,20.23,12.43,Upgrade
Other Expense / Income,42.68,-172.61,84.19,104.65,-5.95,-12.74,-4.22,-11.79,-8.85,-2.13,Upgrade
Pretax Income,153.51,340.28,54.87,-18.58,81.97,82.31,69.54,70.79,65.39,46.52,Upgrade
Income Tax,0.07,0,0,0,0,0.02,0.33,0,0,0,Upgrade
Net Income,153.44,340.28,54.87,-18.58,81.97,82.29,69.2,70.79,65.39,46.52,Upgrade
Net Income Growth,-54.91%,520.13%,-,-,-0.39%,18.91%,-2.24%,8.26%,40.56%,46.47%,Upgrade
Shares Outstanding (Basic),171,168,149,65,62,57,52,49,45,34,Upgrade
Shares Outstanding (Diluted),171,168,149,65,62,57,52,49,45,34,Upgrade
Shares Change,1.60%,12.81%,127.39%,6.06%,8.49%,9.56%,5.98%,8.26%,31.36%,42.01%,Upgrade
EPS (Basic),0.90,2.03,0.37,-0.28,1.33,1.45,1.33,1.44,1.44,1.35,Upgrade
EPS (Diluted),0.90,2.03,0.37,-0.28,1.33,1.45,1.33,1.44,1.44,1.35,Upgrade
EPS Growth,-55.67%,448.65%,-,-,-8.28%,9.02%,-7.64%,0%,6.67%,3.05%,Upgrade
Free Cash Flow Per Share,-2.44,-1.82,1.26,-1.81,-0.14,1.09,-1.08,-2.11,-5.64,-8.63,Upgrade
Dividend Per Share,1.200,1.160,1.370,1.400,1.360,1.530,1.280,1.280,1.280,1.280,Upgrade
Dividend Growth,3.45%,-15.33%,-2.14%,2.94%,-11.11%,19.53%,0%,0%,0%,0%,Upgrade
Gross Margin,76.86%,80.11%,75.56%,78.66%,75.47%,77.23%,77.10%,74.53%,75.18%,74.22%,Upgrade
Operating Margin,73.64%,76.00%,71.56%,75.22%,71.76%,73.38%,72.76%,69.61%,70.09%,67.83%,Upgrade
Profit Margin,39.57%,110.80%,18.35%,-10.78%,53.87%,59.73%,54.12%,59.01%,59.70%,55.53%,Upgrade
Free Cash Flow Margin,-107.39%,-99.65%,62.78%,-68.75%,-5.57%,45.15%,-43.86%,-86.06%,-233.34%,-355.25%,Upgrade
Effective Tax Rate,0.05%,-,-,-,-,0.02%,0.48%,-,-,-,Upgrade
EBITDA,242.89,406.02,129.73,24.95,115.14,113.84,97.26,95.3,85.62,58.95,Upgrade
EBITDA Margin,62.63%,132.20%,43.39%,14.48%,75.67%,82.63%,76.06%,79.44%,78.17%,70.36%,Upgrade
EBIT,242.89,406.02,129.73,24.95,115.14,113.84,97.26,95.3,85.62,58.95,Upgrade
EBIT Margin,62.63%,132.20%,43.39%,14.48%,75.67%,82.63%,76.06%,79.44%,78.17%,70.36%,Upgrade
