Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Revenue,66.86,58.84,49.58,46.7,40.87,34.9,30.51,27.54,25.18,24.49,Upgrade
Revenue Growth (YoY),13.64%,18.68%,6.16%,14.28%,17.11%,14.36%,10.80%,9.36%,2.81%,2.80%,Upgrade
Gross Profit,66.86,58.84,49.58,46.7,40.87,34.9,30.51,27.54,25.18,24.49,Upgrade
"Selling, General & Admin",24.88,23.04,20.62,18.82,16.24,14.48,13.32,12.73,11.7,10.9,Upgrade
Other Operating Expenses,9.08,8.19,7.2,6.86,6.12,5.48,5.55,5.3,4.41,4.55,Upgrade
Operating Expenses,33.96,31.22,27.82,25.68,22.36,19.97,18.87,18.03,16.12,15.45,Upgrade
Operating Income,32.91,27.62,21.76,21.03,18.5,14.93,11.64,9.51,9.07,9.04,Upgrade
Pretax Income,32.91,27.62,21.76,21.03,18.5,14.93,11.64,9.51,9.07,9.04,Upgrade
Income Tax,4.92,3.67,3.03,3.54,4.1,3.74,2.68,2.32,2.54,2.67,Upgrade
Net Income,27.99,23.94,18.73,17.48,14.41,11.19,8.96,7.19,6.53,6.37,Upgrade
Net Income Growth,16.89%,27.85%,7.11%,21.35%,28.79%,24.81%,24.68%,10.13%,2.46%,9.28%,Upgrade
Shares Outstanding (Basic),17,17,17,17,17,17,17,17,17,17,Upgrade
Shares Outstanding (Diluted),17,17,17,17,17,17,17,17,17,17,Upgrade
Shares Change,-,-0.19%,-0.09%,0.03%,0.26%,0.43%,-0.25%,0.18%,0.42%,0.63%,Upgrade
EPS (Basic),1.65,1.41,1.10,1.02,0.84,0.66,0.53,0.42,0.39,0.38,Upgrade
EPS (Diluted),1.65,1.41,1.10,1.02,0.84,0.66,0.53,0.42,0.39,0.38,Upgrade
EPS Growth,17.08%,27.73%,7.32%,21.30%,29.01%,23.58%,24.71%,10.39%,1.85%,8.93%,Upgrade
Free Cash Flow Per Share,2.02,1.56,1.50,1.23,1.20,0.82,0.79,0.71,0.64,0.61,Upgrade
Dividend Per Share,0.260,0.240,0.220,0.200,0.195,0.190,0.185,0.180,0.175,0.175,Upgrade
Dividend Growth,8.33%,9.09%,10.00%,2.56%,2.63%,2.70%,2.78%,2.86%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,49.21%,46.93%,43.88%,45.02%,45.28%,42.78%,38.15%,34.52%,36.00%,36.92%,Upgrade
Profit Margin,41.86%,40.69%,37.77%,37.44%,35.26%,32.06%,29.37%,26.10%,25.92%,26.01%,Upgrade
Free Cash Flow Margin,51.30%,45.04%,51.65%,45.04%,49.79%,40.04%,43.56%,43.74%,42.93%,41.43%,Upgrade
Effective Tax Rate,14.95%,13.30%,13.92%,16.85%,22.13%,25.06%,23.01%,24.38%,27.99%,29.55%,Upgrade
EBITDA,33.73,28.39,22.47,21.66,19.14,15.57,12.27,10.05,9.68,9.78,Upgrade
EBITDA Margin,50.45%,48.25%,45.32%,46.39%,46.83%,44.61%,40.22%,36.50%,38.45%,39.93%,Upgrade
Depreciation & Amortization,0.83,0.78,0.71,0.64,0.64,0.64,0.63,0.55,0.62,0.74,Upgrade
EBIT,32.91,27.62,21.76,21.03,18.5,14.93,11.64,9.51,9.07,9.04,Upgrade
EBIT Margin,49.21%,46.93%,43.88%,45.02%,45.28%,42.78%,38.15%,34.52%,36.00%,36.92%,Upgrade
