Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Revenue,258.45,317.54,311.68,301.01,351.99,239.18,335.52,261.56,275.23,287.15,Upgrade
Revenue Growth (YoY),-18.61%,1.88%,3.54%,-14.48%,47.16%,-28.71%,28.28%,-4.97%,-4.15%,0.73%,Upgrade
Gross Profit,258.45,317.54,311.68,301.01,351.99,239.18,335.52,261.56,275.23,287.15,Upgrade
"Selling, General & Admin",205.21,211.58,222.11,214.76,230.61,194.06,213.94,181.05,177.92,185.55,Upgrade
Other Operating Expenses,32.67,34.7,34.32,40.41,40.51,38.23,30.47,34.74,28.61,29.41,Upgrade
Operating Expenses,237.88,246.28,256.43,255.17,271.12,232.28,244.41,215.79,206.53,214.95,Upgrade
Operating Income,20.57,71.26,55.25,45.84,80.87,6.9,91.11,45.77,68.71,72.2,Upgrade
Interest Expense / Income,15.47,12.15,15.49,27.42,22.44,7.2,3.23,2.48,1.24,1,Upgrade
Pretax Income,5.1,59.11,39.76,18.42,58.43,-0.3,87.88,43.3,67.47,71.21,Upgrade
Income Tax,1.83,16.8,8.43,7.45,19.21,26.35,27.12,17.7,24.08,24.52,Upgrade
Net Income,3.27,42.31,31.33,10.98,39.22,-26.65,60.76,25.6,43.39,46.68,Upgrade
Net Income Growth,-92.26%,35.04%,185.43%,-72.01%,-,-,137.37%,-41.00%,-7.06%,10.90%,Upgrade
Shares Outstanding (Basic),18,19,19,24,27,32,32,31,30,30,Upgrade
Shares Outstanding (Diluted),22,25,23,24,28,32,32,31,30,30,Upgrade
Shares Change,-10.66%,6.18%,-4.92%,-12.18%,-13.83%,0.00%,2.80%,2.78%,0.65%,-1.31%,Upgrade
EPS (Basic),0.18,2.21,1.65,0.46,1.46,-0.83,1.90,0.82,1.43,1.55,Upgrade
EPS (Diluted),0.15,1.73,1.36,0.45,1.42,-0.83,1.89,0.82,1.43,1.55,Upgrade
EPS Growth,-91.33%,27.21%,202.22%,-68.31%,-,-,130.49%,-42.66%,-7.74%,12.32%,Upgrade
Free Cash Flow Per Share,1.14,6.58,3.54,0.53,4.31,0.39,3.82,2.90,3.32,2.21,Upgrade
Dividend Per Share,0.400,0.200,0.200,0.200,0.200,1.400,1.800,1.800,1.800,1.800,Upgrade
Dividend Growth,100.00%,0%,0%,0%,-85.71%,-22.22%,0%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,7.96%,22.44%,17.73%,15.23%,22.97%,2.88%,27.15%,17.50%,24.96%,25.14%,Upgrade
Profit Margin,1.27%,13.32%,10.05%,3.65%,11.14%,-11.14%,18.11%,9.79%,15.76%,16.26%,Upgrade
Free Cash Flow Margin,8.03%,39.65%,21.49%,4.21%,32.82%,5.28%,36.51%,34.60%,36.64%,23.21%,Upgrade
Effective Tax Rate,35.82%,28.42%,21.19%,40.41%,32.87%,-,30.86%,40.88%,35.69%,34.44%,Upgrade
EBITDA,24.93,76.05,59.2,50.33,86.04,10.01,94.35,49.21,71.94,76.66,Upgrade
EBITDA Margin,9.65%,23.95%,18.99%,16.72%,24.45%,4.19%,28.12%,18.81%,26.14%,26.70%,Upgrade
Depreciation & Amortization,4.36,4.79,3.95,4.49,5.18,3.11,3.24,3.43,3.23,4.46,Upgrade
EBIT,20.57,71.26,55.25,45.84,80.87,6.9,91.11,45.77,68.71,72.2,Upgrade
EBIT Margin,7.96%,22.44%,17.73%,15.23%,22.97%,2.88%,27.15%,17.50%,24.96%,25.14%,Upgrade
