Year,2022,2021,2020,2019,2018
Revenue,"1,164.82","1,576.31","1,622.05",712.89,722.92
Revenue Growth (YoY),-26.10%,-2.82%,127.53%,-1.39%,-
Cost of Revenue,619.19,"1,019.79",953.76,578.17,510.25
Gross Profit,545.64,556.52,668.29,134.72,212.67
"Selling, General & Admin",109.79,158.62,159.02,117.66,103.46
Other Operating Expenses,15.83,10.97,15.2,11.23,11.61
Operating Expenses,125.62,169.59,174.22,128.89,115.07
Operating Income,420.02,386.93,494.07,5.83,97.59
Other Expense / Income,0.03,0.01,-,-,-
Pretax Income,419.99,386.92,494.07,5.83,97.59
Income Tax,91.39,103.15,123.49,0.25,24.26
Net Income,328.6,283.77,370.58,5.58,73.33
Net Income Growth,15.80%,-23.42%,6544.74%,-92.39%,-
Shares Outstanding (Basic),61,61,60,60,-
Shares Outstanding (Diluted),61,61,60,-,-
Shares Change,0.91%,1.28%,0.09%,-,-
EPS (Basic),5.39,4.69,6.18,-,-
EPS (Diluted),5.35,4.67,6.17,-,-
EPS Growth,14.56%,-24.31%,-,-,-
Free Cash Flow Per Share,20.59,11.17,-7.94,-7.14,-
Dividend Per Share,-,2.000,-,-,-
Gross Margin,46.84%,35.31%,41.20%,18.90%,29.42%
Operating Margin,36.06%,24.55%,30.46%,0.82%,13.50%
Profit Margin,28.21%,18.00%,22.85%,0.78%,10.14%
Free Cash Flow Margin,107.82%,42.89%,-29.36%,-60.09%,-5.31%
Effective Tax Rate,21.76%,26.66%,25.00%,4.34%,24.86%
EBITDA,451.48,420.12,520.17,13.16,104.77
EBITDA Margin,38.76%,26.65%,32.07%,1.85%,14.49%
Depreciation & Amortization,31.5,33.19,26.1,7.33,7.18
EBIT,419.99,386.92,494.07,5.83,97.59
EBIT Margin,36.06%,24.55%,30.46%,0.82%,13.50%
