Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1993
Revenue,13.33,14.05,13.86,14,13.25,12.62,11.87,12.53,13.64,14.36,Upgrade
Revenue Growth (YoY),-5.13%,1.37%,-1.01%,5.62%,5.02%,6.31%,-5.25%,-8.12%,-5.05%,1.61%,Upgrade
Gross Profit,13.33,14.05,13.86,14,13.25,12.62,11.87,12.53,13.64,14.36,Upgrade
"Selling, General & Admin",11.11,10.56,11.19,11.46,10.83,10.19,10.17,10.93,11.41,11.1,Upgrade
Other Operating Expenses,0.23,0.39,0.51,0.48,0.71,0.61,0.68,0,0,0,Upgrade
Operating Expenses,11.34,10.95,11.7,11.95,11.54,10.8,10.85,10.93,11.41,11.1,Upgrade
Operating Income,1.99,3.09,2.16,2.05,1.71,1.82,1.02,1.6,2.22,3.26,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,0.02,Upgrade
Pretax Income,1.99,3.09,2.16,2.05,1.71,1.82,1.02,1.6,2.22,3.25,Upgrade
Income Tax,0.24,0.58,0.49,0.45,0.13,0.91,-0.08,0.24,0.31,0.63,Upgrade
Net Income,1.75,2.52,1.67,1.6,1.58,0.91,1.1,1.35,1.91,2.61,Upgrade
Net Income Growth,-30.64%,50.84%,4.32%,1.01%,73.77%,-17.26%,-18.60%,-29.35%,-26.76%,-1.91%,Upgrade
Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,3,Upgrade
Shares Change,0.39%,0.42%,0.52%,0.47%,0.46%,0.65%,0.35%,0.45%,0.49%,0.50%,Upgrade
EPS (Basic),0.61,0.88,0.59,0.57,0.56,0.33,0.40,0.49,0.69,0.95,Upgrade
EPS (Diluted),0.61,0.88,0.59,0.57,0.56,0.33,0.40,0.49,0.69,0.95,Upgrade
EPS Growth,-30.68%,49.15%,3.51%,1.79%,69.70%,-17.50%,-18.37%,-28.99%,-27.37%,-3.06%,Upgrade
Free Cash Flow Per Share,0.69,1.18,0.36,0.94,1.40,1.24,0.81,0.74,0.75,1.40,Upgrade
Dividend Per Share,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.270,0.400,0.400,Upgrade
Dividend Growth,0%,0%,0%,0%,0%,0%,48.15%,-32.50%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,14.90%,22.02%,15.58%,14.65%,12.93%,14.45%,8.58%,12.75%,16.30%,22.73%,Upgrade
Profit Margin,13.10%,17.91%,12.04%,11.42%,11.95%,7.22%,9.28%,10.80%,14.04%,18.20%,Upgrade
Free Cash Flow Margin,14.78%,23.99%,7.43%,18.98%,29.63%,27.47%,19.01%,16.35%,15.23%,26.80%,Upgrade
Effective Tax Rate,12.09%,18.66%,22.74%,22.04%,7.59%,50.05%,-8.15%,15.33%,13.88%,19.52%,Upgrade
EBITDA,2.98,4.09,2.22,2.98,2.78,2.75,2.21,2.74,3.04,4.44,Upgrade
EBITDA Margin,22.36%,29.11%,16.01%,21.31%,20.99%,21.78%,18.61%,21.85%,22.26%,30.89%,Upgrade
Depreciation & Amortization,0.99,1,0.06,0.93,1.07,0.93,1.19,1.14,0.81,1.19,Upgrade
EBIT,1.99,3.09,2.16,2.05,1.71,1.82,1.02,1.6,2.22,3.25,Upgrade
EBIT Margin,14.90%,22.02%,15.58%,14.65%,12.93%,14.45%,8.58%,12.75%,16.30%,22.62%,Upgrade
