Year,2022,2021,2020,2019
Revenue,497.42,290.19,87.1,13.44
Revenue Growth (YoY),71.41%,233.18%,548.05%,-
Cost of Revenue,75.3,44.4,27.06,3.84
Gross Profit,422.12,245.79,60.04,9.6
"Selling, General & Admin",14.22,10.18,10.11,0.2
Other Operating Expenses,105.75,92.38,85.02,3.72
Operating Expenses,119.98,102.56,95.13,3.92
Operating Income,302.15,143.23,-35.1,5.68
Interest Expense / Income,1.99,2.39,1.84,0.67
Other Expense / Income,24.96,32.39,-13.01,1.37
Pretax Income,275.19,108.46,-23.93,3.64
Income Tax,12.85,0,0,0
Net Income,262.34,108.46,-23.93,3.64
Net Income Growth,141.88%,-,-,-
Shares Outstanding (Basic),133,133,133,-
Shares Outstanding (Diluted),133,133,133,-
Shares Change,0.11%,-,-,-
EPS (Basic),1.97,0.82,-0.18,-
EPS (Diluted),1.97,0.82,-0.18,-
EPS Growth,140.24%,-,-,-
Free Cash Flow Per Share,0.88,-0.07,-0.38,-
Gross Margin,84.86%,84.70%,68.93%,71.40%
Operating Margin,60.74%,49.36%,-40.29%,42.23%
Profit Margin,52.74%,37.37%,-27.47%,27.08%
Free Cash Flow Margin,23.43%,-2.98%,-57.33%,102.74%
Effective Tax Rate,4.67%,-,-,-
EBITDA,382.94,205.51,57.86,11.57
EBITDA Margin,76.98%,70.82%,66.43%,86.06%
Depreciation & Amortization,105.75,94.66,79.95,7.26
EBIT,277.18,110.84,-22.09,4.31
EBIT Margin,55.72%,38.20%,-25.36%,32.04%
