Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,283.39,329.5,236.41,183.5,156.26,161.63,138.49,127.2,123.12,126.25,Upgrade
Revenue Growth (YoY),-13.99%,39.38%,28.83%,17.43%,-3.32%,16.71%,8.87%,3.31%,-2.48%,9.71%,Upgrade
Gross Profit,283.39,329.5,236.41,183.5,156.26,161.63,138.49,127.2,123.12,126.25,Upgrade
"Selling, General & Admin",224.22,220.07,168.69,128.09,118.14,116.75,101.57,101.17,100.91,101.28,Upgrade
Other Operating Expenses,29.06,24.5,18.06,15.59,11.05,14.6,8.79,8.26,8.72,3.42,Upgrade
Operating Expenses,253.28,244.57,186.75,143.68,129.19,131.36,110.36,109.42,109.63,104.71,Upgrade
Operating Income,30.11,84.93,49.66,39.82,27.07,30.27,28.13,17.78,13.49,21.54,Upgrade
Other Expense / Income,-,-,-,-,-0.03,-0.01,-0.01,0.02,0.02,0.09,Upgrade
Pretax Income,30.11,84.93,49.66,39.82,27.1,30.28,28.14,17.76,13.46,21.45,Upgrade
Income Tax,6.21,17.91,10.24,8.37,5.21,4.57,8.62,5.23,3.82,6.75,Upgrade
Net Income,23.9,67.02,39.42,31.46,21.89,25.71,19.52,12.53,9.65,14.71,Upgrade
Net Income Growth,-64.33%,70.02%,25.31%,43.70%,-14.84%,31.68%,55.76%,29.90%,-34.40%,32.48%,Upgrade
Shares Outstanding (Basic),2,2,2,2,2,2,2,2,2,2,Upgrade
Shares Outstanding (Diluted),2,2,2,2,2,2,2,2,2,2,Upgrade
Shares Change,-0.11%,0.21%,-,-0.05%,0.05%,-0.99%,-3.76%,-2.34%,-1.88%,-1.90%,Upgrade
EPS (Basic),12.60,35.38,20.84,16.66,11.60,13.63,10.23,6.32,4.75,7.15,Upgrade
EPS (Diluted),12.59,35.28,20.80,16.59,11.54,13.56,10.19,6.30,4.74,7.08,Upgrade
EPS Growth,-64.31%,69.62%,25.38%,43.76%,-14.90%,33.07%,61.75%,32.91%,-33.05%,35.11%,Upgrade
Free Cash Flow Per Share,16.10,27.53,16.37,10.45,11.97,9.05,10.59,7.18,3.79,6.76,Upgrade
Dividend Per Share,4.840,19.820,16.760,9.600,12.200,3.750,0.720,0.400,0.320,0.320,Upgrade
Dividend Growth,-75.58%,18.26%,74.58%,-21.31%,225.33%,420.83%,80.00%,25.00%,0%,10.34%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,10.62%,25.78%,21.01%,21.70%,17.32%,18.73%,20.31%,13.98%,10.96%,17.06%,Upgrade
Profit Margin,8.43%,20.34%,16.67%,17.14%,14.01%,15.91%,14.10%,9.85%,7.84%,11.65%,Upgrade
Free Cash Flow Margin,10.78%,15.82%,13.10%,10.75%,14.45%,10.56%,14.59%,11.20%,6.25%,11.01%,Upgrade
Effective Tax Rate,20.61%,21.09%,20.62%,21.01%,19.22%,15.09%,30.62%,29.43%,28.34%,31.44%,Upgrade
EBITDA,32.41,86.82,51.42,41.58,28.76,31.71,29.45,18.87,14.3,22.63,Upgrade
EBITDA Margin,11.44%,26.35%,21.75%,22.66%,18.40%,19.62%,21.26%,14.83%,11.61%,17.93%,Upgrade
Depreciation & Amortization,2.3,1.89,1.76,1.76,1.66,1.44,1.31,1.11,0.83,1.18,Upgrade
EBIT,30.11,84.93,49.66,39.82,27.1,30.28,28.14,17.76,13.46,21.45,Upgrade
EBIT Margin,10.62%,25.78%,21.01%,21.70%,17.34%,18.73%,20.32%,13.96%,10.94%,16.99%,Upgrade
