Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,52.58,60.08,60.54,44.76,41.96,40.95,40.39,43.63,39.14,28.94,Upgrade
Revenue Growth (YoY),-12.48%,-0.76%,35.25%,6.68%,2.47%,1.39%,-7.42%,11.48%,35.25%,0.88%,Upgrade
Gross Profit,52.58,60.08,60.54,44.76,41.96,40.95,40.39,43.63,39.14,28.94,Upgrade
"Selling, General & Admin",27.1,26.66,26.92,23.91,22.49,21.42,21.64,21.49,20.69,15.34,Upgrade
Other Operating Expenses,14.17,10.6,9.34,8.74,7.88,16.06,7.48,7.72,7.37,8.2,Upgrade
Operating Expenses,41.27,37.26,36.26,32.65,30.37,37.48,29.11,29.21,28.06,23.54,Upgrade
Operating Income,11.31,22.83,24.28,12.12,11.59,3.47,11.28,14.42,11.08,5.4,Upgrade
Pretax Income,11.31,22.83,24.28,12.12,11.59,3.47,11.28,14.42,11.08,5.4,Upgrade
Income Tax,1.43,4.81,4.79,1.45,1.17,-0.9,2.31,3.91,3.03,0.75,Upgrade
Net Income,9.88,18.01,19.49,10.66,10.43,4.37,8.96,10.51,8.05,4.66,Upgrade
Net Income Growth,-45.16%,-7.60%,82.83%,2.26%,138.64%,-51.24%,-14.71%,30.53%,72.91%,-26.89%,Upgrade
Shares Outstanding (Basic),5,5,5,5,5,5,5,5,5,5,Upgrade
Shares Change,-0.62%,0.49%,-1.84%,0.13%,2.34%,0.41%,4.73%,0.23%,2.99%,0.45%,Upgrade
EPS (Basic),1.89,3.43,3.72,2.01,1.97,0.84,1.75,2.12,1.63,0.97,Upgrade
EPS (Diluted),1.88,3.42,3.72,2.00,1.97,0.83,1.73,2.07,1.61,0.96,Upgrade
EPS Growth,-45.03%,-8.06%,86.00%,1.63%,137.39%,-52.03%,-16.48%,28.35%,68.09%,-27.73%,Upgrade
Free Cash Flow Per Share,4.85,5.80,2.84,1.56,3.83,0.47,3.72,1.29,1.53,2.81,Upgrade
Dividend Per Share,0.800,0.726,0.691,0.658,0.627,0.597,0.569,0.514,0.490,0.467,Upgrade
Dividend Growth,10.19%,5.07%,5.02%,4.94%,5.03%,4.92%,10.70%,4.90%,4.93%,5.18%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,21.51%,37.99%,40.10%,27.06%,27.63%,8.48%,27.92%,33.05%,28.30%,18.67%,Upgrade
Profit Margin,18.79%,29.98%,32.20%,23.82%,24.85%,10.67%,22.19%,24.08%,20.57%,16.09%,Upgrade
Free Cash Flow Margin,48.08%,50.66%,24.47%,18.60%,48.51%,6.01%,47.62%,14.64%,19.30%,46.46%,Upgrade
Effective Tax Rate,12.66%,21.09%,19.72%,11.99%,10.07%,-25.84%,20.52%,27.14%,27.32%,13.81%,Upgrade
EBITDA,13.89,25.42,26.87,14.34,13.71,5.76,13.82,16.94,13.5,7.11,Upgrade
EBITDA Margin,26.42%,42.31%,44.38%,32.03%,32.67%,14.07%,34.21%,38.82%,34.49%,24.57%,Upgrade
Depreciation & Amortization,2.58,2.6,2.59,2.22,2.12,2.29,2.54,2.52,2.42,1.71,Upgrade
EBIT,11.31,22.83,24.28,12.12,11.59,3.47,11.28,14.42,11.08,5.4,Upgrade
EBIT Margin,21.51%,37.99%,40.10%,27.06%,27.63%,8.48%,27.92%,33.05%,28.30%,18.67%,Upgrade
