Year,2021,2020,2019
Revenue,5.24,3.24,0.18
Revenue Growth (YoY),61.86%,1724.67%,-
"Selling, General & Admin",0.73,0.37,0.42
Pretax Income,3.89,2.5,-0.66
Income Tax,1.05,0.29,-
Net Income,2.83,2.21,-0.66
Net Income Growth,27.90%,-,-
Shares Outstanding (Basic),5,5,5
Shares Outstanding (Diluted),5,5,5
Shares Change,-0.73%,-1.79%,-
EPS (Basic),0.58,0.45,-0.14
EPS (Diluted),0.58,0.45,-0.14
EPS Growth,30.00%,-,-
Free Cash Flow Per Share,-0.39,-0.51,1.56
Profit Margin,54.02%,68.37%,-370.25%
Free Cash Flow Margin,-35.99%,-76.08%,4313.42%
Effective Tax Rate,27.14%,11.53%,-
