Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Revenue,135.9,146.03,144.08,122.22,88.25,82.83,82.56,67.34,48.1,47.64,Upgrade
Revenue Growth (YoY),-6.93%,1.35%,17.89%,38.48%,6.55%,0.32%,22.61%,40.00%,0.97%,113.87%,Upgrade
Gross Profit,135.9,146.03,144.08,122.22,88.25,82.83,82.56,67.34,48.1,47.64,Upgrade
"Selling, General & Admin",99.28,84.85,83.45,75.46,61.71,60.84,60.34,50.4,38.63,36.7,Upgrade
Other Operating Expenses,18.11,12.6,13.7,11.75,11.17,9.66,8.87,7.45,6.57,5.93,Upgrade
Operating Expenses,117.39,97.45,97.14,87.2,72.88,70.5,69.21,57.85,45.19,42.63,Upgrade
Operating Income,18.52,48.58,46.94,35.01,15.38,12.33,13.36,9.49,2.9,5,Upgrade
Other Expense / Income,-0.66,-0.43,-,-0.43,-,-,-3.94,-0.21,0.58,-,Upgrade
Pretax Income,19.18,49,46.94,35.44,15.38,12.33,17.29,9.7,2.33,5,Upgrade
Income Tax,4.13,9.88,9.53,8.45,3.37,4.76,4.38,2.89,0.25,0.98,Upgrade
Net Income,15.05,39.12,37.41,26.99,12,7.58,12.91,6.82,2.08,4.02,Upgrade
Preferred Dividends,0,0.04,0.46,0.48,0.49,0.5,1.13,0.58,0.33,0.09,Upgrade
Net Income Common,15.05,39.09,36.95,26.51,11.51,7.08,11.78,6.24,1.75,3.94,Upgrade
Net Income Growth,-61.50%,5.78%,39.37%,130.26%,62.70%,-39.94%,88.82%,257.24%,-55.60%,-2.41%,Upgrade
Shares Outstanding (Basic),12,12,12,12,11,10,8,8,8,7,Upgrade
Shares Outstanding (Diluted),13,13,12,12,13,10,10,8,8,7,Upgrade
Shares Change,2.04%,4.35%,0.36%,-5.32%,21.86%,3.69%,23.69%,0.47%,16.76%,53.88%,Upgrade
EPS (Basic),1.23,3.32,3.13,2.26,1.04,0.69,1.44,0.78,0.22,0.59,Upgrade
EPS (Diluted),1.17,3.10,3.06,2.20,1.00,0.68,1.31,0.77,0.22,0.57,Upgrade
EPS Growth,-62.26%,1.31%,39.09%,120.00%,47.06%,-48.09%,70.13%,250.00%,-61.40%,-36.67%,Upgrade
Free Cash Flow Per Share,5.06,2.54,8.94,-0.86,0.36,2.78,2.94,-3.13,1.85,-0.80,Upgrade
Dividend Per Share,0.680,0.510,0.360,0.195,0.110,0.100,0.080,0.080,0.080,0.075,Upgrade
Dividend Growth,33.33%,41.67%,84.62%,77.27%,10.00%,25.00%,0%,0%,6.67%,114.29%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,13.62%,33.27%,32.58%,28.65%,17.42%,14.89%,16.18%,14.09%,6.04%,10.50%,Upgrade
Profit Margin,11.07%,26.77%,25.64%,21.69%,13.05%,8.54%,14.27%,9.27%,3.63%,8.26%,Upgrade
Free Cash Flow Margin,45.72%,20.51%,73.30%,-8.27%,4.53%,34.56%,29.28%,-37.21%,30.40%,-11.22%,Upgrade
Effective Tax Rate,21.53%,20.17%,20.31%,23.84%,21.94%,38.56%,25.32%,29.75%,10.66%,19.65%,Upgrade
EBITDA,24.5,53.2,50.24,38.71,18.31,15.02,20.7,12.61,3.57,5.94,Upgrade
EBITDA Margin,18.03%,36.43%,34.87%,31.67%,20.75%,18.13%,25.07%,18.73%,7.43%,12.47%,Upgrade
Depreciation & Amortization,5.32,4.2,3.29,3.27,2.94,2.69,3.41,2.91,1.25,0.94,Upgrade
EBIT,19.18,49,46.94,35.44,15.38,12.33,17.29,9.7,2.33,5,Upgrade
EBIT Margin,14.11%,33.56%,32.58%,29.00%,17.42%,14.89%,20.94%,14.41%,4.84%,10.50%,Upgrade
