Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,58.72,50.71,44.12,46.43,45.99,44.61,42.23,46.21,46.52,47.41,Upgrade
Revenue Growth (YoY),15.79%,14.93%,-4.97%,0.97%,3.08%,5.65%,-8.61%,-0.68%,-1.86%,2.02%,Upgrade
Gross Profit,58.72,50.71,44.12,46.43,45.99,44.61,42.23,46.21,46.52,47.41,Upgrade
"Selling, General & Admin",18.45,17.59,16.47,16.79,16.35,15.49,14.53,14.27,13.31,13.52,Upgrade
Other Operating Expenses,8.51,8.49,8.5,8.97,10.93,8.74,8.8,11.37,11.12,10.78,Upgrade
Operating Expenses,26.96,26.08,24.97,25.75,27.28,24.23,23.34,25.64,24.43,24.3,Upgrade
Operating Income,31.76,24.63,19.15,20.68,18.71,20.39,18.89,20.57,22.09,23.11,Upgrade
Pretax Income,31.76,24.63,19.15,20.68,18.71,20.39,18.89,20.57,22.09,23.11,Upgrade
Income Tax,5.83,4.25,3.08,3.21,2.56,6.29,3.95,4.74,5.18,5.32,Upgrade
Net Income,25.93,20.38,16.08,17.47,16.15,14.09,14.94,15.83,16.91,17.79,Upgrade
Net Income Growth,27.23%,26.78%,-7.95%,8.14%,14.61%,-5.69%,-5.63%,-6.39%,-4.92%,0.24%,Upgrade
Shares Outstanding (Basic),6,6,6,6,7,7,7,7,7,7,Upgrade
Shares Change,-2.30%,-6.04%,-0.16%,-6.73%,-,-,0.03%,0.08%,0.04%,-,Upgrade
EPS (Basic),4.33,3.28,2.48,2.65,2.32,2.03,2.15,2.28,2.43,2.56,Upgrade
EPS (Diluted),4.33,3.28,2.48,2.65,2.32,2.03,2.15,2.28,2.43,2.55,Upgrade
EPS Growth,32.01%,32.26%,-6.42%,14.22%,14.29%,-5.58%,-5.70%,-6.17%,-4.71%,0%,Upgrade
Free Cash Flow Per Share,4.75,3.81,1.86,2.84,2.71,1.62,2.56,2.97,3.03,3.60,Upgrade
Dividend Per Share,1.500,1.440,1.390,1.390,1.210,1.170,1.160,1.140,1.130,1.120,Upgrade
Dividend Growth,4.17%,3.60%,0%,14.88%,3.42%,0.86%,1.75%,0.88%,0.89%,1.82%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,54.09%,48.57%,43.41%,44.53%,40.69%,45.69%,44.74%,44.52%,47.49%,48.74%,Upgrade
Profit Margin,44.16%,40.19%,36.44%,37.62%,35.12%,31.59%,35.38%,34.26%,36.36%,37.53%,Upgrade
Free Cash Flow Margin,48.11%,45.71%,27.29%,39.64%,41.06%,25.25%,42.09%,44.67%,45.30%,52.82%,Upgrade
Effective Tax Rate,18.36%,17.26%,16.06%,15.53%,13.68%,30.87%,20.92%,23.04%,23.44%,23.01%,Upgrade
EBITDA,32.37,25.27,19.86,21.42,19.53,21.26,19.95,22.32,23.9,24.91,Upgrade
EBITDA Margin,55.13%,49.83%,45.01%,46.12%,42.46%,47.65%,47.25%,48.31%,51.37%,52.55%,Upgrade
Depreciation & Amortization,0.61,0.64,0.71,0.74,0.82,0.87,1.06,1.75,1.81,1.8,Upgrade
EBIT,31.76,24.63,19.15,20.68,18.71,20.39,18.89,20.57,22.09,23.11,Upgrade
EBIT Margin,54.09%,48.57%,43.41%,44.53%,40.69%,45.69%,44.74%,44.52%,47.49%,48.74%,Upgrade
