Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,294.63,270.96,273.71,276.51,231.47,197.81,168.08,153.86,135.6,90.88,Upgrade
Revenue Growth (YoY),8.74%,-1.01%,-1.01%,19.46%,17.02%,17.68%,9.25%,13.46%,49.22%,142.26%,Upgrade
Cost of Revenue,71.88,69.32,68.51,66.06,58.05,49.88,44.01,40.5,16.02,0,Upgrade
Gross Profit,222.75,201.64,205.2,210.45,173.41,147.93,124.07,113.36,119.58,90.88,Upgrade
"Selling, General & Admin",9.9,9.58,9.79,8.91,10.04,8.07,7.36,7.33,5,0,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,0,24.31,40.36,Upgrade
Operating Expenses,9.9,9.58,9.79,8.91,10.04,8.07,7.36,7.33,29.3,40.36,Upgrade
Operating Income,212.85,192.06,195.41,201.54,163.37,139.85,116.71,106.03,90.27,50.52,Upgrade
Interest Expense / Income,92.42,73.1,78.05,84.3,57.05,37.09,28.45,23.37,13.27,0,Upgrade
Other Expense / Income,36.4,-82.67,59.88,4.68,33.57,-7.05,-22.93,48.36,30.5,-11.4,Upgrade
Pretax Income,84.03,201.63,57.48,112.56,72.76,109.81,111.19,34.3,46.5,61.92,Upgrade
Income Tax,9.3,0.23,-0.99,0,0.4,0.42,-0.49,1.34,0.93,0,Upgrade
Net Income,74.73,201.4,58.47,112.56,72.35,109.4,111.68,32.96,45.58,61.92,Upgrade
Net Income Growth,-62.89%,244.43%,-48.05%,55.57%,-33.86%,-2.04%,238.88%,-27.69%,-26.40%,94.82%,Upgrade
Shares Outstanding (Basic),100,97,97,85,76,74,65,60,52,35,Upgrade
Shares Outstanding (Diluted),115,110,110,100,89,84,73,67,56,35,Upgrade
Shares Change,4.73%,0.11%,9.58%,13.36%,5.51%,15.28%,8.80%,19.25%,60.03%,136.14%,Upgrade
EPS (Basic),0.75,2.08,0.60,1.32,0.95,1.47,1.72,0.55,0.88,1.76,Upgrade
EPS (Diluted),0.74,1.91,0.60,1.22,0.91,1.38,1.60,0.55,0.86,1.76,Upgrade
EPS Growth,-61.26%,218.33%,-50.82%,34.07%,-34.06%,-13.75%,190.91%,-36.05%,-51.14%,-17.76%,Upgrade
Free Cash Flow Per Share,0.35,-0.23,3.11,-8.43,-5.18,-2.24,0.93,-1.06,-5.58,-1.42,Upgrade
Dividend Per Share,1.220,1.200,1.240,1.360,1.360,1.360,1.360,1.360,1.480,1.480,Upgrade
Dividend Growth,1.67%,-3.23%,-8.82%,0%,0%,0%,0%,-8.11%,0%,-13.45%,Upgrade
Gross Margin,75.60%,74.42%,74.97%,76.11%,74.92%,74.78%,73.81%,73.68%,88.18%,100.00%,Upgrade
Operating Margin,72.24%,70.88%,71.39%,72.89%,70.58%,70.70%,69.44%,68.91%,66.57%,55.59%,Upgrade
Profit Margin,25.36%,74.33%,21.36%,40.71%,31.26%,55.31%,66.44%,21.42%,33.61%,68.14%,Upgrade
Free Cash Flow Margin,11.88%,-8.14%,109.99%,-259.85%,-170.00%,-84.08%,36.00%,-41.17%,-213.55%,-54.88%,Upgrade
Effective Tax Rate,11.07%,0.12%,-1.72%,-,0.55%,0.38%,-0.44%,3.92%,2.00%,-,Upgrade
EBITDA,176.45,274.73,135.53,196.86,129.81,146.91,139.64,57.67,59.77,61.92,Upgrade
EBITDA Margin,59.89%,101.39%,49.52%,71.20%,56.08%,74.27%,83.08%,37.48%,44.08%,68.14%,Upgrade
EBIT,176.45,274.73,135.53,196.86,129.81,146.91,139.64,57.67,59.77,61.92,Upgrade
EBIT Margin,59.89%,101.39%,49.52%,71.20%,56.08%,74.27%,83.08%,37.48%,44.08%,68.14%,Upgrade
