Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Revenue,262.52,209.39,143.13,147.7,138.72,177.96,247.87,265.48,293.95,221.61,Upgrade
Revenue Growth (YoY),25.38%,46.29%,-3.09%,6.47%,-22.05%,-28.20%,-6.63%,-9.69%,32.64%,34.22%,Upgrade
Cost of Revenue,54.41,69.89,37.73,39.42,31.8,41.84,63.24,79.64,86.52,61.59,Upgrade
Gross Profit,208.11,139.49,105.4,108.28,106.93,136.12,184.64,185.83,207.43,160.03,Upgrade
"Selling, General & Admin",9.25,9.07,7.12,7.95,11.15,14.79,23.22,14.24,13.4,11.6,Upgrade
Other Operating Expenses,0,0,0,0,0,-1.26,0.07,0,0,0,Upgrade
Operating Expenses,9.25,9.07,7.12,7.95,11.15,13.54,23.29,14.24,13.4,11.6,Upgrade
Operating Income,198.86,130.42,98.28,100.34,95.77,122.59,161.35,171.59,194.04,148.42,Upgrade
Interest Expense / Income,46.93,30.52,26.29,32.43,35.73,49.94,54.62,56.65,51.47,33.47,Upgrade
Other Expense / Income,119.07,-140.94,34.54,-59.26,13.91,269.62,173.28,99.55,30.04,13.13,Upgrade
Pretax Income,32.86,240.84,37.45,127.17,46.14,-196.97,-66.56,15.4,112.53,101.82,Upgrade
Income Tax,3.64,3.58,-1.77,1.01,-0.62,0,0,0,0,0,Upgrade
Net Income,29.22,237.26,39.22,126.16,46.76,-196.97,-66.56,15.4,112.53,101.82,Upgrade
Net Income Growth,-87.68%,504.88%,-68.91%,169.79%,-,-,-,-86.32%,10.52%,28.24%,Upgrade
Shares Outstanding (Basic),61,54,47,47,47,47,49,51,47,37,Upgrade
Shares Outstanding (Diluted),61,54,47,47,47,47,50,54,50,39,Upgrade
Shares Change,12.38%,15.01%,-,-,-0.34%,-6.54%,-5.97%,7.46%,26.87%,34.59%,Upgrade
EPS (Basic),0.48,4.38,0.84,2.67,0.99,-4.17,-1.35,0.30,2.37,2.76,Upgrade
EPS (Diluted),0.48,4.38,0.84,2.67,0.99,-4.17,-1.35,0.30,2.37,2.70,Upgrade
EPS Growth,-89.04%,421.43%,-68.54%,169.70%,-,-,-,-87.34%,-12.22%,-7.22%,Upgrade
Free Cash Flow Per Share,0.37,-4.27,-3.25,4.59,1.14,10.33,3.35,2.86,-11.54,-12.56,Upgrade
Dividend Per Share,1.950,1.515,1.170,1.140,1.200,1.395,2.160,2.363,2.999,3.449,Upgrade
Dividend Growth,28.71%,29.49%,2.63%,-5.00%,-13.98%,-35.42%,-8.59%,-21.21%,-13.05%,-2.74%,Upgrade
Gross Margin,79.27%,66.62%,73.64%,73.31%,77.08%,76.49%,74.49%,70.00%,70.57%,72.21%,Upgrade
Operating Margin,75.75%,62.29%,68.66%,67.93%,69.04%,68.88%,65.09%,64.64%,66.01%,66.97%,Upgrade
Profit Margin,11.13%,113.31%,27.40%,85.42%,33.71%,-110.68%,-26.85%,5.80%,38.28%,45.95%,Upgrade
Free Cash Flow Margin,8.53%,-110.09%,-106.81%,146.12%,38.57%,273.59%,66.47%,55.07%,-185.86%,-208.32%,Upgrade
Effective Tax Rate,11.07%,1.49%,-4.73%,0.79%,-1.35%,-,-,-,-,-,Upgrade
EBITDA,79.79,271.36,63.74,159.6,81.87,-147.03,-11.94,72.05,164,135.29,Upgrade
EBITDA Margin,30.39%,129.60%,44.53%,108.05%,59.02%,-82.62%,-4.81%,27.14%,55.79%,61.05%,Upgrade
EBIT,79.79,271.36,63.74,159.6,81.87,-147.03,-11.94,72.05,164,135.29,Upgrade
EBIT Margin,30.39%,129.60%,44.53%,108.05%,59.02%,-82.62%,-4.81%,27.14%,55.79%,61.05%,Upgrade
