Year,2022,2021,2020,2019,2018,2017
Revenue,57,53.52,57.68,45.94,54.13,43.71
Revenue Growth (YoY),6.51%,-7.22%,25.57%,-15.14%,23.84%,-
Gross Profit,57,53.52,57.68,45.94,54.13,43.71
"Selling, General & Admin",37.71,37.12,35.03,32.39,30.8,30.42
Other Operating Expenses,5.95,13.74,16.65,5.5,5.52,4.95
Operating Expenses,43.66,50.86,51.69,37.89,36.33,35.37
Operating Income,13.34,2.66,6,8.05,17.81,8.35
Pretax Income,13.34,2.66,6,8.05,17.81,8.35
Income Tax,3.06,1.58,0.8,0.74,6.31,2.72
Net Income,10.28,1.08,5.2,7.31,11.5,5.63
Net Income Growth,854.41%,-79.28%,-28.88%,-36.44%,104.21%,-
Shares Outstanding (Basic),25,25,25,26,-,-
Shares Outstanding (Diluted),25,25,25,-,-,-
Shares Change,0.25%,0.22%,-3.71%,-,-,-
EPS (Basic),0.41,0.04,0.21,-,-,-
EPS (Diluted),0.41,0.04,0.21,-,-,-
EPS Growth,925.00%,-80.95%,-,-,-,-
Free Cash Flow Per Share,2.00,1.28,0.02,0.17,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,23.40%,4.97%,10.39%,17.52%,32.90%,19.09%
Profit Margin,18.03%,2.01%,9.01%,15.91%,21.24%,12.88%
Free Cash Flow Margin,88.38%,60.21%,0.80%,9.71%,27.82%,5.72%
Effective Tax Rate,22.93%,59.51%,13.29%,9.16%,35.43%,32.53%
EBITDA,16.08,5.52,8.9,10.86,20.45,10.31
EBITDA Margin,28.21%,10.31%,15.43%,23.64%,37.77%,23.58%
Depreciation & Amortization,2.74,2.86,2.91,2.81,2.64,1.96
EBIT,13.34,2.66,6,8.05,17.81,8.35
EBIT Margin,23.40%,4.97%,10.39%,17.52%,32.90%,19.09%
