Year,2022,2021,2020
"Selling, General & Admin",3.33,1.94,0
Operating Expenses,3.33,1.94,0
Operating Income,-3.33,-1.94,-0
Other Expense / Income,-10.58,-10.14,-
Pretax Income,7.26,8.2,-0
Income Tax,0.88,0,0
Net Income,6.38,8.2,-0
Net Income Growth,-22.26%,-,-
Shares Outstanding (Basic),35,31,6
Shares Outstanding (Diluted),35,31,6
Shares Change,10.20%,421.77%,-
EPS (Basic),0.18,0.26,-
EPS (Diluted),0.18,0.26,-
EPS Growth,-30.77%,-,-
Free Cash Flow Per Share,-0.03,-0.05,-
Effective Tax Rate,12.17%,-,-
EBITDA,7.26,8.2,-0
EBIT,7.26,8.2,-0
