Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,475.75,375.12,312.19,278.07,255.81,223.74,308.7,374.11,261.01,196.37,Upgrade
Revenue Growth (YoY),26.83%,20.16%,12.27%,8.70%,14.33%,-27.52%,-17.48%,43.33%,32.92%,6.85%,Upgrade
Cost of Revenue,299.98,233.69,201.88,187,177.22,155.54,206.8,238.29,179.28,136.87,Upgrade
Gross Profit,175.77,141.43,110.31,91.07,78.59,68.21,101.9,135.82,81.73,59.5,Upgrade
"Selling, General & Admin",90.78,75.7,65.79,66.33,68.01,62.21,64.01,61.12,42.65,29.42,Upgrade
Other Operating Expenses,5.75,6.25,6.13,0.04,5.97,25.29,8.89,6.63,4.71,3.93,Upgrade
Operating Expenses,96.53,81.95,71.92,66.36,73.99,87.49,72.9,67.74,47.36,33.35,Upgrade
Operating Income,79.24,59.48,38.39,24.71,4.6,-19.29,29,68.08,34.37,26.15,Upgrade
Interest Expense / Income,29.62,30.61,25.4,24.89,23.43,20.85,20.04,18.33,7.51,7.84,Upgrade
Other Expense / Income,0.47,5.05,0.17,1.46,22.97,-1.59,0.42,1.04,3.27,2.74,Upgrade
Pretax Income,49.15,23.82,12.82,-1.64,-41.8,-38.55,8.54,48.71,23.59,15.58,Upgrade
Income Tax,12.61,7.88,-3.31,3.47,-4.34,-16.54,3.14,17.85,10.29,6.99,Upgrade
Net Income,36.54,15.94,16.13,-5.12,-37.46,-22.01,5.4,30.86,13.3,8.59,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,32.55,44.48,35.27,Upgrade
Net Income Common,36.54,15.94,16.13,-5.12,-37.46,-22.01,5.4,-1.69,-31.18,8.59,Upgrade
Net Income Growth,129.22%,-1.17%,-,-,-,-,-,-,-,-,Upgrade
Shares Outstanding (Basic),11,11,11,11,11,11,11,11,11,-,Upgrade
Shares Outstanding (Diluted),12,12,11,11,11,11,-,-,-,-,Upgrade
Shares Change,-0.13%,4.74%,0.32%,0.42%,0.29%,0.53%,-2.09%,-,-,-,Upgrade
EPS (Basic),3.24,1.42,1.44,-0.46,-3.36,-1.98,0.48,-0.19,-3.80,-3.25,Upgrade
EPS (Diluted),3.11,1.36,1.44,-0.46,-3.36,-1.98,0.48,-0.19,-3.80,-3.25,Upgrade
EPS Growth,128.68%,-5.56%,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Per Share,1.19,0.90,1.33,-0.12,-0.19,-0.43,4.13,2.24,0.86,-,Upgrade
Dividend Per Share,-,-,-,-,-,0.450,0.900,-,-,-,Upgrade
Dividend Growth,-,-,-,-,-,-50.00%,-,-,-,-,Upgrade
Gross Margin,36.95%,37.70%,35.33%,32.75%,30.72%,30.48%,33.01%,36.31%,31.31%,30.30%,Upgrade
Operating Margin,16.66%,15.86%,12.30%,8.89%,1.80%,-8.62%,9.39%,18.20%,13.17%,13.32%,Upgrade
Profit Margin,7.68%,4.25%,5.17%,-1.84%,-14.64%,-9.84%,1.75%,-0.45%,-11.94%,4.37%,Upgrade
Free Cash Flow Margin,2.83%,2.71%,4.78%,-0.48%,-0.83%,-2.16%,14.79%,6.75%,3.71%,7.32%,Upgrade
Effective Tax Rate,25.65%,33.08%,-25.77%,-,-,-,36.79%,36.64%,43.62%,44.87%,Upgrade
EBITDA,93.65,69.53,55.05,40.5,0.04,-0.77,45.51,83.03,45.3,37.71,Upgrade
EBITDA Margin,19.68%,18.53%,17.63%,14.56%,0.01%,-0.35%,14.74%,22.19%,17.36%,19.20%,Upgrade
Depreciation & Amortization,14.89,15.1,16.83,17.25,18.41,16.92,16.93,16,14.2,14.3,Upgrade
EBIT,78.76,54.43,38.22,23.25,-18.37,-17.7,28.59,67.04,31.1,23.41,Upgrade
EBIT Margin,16.56%,14.51%,12.24%,8.36%,-7.18%,-7.91%,9.26%,17.92%,11.92%,11.92%,Upgrade
