Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Revenue,"6,944","6,962","4,957","5,474","5,525","5,351","5,147","5,137","5,114","5,221",Upgrade
Revenue Growth (YoY),-0.26%,40.45%,-9.44%,-0.92%,3.25%,3.96%,0.19%,0.45%,-2.05%,0.66%,Upgrade
Gross Profit,"6,944","6,962","4,957","5,474","5,525","5,351","5,147","5,137","5,114","5,221",Upgrade
"Selling, General & Admin","2,618","2,508","2,413","2,237","2,607","2,539","2,496","2,547","2,465","2,463",Upgrade
Other Operating Expenses,"1,450","1,239","1,230","1,252",963,952,987,"1,060",967,"1,093",Upgrade
Operating Expenses,"4,068","3,747","3,643","3,489","3,570","3,491","3,483","3,607","3,432","3,556",Upgrade
Operating Income,"2,876","3,215","1,314","1,985","1,955","1,860","1,664","1,530","1,682","1,665",Upgrade
Other Expense / Income,99,121,103,79,-127,42,55,77,39,45,Upgrade
Pretax Income,"2,777","3,094","1,211","1,906","2,082","1,818","1,609","1,453","1,643","1,620",Upgrade
Income Tax,631,694,220,403,387,619,510,455,548,561,Upgrade
Net Income,"2,146","2,400",991,"1,503","1,695","1,199","1,099",998,"1,095","1,059",Upgrade
Net Income Growth,-10.58%,142.18%,-34.07%,-11.33%,41.37%,9.10%,10.12%,-8.86%,3.40%,6.86%,Upgrade
Shares Outstanding (Basic),935,956,959,995,"1,092","1,186","1,255","1,325","1,375","1,395",Upgrade
Shares Outstanding (Diluted),942,963,962,999,"1,102","1,198","1,261","1,334","1,387","1,410",Upgrade
Shares Change,-2.18%,0.10%,-3.70%,-9.35%,-8.01%,-5.00%,-5.47%,-3.82%,-1.63%,1.66%,Upgrade
EPS (Basic),2.29,2.51,1.03,1.51,1.55,1.01,0.87,0.75,0.80,0.76,Upgrade
EPS (Diluted),2.28,2.49,1.03,1.50,1.54,1.00,0.87,0.75,0.79,0.75,Upgrade
EPS Growth,-8.43%,141.75%,-31.33%,-2.60%,54.00%,14.94%,16.00%,-5.06%,5.33%,5.63%,Upgrade
Free Cash Flow Per Share,3.22,3.07,2.28,2.42,1.95,1.81,1.46,0.93,1.36,2.55,Upgrade
Dividend Per Share,0.740,0.650,0.620,0.590,0.460,0.315,0.255,0.230,0.180,0.100,Upgrade
Dividend Growth,13.85%,4.84%,5.08%,28.26%,46.03%,23.53%,10.87%,27.78%,80.00%,150.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,41.42%,46.18%,26.51%,36.26%,35.38%,34.76%,32.33%,29.78%,32.89%,31.89%,Upgrade
Profit Margin,30.90%,34.47%,19.99%,27.46%,30.68%,22.41%,21.35%,19.43%,21.41%,20.28%,Upgrade
Free Cash Flow Margin,43.38%,42.21%,44.18%,43.90%,38.44%,40.12%,35.59%,23.94%,36.47%,68.17%,Upgrade
Effective Tax Rate,22.72%,22.43%,18.17%,21.14%,18.59%,34.05%,31.70%,31.31%,33.35%,34.63%,Upgrade
EBITDA,"3,130","3,465","1,632","2,332","2,544","2,355","2,183","1,976","2,166","2,265",Upgrade
EBITDA Margin,45.07%,49.77%,32.92%,42.60%,46.05%,44.01%,42.41%,38.47%,42.35%,43.38%,Upgrade
Depreciation & Amortization,353,371,421,426,462,537,574,523,523,645,Upgrade
EBIT,"2,777","3,094","1,211","1,906","2,082","1,818","1,609","1,453","1,643","1,620",Upgrade
EBIT Margin,39.99%,44.44%,24.43%,34.82%,37.68%,33.97%,31.26%,28.28%,32.13%,31.03%,Upgrade
