Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,"11,003","9,760","7,990","7,740","7,274","6,371","5,405.06","5,203.61","4,861.37","4,485.43",Upgrade
Revenue Growth (YoY),12.74%,22.15%,3.23%,6.41%,14.17%,17.87%,3.87%,7.04%,8.38%,17.84%,Upgrade
Cost of Revenue,152,130,101,94,92,79,59.93,102.32,92.29,77.37,Upgrade
Gross Profit,"10,851","9,630","7,889","7,646","7,182","6,292","5,345.13","5,101.29","4,769.08","4,408.06",Upgrade
"Selling, General & Admin","8,273","7,356","6,217","5,872","5,530","4,871","4,220.22","4,113.84","3,866.68","3,593.23",Upgrade
Other Operating Expenses,556,385,620,399,341,450,312.97,172.84,186.45,220.92,Upgrade
Operating Expenses,"8,829","7,741","6,837","6,271","5,871","5,321","4,533.19","4,286.68","4,053.13","3,814.15",Upgrade
Operating Income,"2,022","1,889","1,052","1,375","1,311",971,811.94,814.61,715.95,593.91,Upgrade
Other Expense / Income,-,98,-,-,-,46,11.3,16.44,-32.1,29.72,Upgrade
Pretax Income,"2,022","1,791","1,052","1,375","1,311",925,800.64,798.17,748.05,564.19,Upgrade
Income Tax,513,388,234,341,454,289,271.29,296.03,267.8,197.03,Upgrade
Net Income,"1,509","1,403",818,"1,034",857,636,529.35,502.14,480.25,367.15,Upgrade
Preferred Dividends,4,0,0,0,0,0,0,0,0,0,Upgrade
Net Income Common,"1,505","1,403",818,"1,034",857,636,529.35,502.14,480.25,367.15,Upgrade
Net Income Growth,7.27%,71.52%,-20.89%,20.65%,34.75%,20.15%,5.42%,4.56%,30.80%,24.09%,Upgrade
Shares Outstanding (Basic),210,206,206,212,218,215,213,214,210,207,Upgrade
Shares Outstanding (Diluted),215,211,210,216,223,220,217,219,215,211,Upgrade
Shares Change,1.94%,0.43%,-2.64%,-3.23%,1.50%,1.44%,-0.98%,1.64%,2.17%,6.64%,Upgrade
EPS (Basic),7.16,6.81,3.96,4.88,3.93,2.95,2.48,2.34,2.27,1.76,Upgrade
EPS (Diluted),6.98,6.63,3.88,4.78,3.83,2.89,2.43,2.29,2.21,1.72,Upgrade
EPS Growth,5.28%,70.88%,-18.83%,24.71%,32.77%,18.66%,6.38%,3.34%,28.66%,17.25%,Upgrade
Free Cash Flow Per Share,-0.09,31.95,19.13,2.08,3.44,-1.47,-3.27,3.86,2.13,2.84,Upgrade
Dividend Per Share,1.360,1.040,0.987,0.907,0.733,0.587,0.533,0.480,0.427,0.373,Upgrade
Dividend Growth,30.77%,5.37%,8.82%,23.74%,24.87%,10.13%,11.04%,12.41%,14.48%,7.49%,Upgrade
Gross Margin,98.62%,98.67%,98.74%,98.79%,98.74%,98.76%,98.89%,98.03%,98.10%,98.28%,Upgrade
Operating Margin,18.38%,19.35%,13.17%,17.76%,18.02%,15.24%,15.02%,15.65%,14.73%,13.24%,Upgrade
Profit Margin,13.68%,14.37%,10.24%,13.36%,11.78%,9.98%,9.79%,9.65%,9.88%,8.19%,Upgrade
Free Cash Flow Margin,-0.17%,67.35%,49.42%,5.67%,10.31%,-4.94%,-12.86%,15.85%,9.20%,13.09%,Upgrade
Effective Tax Rate,25.37%,21.66%,22.24%,24.80%,34.63%,31.24%,33.88%,37.09%,35.80%,34.92%,Upgrade
EBITDA,"2,167","1,925","1,171","1,487","1,410","1,009",873.03,866.49,812.21,630.55,Upgrade
EBITDA Margin,19.69%,19.72%,14.66%,19.21%,19.38%,15.84%,16.15%,16.65%,16.71%,14.06%,Upgrade
Depreciation & Amortization,145,134,119,112,99,84,72.38,68.32,64.16,66.36,Upgrade
EBIT,"2,022","1,791","1,052","1,375","1,311",925,800.64,798.17,748.05,564.19,Upgrade
EBIT Margin,18.38%,18.35%,13.17%,17.76%,18.02%,14.52%,14.81%,15.34%,15.39%,12.58%,Upgrade
