Year,2022,2021,2020,2019
Revenue,111.48,85.51,63.01,33.54
Revenue Growth (YoY),30.37%,35.70%,87.86%,-
Gross Profit,111.48,85.51,63.01,33.54
"Selling, General & Admin",74.43,61.79,39.28,26.17
Other Operating Expenses,13.88,9.24,8.12,4.14
Operating Expenses,88.31,71.03,47.4,30.31
Operating Income,23.17,14.48,15.61,3.23
Pretax Income,23.17,14.48,15.61,3.23
Income Tax,4.51,3.06,3.5,0.85
Net Income,18.66,11.42,12.12,2.38
Preferred Dividends,1.42,0,0,0
Net Income Common,17.24,11.42,12.12,2.38
Net Income Growth,50.92%,-5.70%,408.82%,-
Shares Outstanding (Basic),14,13,12,-
Shares Change,1.36%,8.42%,-,-
EPS (Basic),1.28,1.45,1.94,0.62
EPS (Diluted),1.25,1.40,1.91,0.60
EPS Growth,-10.71%,-26.70%,218.33%,-
Free Cash Flow Per Share,0.81,-0.08,-0.40,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,20.78%,16.94%,24.77%,9.64%
Profit Margin,15.47%,13.36%,19.23%,7.10%
Free Cash Flow Margin,9.80%,-1.21%,-7.85%,1.82%
Effective Tax Rate,19.46%,21.12%,22.39%,26.35%
EBITDA,22.69,14.21,15.69,4.1
EBITDA Margin,20.35%,16.62%,24.90%,12.23%
Depreciation & Amortization,-0.48,-0.27,0.08,0.87
EBIT,23.17,14.48,15.61,3.23
EBIT Margin,20.78%,16.94%,24.77%,9.64%
