Year,2022,2021
"Selling, General & Admin",4.44,4.41
Other Operating Expenses,0.24,0.21
Operating Expenses,4.68,4.62
Operating Income,-4.68,-4.62
Other Expense / Income,-16.17,-22.54
Pretax Income,11.5,17.92
Income Tax,1.06,0
Net Income,10.44,17.92
Net Income Growth,-41.74%,-
Shares Outstanding (Basic),50,46
Shares Outstanding (Diluted),50,46
Shares Change,7.16%,-
EPS (Basic),0.21,0.39
EPS (Diluted),0.21,0.39
EPS Growth,-46.15%,-
Free Cash Flow Per Share,-0.05,-0.05
Effective Tax Rate,9.18%,-
EBITDA,11.5,17.92
EBIT,11.5,17.92
