Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"22,207","23,894","19,420","21,379","21,142","20,307","19,632","18,961","18,710","18,038",Upgrade
Revenue Growth (YoY),-7.06%,23.04%,-9.16%,1.12%,4.11%,3.44%,3.54%,1.34%,3.73%,-0.79%,Upgrade
Gross Profit,"22,207","23,894","19,420","21,379","21,142","20,307","19,632","18,961","18,710","18,038",Upgrade
"Selling, General & Admin","12,964","12,362","11,360","10,999","10,594","10,086","9,333","8,938","8,538","8,356",Upgrade
Other Operating Expenses,"1,942","1,366","2,009","1,786","1,870","2,704","2,194","1,993","2,177","1,918",Upgrade
Operating Expenses,"14,906","13,728","13,369","12,785","12,464","12,790","11,527","10,931","10,715","10,274",Upgrade
Operating Income,"7,301","10,166","6,051","8,594","8,678","7,517","8,105","8,030","7,995","7,764",Upgrade
Other Expense / Income,13,22,26,32,28,35,56,54,57,-104,Upgrade
Pretax Income,"7,288","10,144","6,025","8,562","8,650","7,482","8,049","7,976","7,938","7,868",Upgrade
Income Tax,"1,463","2,181","1,066","1,648","1,554","1,264","2,161","2,097","2,087","2,032",Upgrade
Net Income,"5,825","7,963","4,959","6,914","7,096","6,218","5,888","5,879","5,851","5,836",Upgrade
Preferred Dividends,324,358,338,331,312,305,299,271,268,284,Upgrade
Net Income Common,"5,501","7,605","4,621","6,583","6,784","5,913","5,589","5,608","5,583","5,552",Upgrade
Net Income Growth,-27.67%,64.57%,-29.80%,-2.96%,14.73%,5.80%,-0.34%,0.45%,0.56%,3.14%,Upgrade
Shares Outstanding (Basic),"1,489","1,489","1,509","1,581","1,634","1,677","1,718","1,764","1,803","1,839",Upgrade
Shares Outstanding (Diluted),"1,490","1,490","1,510","1,583","1,638","1,683","1,724","1,772","1,813","1,849",Upgrade
Shares Change,-,-1.32%,-4.61%,-3.36%,-2.67%,-2.38%,-2.71%,-2.26%,-1.95%,-2.48%,Upgrade
EPS (Basic),3.69,5.11,3.06,4.16,4.15,3.53,3.25,3.18,3.10,3.02,Upgrade
EPS (Diluted),3.69,5.10,3.06,4.16,4.14,3.51,3.24,3.16,3.08,3.00,Upgrade
EPS Growth,-27.65%,66.67%,-26.44%,0.48%,17.95%,8.33%,2.53%,2.60%,2.67%,5.63%,Upgrade
Free Cash Flow Per Share,14.18,6.63,2.46,3.09,6.46,3.86,3.11,4.98,2.96,6.22,Upgrade
Dividend Per Share,1.880,1.760,1.680,1.580,1.340,1.160,1.070,1.010,0.965,0.885,Upgrade
Dividend Growth,6.82%,4.76%,6.33%,17.91%,15.52%,8.41%,5.94%,4.66%,9.04%,13.46%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,32.88%,42.55%,31.16%,40.20%,41.05%,37.02%,41.28%,42.35%,42.73%,43.04%,Upgrade
Profit Margin,24.77%,31.83%,23.80%,30.79%,32.09%,29.12%,28.47%,29.58%,29.84%,30.78%,Upgrade
Free Cash Flow Margin,95.10%,41.31%,19.13%,22.87%,49.97%,31.87%,27.18%,46.32%,28.50%,63.45%,Upgrade
Effective Tax Rate,20.07%,21.50%,17.69%,19.25%,17.97%,16.89%,26.85%,26.29%,26.29%,25.83%,Upgrade
EBITDA,"7,848","10,641","6,552","9,064","9,117","7,950","8,519","8,457","8,439","8,388",Upgrade
EBITDA Margin,35.34%,44.53%,33.74%,42.40%,43.12%,39.15%,43.39%,44.60%,45.10%,46.50%,Upgrade
Depreciation & Amortization,560,497,527,502,467,468,470,481,501,520,Upgrade
EBIT,"7,288","10,144","6,025","8,562","8,650","7,482","8,049","7,976","7,938","7,868",Upgrade
EBIT Margin,32.82%,42.45%,31.02%,40.05%,40.91%,36.84%,41.00%,42.07%,42.43%,43.62%,Upgrade
