Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Revenue,161.54,262.7,291.18,183.85,173.44,176.31,169.43,141.35,124.73,122.47,Upgrade
Revenue Growth (YoY),-38.51%,-9.78%,58.38%,6.00%,-1.63%,4.06%,19.86%,13.33%,1.84%,-1.90%,Upgrade
Gross Profit,161.54,262.7,291.18,183.85,173.44,176.31,169.43,141.35,124.73,122.47,Upgrade
"Selling, General & Admin",117.91,153.51,158.23,121.2,117.17,114.59,111.13,97.76,86.43,83.65,Upgrade
Other Operating Expenses,19.16,17.08,24.83,15.08,15.99,17.29,16.31,17.78,18.39,15.5,Upgrade
Operating Expenses,137.06,170.59,183.06,136.27,133.16,131.88,127.44,115.53,104.82,99.14,Upgrade
Operating Income,24.48,92.11,108.12,47.57,40.28,44.43,41.99,25.82,19.91,23.33,Upgrade
Pretax Income,24.48,92.11,108.12,47.57,40.28,44.43,41.99,25.82,19.91,23.33,Upgrade
Income Tax,4.99,21.32,26.97,11.67,9.53,18.47,16.46,9.25,7.18,8.62,Upgrade
Net Income,19.49,70.79,81.15,35.9,30.75,25.96,25.53,16.57,12.73,14.71,Upgrade
Net Income Growth,-72.47%,-12.76%,126.01%,16.74%,18.45%,1.69%,54.09%,30.14%,-13.43%,-57.87%,Upgrade
Shares Outstanding (Basic),22,24,24,26,27,27,27,29,33,34,Upgrade
Shares Outstanding (Diluted),22,24,25,26,28,28,27,29,34,34,Upgrade
Shares Change,-8.03%,-2.75%,-6.25%,-5.02%,-0.95%,1.92%,-6.99%,-12.52%,-2.31%,0.72%,Upgrade
EPS (Basic),0.89,2.98,3.32,1.38,1.12,0.95,0.94,0.57,0.38,0.43,Upgrade
EPS (Diluted),0.89,2.96,3.30,1.37,1.11,0.93,0.93,0.56,0.38,0.43,Upgrade
EPS Growth,-69.93%,-10.30%,140.88%,23.42%,19.35%,0%,66.07%,47.37%,-11.63%,-57.84%,Upgrade
Free Cash Flow Per Share,9.41,6.47,-3.88,-1.67,1.37,3.84,-0.93,-0.55,-0.13,1.37,Upgrade
Dividend Per Share,1.300,1.300,1.280,0.980,0.980,0.980,0.260,0.200,0.150,-,Upgrade
Dividend Growth,0%,1.56%,30.61%,0%,0%,276.92%,30.00%,33.33%,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,15.15%,35.06%,37.13%,25.88%,23.22%,25.20%,24.79%,18.27%,15.96%,19.05%,Upgrade
Profit Margin,12.06%,26.95%,27.87%,19.53%,17.73%,14.73%,15.07%,11.72%,10.21%,12.01%,Upgrade
Free Cash Flow Margin,127.50%,58.50%,-32.56%,-23.57%,21.65%,59.85%,-14.84%,-11.29%,-3.34%,38.31%,Upgrade
Effective Tax Rate,20.39%,23.14%,24.95%,24.53%,23.65%,41.57%,39.20%,35.82%,36.04%,36.95%,Upgrade
EBITDA,28.51,98.15,113.72,52.27,45.01,46.48,44.61,28.93,23.19,26.05,Upgrade
EBITDA Margin,17.65%,37.36%,39.06%,28.43%,25.95%,26.36%,26.33%,20.46%,18.59%,21.27%,Upgrade
Depreciation & Amortization,4.03,6.05,5.61,4.7,4.73,2.05,2.62,3.11,3.28,2.72,Upgrade
EBIT,24.48,92.11,108.12,47.57,40.28,44.43,41.99,25.82,19.91,23.33,Upgrade
EBIT Margin,15.15%,35.06%,37.13%,25.88%,23.22%,25.20%,24.79%,18.27%,15.96%,19.05%,Upgrade
