Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",3.15,-0.53,0.43,0.86,0,-0
Operating Expenses,3.15,-0.53,0.43,0.86,0,-0
Operating Income,-3.15,0.53,-0.43,-0.86,-0,0
Other Expense / Income,-5.14,-0.41,-0.24,0.17,-0,0
Pretax Income,1.99,0.94,-0.19,-1.03,-0,-0
Income Tax,0.53,0.29,0.01,0,0,0
Net Income,1.46,0.65,-0.2,-1.03,-0,-0
Shares Outstanding (Basic),38,38,38,31,2,0
Shares Outstanding (Diluted),38,38,38,31,2,0
Shares Change,1830.92%,129210.34%,-,-,-,-
EPS (Basic),0.04,0.02,-0.01,-0.03,-,-
EPS (Diluted),0.04,0.02,-0.01,-0.03,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.03,-,-
Effective Tax Rate,26.69%,30.55%,-,-,-,-
EBITDA,1.99,0.94,-0.19,-1.03,-0,-
EBIT,1.99,0.94,-0.19,-1.03,-0,-0
