Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.47,1.03,0.9,1.49,0.96,2.99,1.07,0.97,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0
Operating Expenses,1.47,1.03,0.9,1.49,0.96,2.99,1.07,0.97,0
Operating Income,-1.47,-1.03,-0.9,-1.49,-0.96,-2.99,-1.07,-0.97,-0
Other Expense / Income,-0.32,-7.26,-4.1,-13.95,3.76,-8.55,-1.44,0.5,-
Pretax Income,-1.15,6.22,3.2,12.46,-4.72,5.57,0.37,-1.47,-0
Income Tax,0.86,0.53,0.11,0,0,0,0,0,0
Net Income,-2.01,5.69,3.09,12.46,-4.72,5.57,0.37,-1.47,-0
Net Income Growth,-,2.21%,732.75%,-,-,-,-,-,-
Shares Outstanding (Basic),53,53,53,53,53,53,53,23,9
Shares Outstanding (Diluted),53,53,53,53,53,53,53,23,9
Shares Change,-0.08%,-,0.13%,128.58%,507.60%,-,-,-,-
EPS (Basic),-0.04,0.11,0.06,0.23,-0.11,0.10,0.01,-0.06,-
EPS (Diluted),-0.04,0.11,0.06,0.23,-0.11,0.10,0.01,-0.06,-
EPS Growth,-,10.00%,500.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.05,-
Effective Tax Rate,-,8.58%,3.39%,-,-,-,-,-,-
EBITDA,-1.15,6.22,3.2,12.46,-4.72,5.57,0.37,-1.47,-0
EBIT,-1.15,6.22,3.2,12.46,-4.72,5.57,0.37,-1.47,-0
