Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.59,0.25,0.25,0.19,0.18,0,0
Other Operating Expenses,0.13,0.05,0.05,0.05,0.11,0,0
Operating Expenses,0.72,0.3,0.3,0.24,0.29,0,0
Operating Income,-0.72,-0.3,-0.3,-0.24,-0.29,-0,-0
Other Expense / Income,-0.8,-1.11,-0.7,-0.8,-3.04,-,-
Pretax Income,0.08,0.81,0.4,0.56,2.74,-0,-0
Income Tax,0.14,0.07,0,0,0,0,0
Net Income,-0.07,0.74,0.4,0.56,2.74,-0,-0
Shares Outstanding (Basic),12,13,13,13,5,3,3
Shares Outstanding (Diluted),12,13,13,13,5,3,3
Shares Change,134.35%,400.00%,400.00%,-,-,-,-
EPS (Basic),-0.01,0.06,0.03,0.04,0.55,-,-
EPS (Diluted),-0.01,0.06,0.03,0.04,0.55,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.02,-0.01,-0.10,-,-
Effective Tax Rate,188.85%,8.87%,0.50%,-,-,-,-
EBITDA,0.08,0.81,0.4,0.56,2.74,-0,-
EBIT,0.08,0.81,0.4,0.56,2.74,-0,-0
