Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,163.11,165.44,155.94,151.65,145.04,151.25,164.12,160.15,151.18,144.34,134.07,118.68,114.95,135.77,135.49,137.37,132.23,135.98,127.49,124.28,118.74,123.94,116.29,118.1,111.9,107.36,115.22,111.69,111,110.46,66.29,67.6,60.23,58.77,60.6,64.12,51.37,55.51,52.04,52.87,Upgrade
Revenue Growth (YoY),12.46%,9.38%,-4.98%,-5.31%,-4.06%,4.78%,22.41%,34.94%,31.52%,6.31%,-1.05%,-13.61%,-13.07%,-0.15%,6.27%,10.53%,11.36%,9.71%,9.63%,5.23%,6.11%,15.44%,0.93%,5.75%,0.81%,-2.80%,73.82%,65.22%,84.29%,87.93%,9.38%,5.43%,17.25%,5.89%,16.46%,21.27%,0.80%,3.08%,1.27%,80.90%,Upgrade
Gross Profit,163.11,165.44,155.94,151.65,145.04,151.25,164.12,160.15,151.18,144.34,134.07,118.68,114.95,135.77,135.49,137.37,132.23,135.98,127.49,124.28,118.74,123.94,116.29,118.1,111.9,107.36,115.22,111.69,111,110.46,66.29,67.6,60.23,58.77,60.6,64.12,51.37,55.51,52.04,52.87,Upgrade
"Selling, General & Admin",74.17,75.17,74.97,74.94,73.17,73.75,74.47,75.94,79.07,77.98,75.3,77.05,74.84,72.45,73.88,70.38,69.94,68.2,63.1,65.21,63.66,51.35,66.15,66.56,64.54,54.45,60.28,59.57,61.3,64.98,36.41,36.02,32.72,31.25,32.03,30.35,28.91,29.57,29.19,29.26,Upgrade
Other Operating Expenses,20.46,23.85,20.06,17.12,17.24,15.77,27.67,16.69,14.46,17.57,14.73,13.49,18.62,20.51,13.43,16.34,20.08,27.2,18.53,17.43,18.04,31.15,14.18,13.3,11.74,18.16,18.82,20.32,22.73,35.27,10.29,11.71,9.2,9.98,6.47,8.09,6.67,7.36,5.3,6.2,Upgrade
Operating Expenses,94.62,99.01,95.03,92.05,90.4,89.52,102.15,92.62,93.53,95.56,90.03,90.54,93.46,92.96,87.31,86.72,90.01,95.4,81.63,82.64,81.71,82.5,80.33,79.86,76.28,72.61,79.09,79.89,84.03,100.25,46.7,47.73,41.91,41.23,38.5,38.44,35.58,36.93,34.49,35.46,Upgrade
Operating Income,68.49,66.42,60.91,59.6,54.64,61.73,61.97,67.52,57.66,48.79,44.04,28.14,21.49,42.82,48.18,50.66,42.22,40.58,45.86,41.64,37.03,41.44,35.96,38.25,35.62,34.75,36.13,31.8,26.97,10.2,19.59,19.86,18.32,17.55,22.1,25.68,15.79,18.58,17.55,17.41,Upgrade
Other Expense / Income,-,-,-,-,0.79,2.28,-,-,-,-,-,-,-,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,68.49,66.42,60.91,59.6,53.85,59.44,61.97,67.52,57.66,48.79,44.04,28.14,21.49,42.08,48.18,50.66,42.22,40.58,45.86,41.64,37.03,41.44,35.96,38.25,35.62,34.75,36.13,31.8,26.97,10.2,19.59,19.86,18.32,17.55,22.1,25.68,15.79,18.58,17.55,17.41,Upgrade
Income Tax,12.94,12.04,11.84,11.63,9.88,9.52,12.09,13.14,10.8,9.83,7.49,4.59,4.61,8.43,8.6,10.96,8.87,3.05,8.08,9.22,8.24,54.99,10.88,12.79,11.83,11.94,12.28,10.84,9.19,3.31,6.64,6.62,6.18,5.83,7.29,8.7,5.24,7.36,5.88,5.66,Upgrade
Net Income,55.56,54.38,49.07,47.97,43.96,49.93,49.88,54.38,46.86,38.96,36.55,23.54,16.88,33.66,39.58,39.7,33.35,37.53,37.77,32.42,28.79,-13.55,25.08,25.45,23.79,22.8,23.85,20.96,17.77,6.89,12.95,13.25,12.13,11.71,14.82,16.99,10.55,11.21,11.67,11.75,Upgrade
Net Income Growth,26.37%,8.92%,-1.63%,-11.80%,-6.17%,28.16%,36.49%,131.01%,177.54%,15.75%,-7.65%,-40.70%,-49.37%,-10.32%,4.78%,22.44%,15.82%,-,50.63%,27.38%,21.00%,-,5.14%,21.46%,33.86%,230.83%,84.22%,58.18%,46.48%,-41.16%,-12.63%,-22.01%,15.03%,4.47%,27.04%,44.53%,-8.92%,-15.72%,-23.49%,-49.74%,Upgrade
Shares Outstanding (Basic),34,34,34,34,34,34,34,35,35,35,35,35,35,35,34,35,35,34,32,32,32,33,33,33,33,33,34,34,34,24,21,21,20,19,20,20,20,19,20,19,Upgrade
