Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+53 Quarters
Revenue,"1,182",341,675,489,728,492,690,778,769,"-1,379.5","1,050.5",979.3,"1,381.8","-1,258.3","1,437.6","1,348.5","1,334.2","1,464.6","1,423.1","1,397.2","1,381.7",-138.5,"1,912.4","1,821.8","1,879","1,827.6","1,885.6","1,748.8","1,676.1","1,748.8","1,589.1","1,500.6","1,601.2","1,485.71","1,319.13","1,265.16","1,232.9","1,141.09","1,096.45","1,028.09",Upgrade
Revenue Growth (YoY),62.36%,-30.69%,-2.17%,-37.15%,-5.33%,-,-34.32%,-20.56%,-44.35%,-,-26.93%,-27.38%,3.57%,-,1.02%,-3.49%,-3.44%,-,-25.59%,-23.31%,-26.47%,-,1.42%,4.17%,12.11%,4.51%,18.66%,16.54%,4.68%,17.71%,20.47%,18.61%,29.87%,30.20%,20.31%,23.06%,17.04%,17.41%,20.29%,18.65%,Upgrade
Cost of Revenue,0,0,0,0,0,0,0,0,0,"-1,474.7",482.7,492.8,499.2,"-1,982.6",687.5,654.8,640.5,697.8,654,593.6,591.7,-653.6,"1,066.5","1,014.4","1,042.1","1,199.2","1,045.6","1,027.9","1,003.9","1,026.9",901,896.6,990,895.59,767.42,783.37,772.43,681.07,628.39,619.29,Upgrade
Gross Profit,"1,182",341,675,489,728,492,690,778,769,95.2,567.8,486.5,882.6,724.3,750.1,693.7,693.7,766.8,769.1,803.6,790,515.1,845.9,807.4,836.9,628.4,840,720.9,672.2,721.9,688.1,604,611.2,590.12,551.72,481.79,460.47,460.02,468.06,408.81,Upgrade
"Selling, General & Admin",379,374,328,325,292,310,284,280,279,"1,074.8",29,20.4,23.9,"1,277.6",31.8,57.3,38.3,41.2,43.6,46.4,31.3,34.4,38,42.4,44.6,31.8,41,42.9,27.6,26.5,40.9,40.9,30.2,40,39.17,28.3,34.03,24.72,33.85,28.26,Upgrade
Other Operating Expenses,165,175,158,148,134,118,147,144,123,-651,247.8,291.4,694.7,-145,342.2,299.1,298.5,217,245.7,360.5,386.4,145.6,329,413.6,439.9,416.9,378,357.4,300.3,331.4,359.7,277.4,256.5,337.69,190.91,170.95,144.66,185.56,145.45,111.37,Upgrade
Operating Expenses,544,549,486,473,426,428,431,424,402,423.8,276.8,311.8,718.6,"1,132.6",374,356.4,336.8,258.2,289.3,406.9,417.7,180,367,456,484.5,448.7,419,400.3,327.9,357.9,400.6,318.3,286.7,377.69,230.08,199.25,178.68,210.28,179.29,139.63,Upgrade
Operating Income,638,-208,189,16,302,64,259,354,367,-328.6,291,174.7,164,-408.3,376.1,337.3,356.9,508.6,479.8,396.7,372.3,335.1,478.9,351.4,352.4,179.7,421,320.6,344.3,364,287.5,285.7,324.5,212.43,321.64,282.54,281.79,249.74,288.77,269.18,Upgrade
Interest Expense / Income,0,0,0,0,0,0,0,0,0,-381.3,115.1,127.7,138.6,-427.4,140,143.5,143.9,144.8,136.8,133.6,131.8,47.4,145.3,137.5,125.2,117.7,108.3,103.7,98.8,89.4,82.1,80.7,78,68.36,61.46,62.93,67.75,65.48,74.02,83.47,Upgrade
Other Expense / Income,-,-,-,-,1,42,-18,-11,-18,-6,-,-,-,-105.6,301.1,3.4,29.1,-31.8,-7.8,6,12.6,-19.5,-,-,-,-,-,-,1.8,5.9,2,-1.3,2.2,9,0.71,1.75,-1.65,-,-,-,Upgrade
