Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+36 Quarters
Revenue,13.77,14.65,14.86,13.51,11.94,13.24,12.41,12.88,12.17,13.41,12.45,12.45,12.9,14.19,14.85,10.57,14.93,21.37,14.56,16.05,14.82,15.01,14.35,13.75,13.47,13.91,13.99,11.85,13.99,14.47,14.11,13.68,13.79,19.16,13.04,10.75,10.8,20.77,11.66,11.14,Upgrade
Revenue Growth (YoY),15.26%,10.67%,19.73%,4.90%,-1.89%,-1.26%,-0.31%,3.48%,-5.61%,-5.48%,-16.18%,17.73%,-13.62%,-33.63%,2.01%,-34.14%,0.76%,42.39%,1.42%,16.73%,10.02%,7.91%,2.58%,16.03%,-3.70%,-3.85%,-0.85%,-13.36%,1.47%,-24.50%,8.27%,27.23%,27.66%,-7.71%,11.77%,-3.45%,-1.81%,-,29.88%,-14.13%,Upgrade
Gross Profit,13.77,14.65,14.86,13.51,11.94,13.24,12.41,12.88,12.17,13.41,12.45,12.45,12.9,14.19,14.85,10.57,14.93,21.37,14.56,16.05,14.82,15.01,14.35,13.75,13.47,13.91,13.99,11.85,13.99,14.47,14.11,13.68,13.79,19.16,13.04,10.75,10.8,20.77,11.66,11.14,Upgrade
"Selling, General & Admin",8.99,8.78,8.59,8.89,8.95,9.05,8.91,8.8,8.88,8.58,8.46,8.1,8.64,8.25,8.48,8.05,8.8,9.88,8,8.83,8.17,7.89,8.17,8.01,9.44,8.71,8,8.6,8.96,8.95,8.16,8.22,8.67,8.93,8.52,8.6,9.06,10.09,9.33,9.98,Upgrade
Other Operating Expenses,1.3,1.26,2.02,1.31,1.34,1.3,1.26,1.44,1.31,1.2,1.33,1.15,0.99,1.32,1.03,1.42,1.3,1.28,1.42,1.39,1.79,1.43,2.04,1.6,1.83,1.49,1.91,1.91,1.97,2.22,2.08,1.81,1.84,2.12,2.6,2.43,2.28,1.26,3.06,2.78,Upgrade
Operating Expenses,10.29,10.04,10.6,10.2,10.29,10.35,10.17,10.24,10.19,9.77,9.79,9.25,9.63,9.56,9.51,9.47,10.1,11.16,9.43,10.22,9.96,9.32,10.2,9.61,11.27,10.19,9.91,10.51,10.93,11.17,10.23,10.03,10.51,11.05,11.12,11.03,11.35,11.35,12.39,12.76,Upgrade
Operating Income,3.47,4.61,4.26,3.31,1.65,2.89,2.24,2.64,1.99,3.63,2.66,3.2,3.27,4.62,5.34,1.1,4.83,10.22,5.13,5.84,4.86,5.69,4.15,4.14,2.2,3.72,4.08,1.35,3.06,3.3,3.88,3.65,3.27,8.12,1.92,-0.28,-0.55,9.42,-0.73,-1.63,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.83,-1.71,-1.7,-1.51,7.91,-1.77,-1.7,Upgrade
Pretax Income,3.47,4.61,4.26,3.31,1.65,2.89,2.24,2.64,1.99,3.63,2.66,3.2,3.27,4.62,5.34,1.1,4.83,10.22,5.13,5.84,4.86,5.69,4.15,4.14,2.2,3.72,4.08,1.35,3.06,3.3,3.88,3.65,3.27,3.28,3.63,1.43,0.96,1.51,1.04,0.08,Upgrade
Income Tax,0.84,1.17,1.04,0.74,0.39,0.52,0.6,0.71,0.52,1.19,0.71,0.85,0.85,1.23,1.42,0.29,1.28,2.8,1.4,1.21,1.3,4.7,0.59,1.57,0.32,1.46,1.57,0.51,1.15,1.18,1.53,1.42,1.29,-31.4,0.04,0.03,0.02,0,0,0,Upgrade
Net Income,2.63,3.44,3.22,2.57,1.27,2.37,1.64,1.93,1.47,2.45,1.95,2.35,2.42,3.39,3.92,0.81,3.55,7.42,3.74,4.63,3.56,0.99,3.56,2.57,1.88,2.26,2.51,0.83,1.9,2.12,2.35,2.22,1.99,34.68,3.59,1.4,0.94,1.51,1.04,0.08,Upgrade
Net Income Growth,107.65%,45.00%,95.92%,33.28%,-13.68%,-3.03%,-15.61%,-18.11%,-39.25%,-27.88%,-50.36%,191.45%,-31.91%,-54.29%,5.00%,-82.57%,-0.22%,648.34%,4.97%,80.02%,89.21%,-56.13%,41.95%,209.51%,-1.21%,6.76%,6.77%,-62.63%,-4.13%,-93.90%,-34.57%,58.40%,110.83%,2204.19%,245.52%,1747.37%,38.94%,-,-,-90.48%,Upgrade
Shares Outstanding (Basic),13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,16,17,17,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,Upgrade
Shares Outstanding (Diluted),13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,16,17,17,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,Upgrade
