Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Revenue,57.92,61.29,58.32,53.64,44.75,44.7,42.26,52.87,41.79,47,38.66,30.47,21.65,22.69,21.7,23.11,20.8,18.67,16.68,16.51,15.76,10.73,11.53,11.99,11.51,10.36,11.01,10.22,10.2,9.72,10.57,9.39,6.45,6.27,6.06,6.02,6.2
Revenue Growth (YoY),29.41%,37.10%,38.01%,1.45%,7.09%,-4.88%,9.31%,73.50%,93.04%,107.12%,78.14%,31.86%,4.09%,21.54%,30.10%,39.99%,31.96%,73.96%,44.70%,37.74%,36.94%,3.59%,4.70%,17.26%,12.81%,6.56%,4.16%,8.82%,58.29%,55.06%,74.42%,55.98%,3.97%,-,-,-,-
Gross Profit,57.92,61.29,58.32,53.64,44.75,44.7,42.26,52.87,41.79,47,38.66,30.47,21.65,22.69,21.7,23.11,20.8,18.67,16.68,16.51,15.76,10.73,11.53,11.99,11.51,10.36,11.01,10.22,10.2,9.72,10.57,9.39,6.45,6.27,6.06,6.02,6.2
"Selling, General & Admin",28.18,27.12,27.03,26.32,24.12,21.21,20.7,21.02,18.64,18.28,18.66,20.51,11.33,10.74,10.93,10.64,10.45,8.97,8.71,7.93,8.12,6.86,6.7,6.59,6.15,5.88,6.32,6.05,5.8,5.53,5.62,5.34,3.6,3.48,3.44,3.39,3.36
Other Operating Expenses,10.5,11.22,13.92,10.08,9.6,8.89,8.63,9.89,8.09,11.32,8.29,7.29,5.32,4.46,3.95,3.94,3.34,5.44,3.16,4.1,3.82,2.84,2.52,2.53,2.61,2.48,2.84,3.1,2.6,2.86,3.63,2.64,1.29,1.7,1.23,1.25,1.31
Operating Expenses,38.68,38.35,40.95,36.4,33.72,30.1,29.33,30.91,26.73,29.6,26.95,27.8,16.64,15.2,14.88,14.58,13.79,14.41,11.87,12.03,11.94,9.71,9.21,9.11,8.77,8.36,9.16,9.15,8.4,8.39,9.25,7.98,4.88,5.18,4.67,4.63,4.66
Operating Income,19.24,22.94,17.38,17.24,11.03,14.6,12.93,21.96,15.06,17.4,11.71,2.68,5.01,7.49,6.82,8.53,7.01,4.26,4.81,4.48,3.82,1.02,2.31,2.87,2.74,2,1.85,1.07,1.8,1.33,1.32,1.41,1.56,1.09,1.39,1.39,1.54
Pretax Income,19.24,22.94,17.38,17.24,11.03,14.6,12.93,21.96,15.06,17.4,11.71,2.68,5.01,7.49,6.82,8.53,7.01,4.26,4.81,4.48,3.82,1.02,2.31,2.87,2.74,2,1.85,1.07,1.8,1.33,1.32,1.41,1.56,1.09,1.39,1.39,1.54
Income Tax,4.21,4.97,3.58,3.48,2.3,2.54,2.62,4.54,2.73,3.56,2.1,0.62,0.51,1.73,1.31,1.69,1.35,0.82,0.91,0.85,0.71,1.89,0.63,0.82,0.77,0.51,0.47,0.23,0.4,0.33,0.38,0.39,0.43,0.26,0.36,0.36,0.4
Net Income,15.03,17.97,13.8,13.76,8.73,12.07,10.31,17.43,12.33,13.83,9.61,2.05,4.5,5.76,5.51,6.84,5.66,3.45,3.9,3.64,3.11,-0.86,1.68,2.05,1.98,1.49,1.38,0.84,1.4,1,0.94,1.02,1.13,0.83,1.03,1.03,1.14
Preferred Dividends,1.35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Common,13.68,16.62,13.8,13.76,8.73,12.07,10.31,17.43,12.33,13.83,9.61,2.05,4.5,5.76,5.51,6.84,5.66,3.45,3.9,3.64,3.11,-0.86,1.68,2.05,1.98,1.49,1.38,0.84,1.4,1,0.94,1.02,1.13,0.83,1.03,1.03,1.14
Net Income Growth,56.63%,37.69%,33.84%,-21.06%,-29.18%,-12.77%,7.31%,749.32%,174.04%,140.22%,74.36%,-70.01%,-20.50%,67.17%,41.31%,88.10%,82.08%,-,131.87%,77.29%,57.29%,-,21.88%,144.00%,40.74%,48.45%,46.96%,-17.79%,23.92%,20.46%,-8.83%,-0.97%,-0.53%,-,-,-,-
Shares Outstanding (Basic),25,25,23,23,20,20,21,21,21,21,21,21,13,13,13,13,13,12,12,10,10,10,7,7,7,7,7,7,7,7,7,7,5,5,-,-,-
Shares Change,23.09%,23.13%,10.06%,8.52%,-1.40%,-1.35%,-0.73%,0.61%,53.97%,55.65%,54.62%,54.68%,0.88%,15.12%,15.90%,30.08%,30.18%,12.72%,66.36%,48.17%,47.99%,45.30%,-1.49%,-1.49%,-1.75%,0.09%,-2.34%,-2.16%,32.41%,32.38%,-,-,-,-,-,-,-
EPS (Basic),0.55,0.69,0.61,0.61,0.42,0.59,0.51,0.84,0.60,0.72,0.47,0.11,0.34,0.44,0.41,0.51,0.43,0.28,0.34,0.34,0.30,-0.19,0.24,0.30,0.29,0.21,0.20,0.12,0.20,0.14,0.13,0.14,0.21,0.16,0.19,0.19,0.21
EPS (Diluted),0.54,0.68,0.61,0.61,0.41,0.59,0.50,0.84,0.59,0.71,0.46,0.11,0.34,0.42,0.40,0.50,0.41,0.27,0.33,0.33,0.29,-0.17,0.23,0.28,0.27,0.21,0.19,0.11,0.19,0.14,0.12,0.14,0.20,0.14,0.19,0.19,0.21
EPS Growth,31.71%,15.25%,22.00%,-27.38%,-30.51%,-16.90%,8.70%,663.64%,73.53%,69.05%,15.00%,-78.00%,-17.07%,55.56%,21.21%,51.52%,41.38%,-,43.48%,17.86%,7.41%,-,21.05%,154.55%,42.11%,50.00%,58.33%,-21.43%,-5.00%,0%,-36.84%,-26.32%,-4.76%,-,-,-,-
Free Cash Flow Per Share,0.83,0.43,0.88,0.69,0.76,0.57,0.59,0.53,0.85,0.68,1.07,-0.73,0.41,0.07,0.36,0.47,0.63,0.22,0.60,0.48,0.39,0.07,0.46,0.25,0.26,0.20,0.23,0.23,0.32,0.07,0.00,-0.02,0.39,0.17,-,-,-
Dividend Per Share,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.080,0.080,0.080,0.080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,20.00%,20.00%,20.00%,20.00%,0%,0%,0%,0%,25.00%,25.00%,25.00%,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.21%,37.43%,29.79%,32.14%,24.65%,32.67%,30.59%,41.54%,36.04%,37.01%,30.28%,8.78%,23.12%,33.00%,31.44%,36.92%,33.70%,22.82%,28.84%,27.16%,24.22%,9.54%,20.07%,23.95%,23.83%,19.29%,16.84%,10.48%,17.65%,13.71%,12.45%,15.00%,24.25%,17.32%,22.89%,23.05%,24.78%
Profit Margin,23.61%,27.11%,23.66%,25.65%,19.51%,27.00%,24.40%,32.96%,29.50%,29.44%,24.86%,6.73%,20.78%,25.38%,25.40%,29.61%,27.21%,18.45%,23.38%,22.04%,19.72%,-8.03%,14.59%,17.12%,17.17%,14.34%,12.53%,8.23%,13.76%,10.30%,8.88%,10.89%,17.58%,13.25%,17.00%,17.15%,18.37%
Free Cash Flow Margin,36.02%,17.61%,34.15%,28.94%,34.77%,26.25%,28.50%,20.82%,42.33%,29.70%,56.98%,-49.45%,25.19%,4.37%,22.00%,27.21%,40.40%,13.81%,41.41%,29.65%,25.23%,6.84%,27.58%,14.62%,15.62%,13.32%,14.57%,15.63%,22.02%,5.16%,0.18%,-1.51%,31.92%,14.18%,13.76%,18.55%,61.85%
Effective Tax Rate,21.89%,21.68%,20.58%,20.21%,20.87%,17.37%,20.24%,20.65%,18.15%,20.47%,17.92%,23.29%,10.11%,23.09%,19.23%,19.81%,19.25%,19.13%,18.92%,18.85%,18.57%,184.18%,27.28%,28.53%,27.96%,25.63%,25.57%,21.48%,22.04%,24.91%,28.65%,27.40%,27.51%,23.48%,25.74%,25.58%,25.85%
EBITDA,20.42,24.12,18.7,18.45,12.14,15.65,13.97,23.01,16.09,18.41,12.7,3.46,5.38,7.85,7.25,8.94,7.41,4.58,5.1,4.76,4.11,1.29,2.59,3.18,3.06,2.34,2.17,1.39,2.12,1.68,1.62,1.75,1.77,1.29,1.59,1.59,1.74
EBITDA Margin,35.26%,39.35%,32.06%,34.40%,27.14%,35.01%,33.07%,43.51%,38.51%,39.16%,32.86%,11.34%,24.87%,34.61%,33.39%,38.67%,35.61%,24.53%,30.56%,28.83%,26.06%,12.06%,22.50%,26.54%,26.61%,22.60%,19.75%,13.58%,20.78%,17.26%,15.32%,18.64%,27.39%,20.53%,26.27%,26.39%,28.05%
