Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+101 Quarters
Revenue,"120,151","92,628","63,469","9,261","68,832","112,325","75,504","96,508","70,299","103,735","94,606","96,925","-9,010","96,679","75,898","73,646","81,000","28,206","78,156","68,562","50,458","58,907","60,525","57,518","65,187","57,673","59,068","54,460","52,403","51,820","58,989","51,368","48,644","48,259","51,199","49,762","45,453","47,049","46,541","44,693",Upgrade
Revenue Growth (YoY),74.56%,-17.54%,-15.94%,-90.40%,-2.09%,8.28%,-20.19%,-0.43%,-,7.30%,24.65%,31.61%,-,242.76%,-2.89%,7.42%,60.53%,-52.12%,29.13%,19.20%,-22.59%,2.14%,2.47%,5.62%,24.40%,11.29%,0.13%,6.02%,7.73%,7.38%,15.22%,3.23%,7.02%,2.57%,10.01%,11.34%,3.62%,5.21%,13.38%,15.95%,Upgrade
Cost of Revenue,0,"124,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Gross Profit,"120,151","-31,691","63,469","9,261","68,832","112,325","75,504","96,508","70,299","103,735","94,606","96,925","-9,010","96,679","75,898","73,646","81,000","28,206","78,156","68,562","50,458","58,907","60,525","57,518","65,187","57,673","59,068","54,460","52,403","51,820","58,989","51,368","48,644","48,259","51,199","49,762","45,453","47,049","46,541","44,693",Upgrade
Selling & Marketing,"5,602","7,425","4,068","3,762","4,251","4,999","4,889","5,045","3,910","5,505","5,181","4,652","4,471","5,677","4,384","4,829","4,432","4,531","4,548","4,668","4,491","4,638","4,496","4,489","4,558","5,169","4,424","4,509","4,115","3,956","4,130","3,780","3,443","3,732","3,384","3,389","3,265","3,228","2,909","2,926",Upgrade
General & Administrative,"1,477","1,402","1,418","1,498","1,232","1,221","1,116",982,882,915,854,749,"1,002",973,"1,010","1,000","1,020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Other Operating Expenses,0,"139,033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Operating Expenses,0,"142,310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Operating Income,"45,717","23,193","-3,125","-54,774","7,721","49,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Interest Income,"3,229","3,162","2,378","2,861","1,862","1,921","1,795","1,898","1,851","1,949","1,717","2,150","2,276","2,345","2,483","2,295","2,117","2,095","1,993","1,908","1,682","1,704","1,680","1,686","1,512",787,"1,642","2,028","1,723","1,910","1,461","1,739","1,635","1,550","1,503","1,912","1,493","1,644","1,460","1,952",Upgrade
Interest Expense,"1,218","1,139","1,092","1,087","1,034",990,"1,056","1,076","1,050","1,057","1,000","1,002","1,024",993,985,992,991,"1,244",896,521,"1,192","1,594","1,233","1,500","1,067",554,"1,043",727,"1,173",808,865,967,875,830,817,824,782,718,706,691,Upgrade
Other Expense / Income,"3,229","3,162","2,278","2,482","1,862","1,669","-11,445","-34,568","-13,598","-44,216","-36,937","-34,149","64,350","-35,378","-18,858","-16,356","-26,450","33,573","-21,883","-13,645","2,080","-6,176","-5,047","-5,850","-5,164","-9,012","-9,791","-5,990","-5,838","-6,210","-13,377","-4,980","-6,818","-5,058","-5,960","-7,765","-5,819","-6,233","-6,524","-5,559",Upgrade
Pretax Income,"44,752","22,211","-4,117","-55,482","6,812","48,953","12,484","35,721","14,528","45,403","37,930","35,409","-63,049","36,801","20,489","17,759","27,647","-32,721","23,147","15,098","-1,523","6,391","5,630","6,129","5,688","9,314","10,525","7,372","6,456","7,381","14,072","5,846","7,647","5,841","6,750","8,916","6,598","7,232","7,378","6,891",Upgrade
