Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,116.75,119.37,114.87,105.29,106.08,110.33,105.88,99.25,103.13,100.29,96.49,85.89,79.73,101.21,101,98.81,92.22,82.95,81.87,80.92,81.24,83.8,75.28,61.93,61.53,62.14,62.93,55.43,43.79,44.91,43.98,43.97,42.14,40.83,40.12,39.03,38.54,38.03,38.86,39.03,Upgrade
Revenue Growth (YoY),10.06%,8.19%,8.49%,6.09%,2.86%,10.01%,9.74%,15.56%,29.35%,-0.90%,-4.47%,-13.08%,-13.54%,22.01%,23.37%,22.11%,13.52%,-1.01%,8.75%,30.66%,32.03%,34.86%,19.64%,11.72%,40.51%,38.34%,43.07%,26.05%,3.92%,10.01%,9.64%,12.66%,9.32%,7.34%,3.22%,0.01%,-1.74%,-4.30%,3.27%,6.80%,Upgrade
Gross Profit,116.75,119.37,114.87,105.29,106.08,110.33,105.88,99.25,103.13,100.29,96.49,85.89,79.73,101.21,101,98.81,92.22,82.95,81.87,80.92,81.24,83.8,75.28,61.93,61.53,62.14,62.93,55.43,43.79,44.91,43.98,43.97,42.14,40.83,40.12,39.03,38.54,38.03,38.86,39.03,Upgrade
"Selling, General & Admin",52.48,54.05,51.71,50.25,51.43,49.81,56.74,46.02,41.25,41.79,43.36,39.59,45.56,48.96,50.92,46.75,43.04,36.87,35.52,34.98,38.9,39.32,36.11,27.54,30.29,31.46,32.19,28.77,22.44,22.13,22.82,23.05,24.48,22.88,21.29,21.36,21.96,22.16,22,22.24,Upgrade
Other Operating Expenses,17.92,19.63,19.02,18.84,18.95,21.36,16.75,16.61,13.25,22.28,13.19,13.48,14.95,16.53,17.2,21.27,14.12,11.9,10.41,12.32,12.14,13.78,10.83,9.23,7.33,12.95,7.23,7.58,5.25,6.23,5.13,5.4,6.07,5.59,5.01,5.46,4.66,5.42,5.36,5.56,Upgrade
Operating Expenses,70.4,73.68,70.74,69.09,70.38,71.17,73.49,62.63,54.5,64.07,56.54,53.07,60.51,65.49,68.12,68.02,57.16,48.77,45.93,47.31,51.04,53.1,46.94,36.77,37.62,44.41,39.42,36.35,27.69,28.36,27.95,28.45,30.55,28.47,26.3,26.82,26.62,27.59,27.36,27.8,Upgrade
Operating Income,46.35,45.69,44.14,36.2,35.71,39.16,32.4,36.63,48.64,36.22,39.95,32.82,19.22,35.72,32.88,30.79,35.05,34.18,35.94,33.61,30.2,30.7,28.35,25.16,23.91,17.73,23.51,19.08,16.1,16.55,16.03,15.53,11.59,12.36,13.82,12.21,11.93,10.45,11.51,11.23,Upgrade
Pretax Income,46.35,45.69,44.14,36.2,35.71,39.16,32.4,36.63,48.64,36.22,39.95,32.82,19.22,35.72,32.88,30.79,35.05,34.18,35.94,33.61,30.2,30.7,28.35,25.16,23.91,17.73,23.51,19.08,16.1,16.55,16.03,15.53,11.59,12.36,13.82,12.21,11.93,10.45,11.51,11.23,Upgrade
Income Tax,9.56,11.31,8.48,6.38,7.27,9.24,6.46,6.86,10.82,7.88,9.12,7.01,3.86,7.15,8.05,6.7,9.59,8.89,9.08,8.75,8.28,18.41,9.56,8.68,8.74,6.27,8.09,6.7,5.67,5.87,5.41,5.59,3.83,4.76,4.71,4.03,4.04,3.53,3.57,3.79,Upgrade
Net Income,36.79,34.39,35.66,29.82,28.44,29.93,25.94,29.77,37.82,28.35,30.83,25.81,15.36,28.57,24.83,24.09,25.47,25.29,26.86,24.86,21.92,12.29,18.78,16.48,15.17,11.46,15.42,12.38,10.43,10.68,10.63,9.94,7.76,7.59,9.11,8.19,7.89,6.92,7.93,7.44,Upgrade
