Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
"Selling, General & Admin",0.68,0.49,0.27,0.29,0.35,0.34,0.23,0.29,0.16,0.02
Operating Expenses,0.68,0.49,0.27,0.29,0.35,0.34,0.23,0.29,0.16,0.02
Operating Income,-0.68,-0.49,-0.27,-0.29,-0.35,-0.34,-0.23,-0.29,-0.16,-0.02
Other Expense / Income,-1.84,-2.44,-1.78,-2.2,-5.6,-1.51,-10.03,4.42,1.07,-
Pretax Income,1.16,1.95,1.51,1.91,5.26,1.17,9.8,-4.71,-1.23,-0.02
Net Income,1.16,1.95,1.51,1.91,5.26,1.17,9.8,-4.71,-1.23,-0.02
Net Income Growth,-77.87%,66.80%,-84.58%,-,-,-,-,-,-,-
Shares Outstanding (Basic),36,41,41,41,41,34,41,41,12,8
Shares Outstanding (Diluted),36,41,41,41,41,34,41,41,12,8
Shares Change,-12.05%,20.82%,-,1.84%,236.34%,357.88%,-,-,-,-
EPS (Basic),0.03,0.05,0.04,0.05,0.13,0.03,0.24,-0.12,-0.11,-
EPS (Diluted),0.03,0.05,0.04,0.05,0.13,0.03,0.24,-0.12,-0.11,-
EPS Growth,-76.92%,66.67%,-83.33%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.01,-0.10,-
EBITDA,1.16,1.95,1.51,1.91,5.26,1.17,9.8,-4.71,-1.23,-0.02
EBIT,1.16,1.95,1.51,1.91,5.26,1.17,9.8,-4.71,-1.23,-0.02
