Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,42.14,46.3,45,45.33,47.27,47.67,44.91,48.25,49.54,49.53,46.19,37.2,41.45,43.97,41.93,40.44,40.54,41.06,40.46,38,38.2,39.26,38.64,37.11,35.85,38.14,38.09,36.2,35,33.88,26.29,26.69,25.14,24.91,24.78,25.11,23.6,26.97,24.52,24.93,Upgrade
Revenue Growth (YoY),-10.83%,-2.87%,0.22%,-6.06%,-4.58%,-3.77%,-2.78%,29.71%,19.49%,12.65%,10.15%,-8.00%,2.25%,7.10%,3.64%,6.42%,6.12%,4.58%,4.71%,2.39%,6.57%,2.94%,1.44%,2.51%,2.43%,12.58%,44.88%,35.64%,39.24%,35.99%,6.09%,6.30%,6.50%,-7.63%,1.09%,0.71%,-4.95%,8.55%,8.40%,7.07%,Upgrade
Gross Profit,42.14,46.3,45,45.33,47.27,47.67,44.91,48.25,49.54,49.53,46.19,37.2,41.45,43.97,41.93,40.44,40.54,41.06,40.46,38,38.2,39.26,38.64,37.11,35.85,38.14,38.09,36.2,35,33.88,26.29,26.69,25.14,24.91,24.78,25.11,23.6,26.97,24.52,24.93,Upgrade
"Selling, General & Admin",20.92,21.49,21.73,21.7,21.79,21.56,21.49,21.07,20.36,22.18,19.51,19.52,19.9,20.03,18.91,18.8,18.39,18.37,18.29,18.02,17.83,17.92,16.89,17.15,17.05,16.38,16.82,17.15,16.78,16.88,12.06,12.3,12.36,12.22,11.43,12.1,11.67,11.97,11.53,11.88,Upgrade
Other Operating Expenses,5.25,5.51,5.36,4.85,4.42,5.41,4.78,4.52,4.54,4.51,5.71,3.99,4.66,4.79,4.83,5.16,4.4,5.21,4.88,4.88,4.48,5.18,4.94,5,4.38,6.13,5.33,5.18,6.13,14.59,4.65,3.86,4.44,4.08,3.75,3.7,3.46,7.02,3.67,3.76,Upgrade
Operating Expenses,26.17,26.99,27.09,26.56,26.21,26.97,26.26,25.59,24.9,26.69,25.22,23.51,24.56,24.81,23.75,23.96,22.78,23.58,23.17,22.9,22.3,23.1,21.83,22.16,21.43,22.51,22.15,22.33,22.91,31.47,16.71,16.16,16.8,16.3,15.18,15.79,15.13,18.99,15.2,15.65,Upgrade
Operating Income,15.98,19.31,17.91,18.77,21.06,20.7,18.64,22.66,24.64,22.84,20.97,13.69,16.89,19.16,18.18,16.48,17.76,17.48,17.3,15.1,15.9,16.16,16.82,14.96,14.42,15.63,15.95,13.87,12.09,2.41,9.58,10.53,8.33,8.61,9.61,9.32,8.48,7.98,9.32,9.28,Upgrade
Pretax Income,15.98,19.31,17.91,18.77,21.06,20.7,18.64,22.66,24.64,22.84,20.97,13.69,16.89,19.16,18.18,16.48,17.76,17.48,17.3,15.1,15.9,16.16,16.82,14.96,14.42,15.63,15.95,13.87,12.09,2.41,9.58,10.53,8.33,8.61,9.61,9.32,8.48,7.98,9.32,9.28,Upgrade
Income Tax,3.25,3.95,3.65,3.75,4.26,4.21,4,4.52,4.9,4.56,4.19,2.75,3.4,3.92,3.7,3.28,3.48,3.5,3.24,2.89,3.08,19.34,5.48,4.72,4.34,4.73,5.04,4.26,3.44,0.72,3.13,3.34,2.72,2.52,3.15,3,2.76,3.56,2.95,2.95,Upgrade
Net Income,12.73,15.35,14.27,15.03,16.8,16.49,14.64,18.14,19.74,18.28,16.78,10.94,13.49,15.24,14.49,13.2,14.27,13.98,14.06,12.22,12.82,-3.17,11.34,10.23,10.08,10.9,10.9,9.62,8.65,1.69,6.46,7.19,5.61,6.09,6.45,6.32,5.72,4.42,6.37,6.33,Upgrade
