Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Revenue,2.3,2.49,2.56,2.28,2.2,2.16,2.21,2.09,2,1.96,1.94
Revenue Growth (YoY),4.54%,15.31%,15.97%,9.23%,10.26%,10.42%,13.80%,-,-,-,-
Gross Profit,2.3,2.49,2.56,2.28,2.2,2.16,2.21,2.09,2,1.96,1.94
"Selling, General & Admin",1.88,2.07,1.73,1.69,1.65,1.88,1.62,1.54,1.51,1.73,1.49
Other Operating Expenses,0.02,0.02,0.02,0.02,1.58,0.02,0.02,0.02,0.02,0.02,0.02
Operating Expenses,1.9,2.09,1.75,1.71,3.23,1.9,1.64,1.56,1.53,1.75,1.51
Operating Income,0.4,0.41,0.82,0.58,-1.02,0.27,0.57,0.53,0.47,0.2,0.44
Pretax Income,0.4,0.41,0.82,0.58,-1.02,0.27,0.57,0.53,0.47,0.2,0.44
Income Tax,0.05,0.07,0.17,0.01,-0.2,0.03,0.1,0.14,0.07,-0.01,0.06
Net Income,0.36,0.34,0.65,0.56,-0.83,0.23,0.47,0.4,0.4,0.22,0.38
Net Income Growth,-,45.73%,36.65%,42.42%,-,8.84%,24.21%,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,6,7,7,7,-,-,-
Shares Outstanding (Diluted),6,6,6,-,6,-,-,-,-,-,-
Shares Change,14.55%,-4.55%,-4.59%,-10.44%,-,-,-,-,-,-,-
EPS (Basic),0.06,0.05,0.10,-,-0.15,-,-,-,-,-,-
EPS (Diluted),0.06,0.05,0.10,-,-0.15,-,-,-,-,-,-
Free Cash Flow Per Share,0.06,0.02,0.11,0.11,0.20,-0.07,0.06,0.09,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,17.46%,16.29%,31.80%,25.22%,-46.48%,12.30%,25.88%,25.39%,23.42%,10.42%,22.40%
Profit Margin,15.41%,13.68%,25.17%,24.69%,-37.59%,10.82%,21.36%,18.94%,20.07%,10.98%,19.57%
Free Cash Flow Margin,15.11%,5.86%,26.92%,29.38%,50.79%,-20.21%,18.14%,27.36%,37.19%,-3.47%,28.58%
Effective Tax Rate,11.69%,16.01%,20.86%,2.08%,-,12.03%,17.48%,25.42%,14.32%,-5.39%,12.64%
EBITDA,0.56,0.57,1,0.79,-0.73,0.4,0.77,0.73,0.65,0.37,0.6
EBITDA Margin,24.40%,22.98%,38.82%,34.37%,-33.23%,18.59%,34.89%,34.86%,32.48%,18.95%,31.05%
Depreciation & Amortization,0.16,0.17,0.18,0.21,0.29,0.14,0.2,0.2,0.18,0.17,0.17
EBIT,0.4,0.41,0.82,0.58,-1.02,0.27,0.57,0.53,0.47,0.2,0.44
EBIT Margin,17.46%,16.29%,31.80%,25.22%,-46.48%,12.30%,25.88%,25.39%,23.42%,10.42%,22.40%
