Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-07
"Selling, General & Admin",0.16,0.29,0.43,0.38,0.35,0.36,0.05,0
Operating Expenses,0.16,0.29,0.43,0.38,0.35,0.36,0.05,0
Operating Income,-0.16,-0.29,-0.43,-0.38,-0.35,-0.36,-0.05,-0
Other Expense / Income,1.2,-0.23,-0.46,-0.99,0.03,-1.16,-,-
Pretax Income,-1.35,-0.06,0.03,0.6,-0.39,0.79,-0.05,-0
Net Income,-1.35,-0.06,0.03,0.6,-0.39,0.79,-0.05,-0
Shares Outstanding (Basic),7,4,10,10,6,8,2,3
Shares Outstanding (Diluted),7,4,10,10,6,8,2,3
Shares Change,6.24%,-47.00%,400.00%,300.00%,-,-,-,-
EPS (Basic),-0.21,-0.05,-,0.06,0.56,-0.73,-0.02,-
EPS (Diluted),-0.21,-0.05,-,0.06,0.56,-0.73,-0.02,-
Free Cash Flow Per Share,0.02,-0.04,-0.01,-0.01,-0.01,-0.12,-0.04,-0.00
EBITDA,-1.35,-0.06,0.03,0.6,-0.39,0.79,-0.05,-0
EBIT,-1.35,-0.06,0.03,0.6,-0.39,0.79,-0.05,-0
