Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,960,987,957,819,711,775,797,884,895,751,705,580,339,802,807,809,857,848,833,867,781,813,797,759,725,687,706,664,543,639,656,632,651,627,624,625,609,640,632,623,Upgrade
Revenue Growth (YoY),35.02%,27.35%,20.08%,-7.35%,-20.56%,3.20%,13.05%,52.41%,164.01%,-6.36%,-12.64%,-28.31%,-60.44%,-5.42%,-3.12%,-6.69%,9.73%,4.31%,4.52%,14.23%,7.72%,18.34%,12.89%,14.31%,33.52%,7.51%,7.62%,5.06%,-16.59%,1.91%,5.13%,1.12%,6.90%,-2.03%,-1.27%,0.32%,-0.65%,-3.61%,4.98%,-0.64%,Upgrade
Gross Profit,960,987,957,819,711,775,797,884,895,751,705,580,339,802,807,809,857,848,833,867,781,813,797,759,725,687,706,664,543,639,656,632,651,627,624,625,609,640,632,623,Upgrade
"Selling, General & Admin",379,385,363,347,338,348,335,328,333,326,309,298,291,311,305,294,314,303,304,261,266,413,249,242,256,260,260,261,261,276,256,264,266,259,262,255,261,273,270,260,Upgrade
Other Operating Expenses,172,156,139,135,135,138,130,135,114,139,129,136,126,134,130,130,119,145,148,187,180,70,214,215,201,201,233,257,197,206,201,169,190,149,167,149,145,200,147,156,Upgrade
Operating Expenses,551,541,502,482,473,486,465,463,447,465,438,434,417,445,435,424,433,448,452,448,446,483,463,457,457,461,493,518,458,482,457,433,456,408,429,404,406,473,417,416,Upgrade
Operating Income,409,446,455,337,238,289,332,421,448,286,267,146,-78,357,372,385,424,400,381,419,335,330,334,302,268,226,213,146,85,157,199,199,195,219,195,221,203,167,215,207,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-32,-,-,-,-,-,Upgrade
Pretax Income,409,446,455,337,238,289,332,421,448,286,267,146,-78,357,372,385,424,400,381,419,335,330,334,302,268,226,213,146,85,157,199,199,195,219,227,221,203,167,215,207,Upgrade
Income Tax,85,96,104,76,49,61,70,93,98,65,50,28,-19,84,80,87,85,90,63,93,54,218,108,99,66,62,64,42,25,41,63,64,61,70,73,70,64,50,68,64,Upgrade
Net Income,324,350,351,261,189,228,262,328,350,221,217,118,-59,273,292,298,339,310,318,326,281,112,226,203,202,164,149,104,60,116,136,135,134,149,154,151,139,117,147,143,Upgrade
Preferred Dividends,7,8,8,6,7,7,7,7,7,6,8,1,0,2,2,1,2,2,2,2,2,0,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,Upgrade
Net Income Common,317,342,343,255,182,221,255,321,343,215,209,117,-59,271,290,297,337,308,316,324,279,112,224,202,200,163,148,103,59,115,134,134,132,148,152,149,137,115,145,141,Upgrade
Net Income Growth,74.18%,54.75%,34.51%,-20.56%,-46.94%,2.79%,22.01%,174.36%,-,-20.66%,-27.93%,-60.61%,-,-12.01%,-8.23%,-8.33%,20.79%,175.00%,41.07%,60.40%,39.50%,-31.29%,51.35%,96.12%,238.98%,41.74%,10.45%,-23.13%,-55.30%,-22.30%,-11.84%,-10.07%,-3.65%,28.70%,4.83%,5.67%,3.79%,-10.16%,25.00%,0%,Upgrade
Shares Outstanding (Basic),131,131,131,131,131,131,134,140,139,139,139,139,141,144,149,154,159,162,171,172,173,174,176,177,176,172,174,175,175,177,178,178,178,180,181,182,182,183,185,187,Upgrade
Shares Change,0.21%,-0.15%,-2.32%,-6.34%,-5.89%,-5.71%,-3.68%,0.42%,-1.46%,-3.51%,-6.91%,-9.81%,-11.10%,-10.85%,-12.86%,-10.34%,-7.99%,-7.02%,-2.56%,-2.83%,-1.73%,0.96%,1.15%,1.03%,0.56%,-2.53%,-2.26%,-1.62%,-1.95%,-1.64%,-1.60%,-2.02%,-2.04%,-1.76%,-2.24%,-2.66%,-2.98%,-3.91%,-4.41%,-5.10%,Upgrade
EPS (Basic),2.41,2.60,2.63,1.94,1.39,1.70,1.92,2.35,2.46,1.54,1.49,0.85,-0.42,1.90,1.98,1.95,2.14,1.90,1.89,1.90,1.62,0.65,1.29,1.15,1.15,0.94,0.87,0.60,0.34,0.66,0.76,0.76,0.75,0.84,0.85,0.83,0.76,0.64,0.80,0.77,Upgrade
