Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.7,0.11,0.12,0.25,0.27,0,0
Other Operating Expenses,0.16,0.02,0.03,0,0.08,0,0
Operating Expenses,0.86,0.12,0.15,0.25,0.35,0,0
Operating Income,-0.86,-0.12,-0.15,-0.25,-0.35,0,0
Other Expense / Income,-1.38,-1.05,-0.32,-0.02,-0,-,-
Pretax Income,0.52,0.93,0.16,-0.22,-0.35,0,0
Income Tax,0.23,0,0,0,0,0,0
Net Income,0.29,0.93,0.16,-0.22,-0.35,0,0
Shares Outstanding (Basic),28,30,30,6,7,5,6
Shares Outstanding (Diluted),28,30,30,6,7,5,6
Shares Change,326.66%,492.20%,414.96%,-,-,-,-
EPS (Basic),0.01,0.03,0.01,-0.01,-0.05,-,-
EPS (Diluted),0.01,0.03,0.01,-0.01,-0.05,-,-
Free Cash Flow Per Share,-0.01,0.00,-0.00,-0.05,-0.04,-0.00,-
Effective Tax Rate,44.20%,-,-,-,-,-,-
EBITDA,0.52,0.93,0.16,-0.22,-0.35,0,0
EBIT,0.52,0.93,0.16,-0.22,-0.35,0,0
