Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+41 Quarters
Revenue,"1,006",973.6,905.3,855,842.9,"1,074.8",968.3,"1,073.1","1,006","1,076.2","1,013.5","1,014.2",717.2,"1,069",944,979.8,"1,023",778.2,"1,481.2","1,046.3","1,007.8","1,090.1","1,079.3","1,057.1","1,070.7","1,004.9","1,015.9","1,003.9",960.4,969.6,904.5,959.5,978.3,"1,000",967,"1,093","1,084.7","1,158.2","1,093.8","1,081.5",Upgrade
Revenue Growth (YoY),19.35%,-9.42%,-6.51%,-20.32%,-16.21%,-0.13%,-4.46%,5.81%,40.27%,0.67%,7.36%,3.51%,-29.89%,37.37%,-36.27%,-6.36%,1.51%,-28.61%,37.24%,-1.02%,-5.87%,8.48%,6.24%,5.30%,11.48%,3.64%,12.32%,4.63%,-1.83%,-3.04%,-6.46%,-12.21%,-9.81%,-13.66%,-11.59%,1.06%,-5.07%,9.18%,0.07%,1.55%,Upgrade
Cost of Revenue,610.3,559.2,412.2,340.2,340.9,549.4,524.8,657.4,459.1,566.1,560.7,540.3,490.8,600.3,582.8,610.4,623.5,426.9,646.9,618.2,586.6,661.1,638.1,634.2,669.3,529.3,609.8,632.4,619,551.9,582.1,568.3,606,639.3,565.5,691.1,690.3,710.2,702.2,673.2,Upgrade
Gross Profit,395.7,414.4,493.1,514.8,502,525.4,443.5,415.7,546.9,510.1,452.8,473.9,226.4,468.7,361.2,369.4,399.5,351.3,834.3,428.1,421.2,429,441.2,422.9,401.4,475.6,406.1,371.5,341.4,417.7,322.4,391.2,372.3,360.7,401.5,401.9,394.4,448,391.6,408.3,Upgrade
Other Operating Expenses,327.2,311.2,318.3,311.6,270.6,353.7,291.8,290.1,332.8,343.3,262.7,340.1,264,326.1,270.2,275.8,292.9,274.5,"1,335.3",256.8,279.5,268.2,275.7,263,273.9,264.5,327.4,259.9,273.2,224.2,246.1,260.4,268.5,505.5,257.3,266.4,260.8,381.6,251.4,259,Upgrade
Operating Expenses,327.2,311.2,318.3,311.6,270.6,353.7,291.8,290.1,332.8,343.3,262.7,340.1,264,326.1,270.2,275.8,292.9,274.5,"1,335.3",256.8,279.5,268.2,275.7,263,273.9,264.5,327.4,259.9,273.2,224.2,246.1,260.4,268.5,505.5,257.3,266.4,260.8,381.6,251.4,259,Upgrade
Operating Income,68.5,103.2,174.8,203.2,231.4,171.7,151.7,125.6,214.1,166.8,190.1,133.8,-37.6,142.6,91,93.6,106.6,76.8,-501,171.3,141.7,160.8,165.5,159.9,127.5,211.1,78.7,111.6,68.2,193.5,76.3,130.8,103.8,-144.8,144.2,135.5,133.6,66.4,140.2,149.3,Upgrade
Interest Expense / Income,54.7,47.8,37.6,27.8,23.8,23.6,23.7,24,24.1,23.3,23.7,28.4,33.4,35.2,37.5,38.6,41,39.7,38.8,37.7,33.6,31.4,30.1,31.4,30.8,30.4,29.4,28.9,27.7,24.2,23.9,25.3,21.5,22,21.9,24.3,24.6,25.3,25.8,26.9,Upgrade
Other Expense / Income,14.8,-,-,-,-32.7,-,-,-,-,-,-,-,-,-,-,7.3,-,-,-,3.8,-,4,5.5,-,-,-,-,-,-,9,-,32.8,-,-242.7,-32.1,-3.2,278.6,-,-,7.7,Upgrade
Pretax Income,-1,55.4,137.2,175.4,240.3,148.1,128,101.6,190,143.5,166.4,105.4,-71,107.4,53.5,47.7,65.6,37.1,-539.8,129.8,108.1,125.4,129.9,128.5,96.7,180.7,49.3,82.7,40.5,160.3,52.4,72.7,82.3,75.9,154.4,114.4,-169.6,41.1,114.4,114.7,Upgrade
Income Tax,-0.2,12,32.2,39.3,56.9,32.3,28.2,23.6,42.6,31.7,37.2,23.4,-49.8,-170.6,11.5,10.1,13.8,8.8,-10,27.6,23.8,196.3,29.1,45.1,34.4,-53.5,30.7,22.8,-5,23,18.6,25.9,29.5,-8,37,36.3,58.4,-64.9,-168.6,37.6,Upgrade
Net Income,-0.8,43.4,105,136.1,183.4,115.8,99.8,78,147.4,111.8,129.2,82,-21.2,278,42,37.6,51.8,28.3,-529.8,102.2,84.3,-70.9,100.8,83.4,62.3,234.2,18.6,59.9,45.5,137.3,33.8,46.8,52.8,83.9,117.4,78.1,-228,106,283,77.1,Upgrade
Net Income Growth,-,-62.52%,5.21%,74.49%,24.42%,3.58%,-22.76%,-4.88%,-,-59.78%,207.62%,118.09%,-,882.33%,-,-63.21%,-38.55%,-,-,22.54%,35.31%,-,441.94%,39.23%,36.92%,70.58%,-44.97%,27.99%,-13.83%,63.65%,-71.21%,-40.08%,-,-20.85%,-58.52%,1.30%,-,4.74%,-,17.35%,Upgrade
Shares Outstanding (Basic),115,114,114,116,119,122,126,131,134,138,141,143,146,150,154,159,161,164,165,166,167,167,169,171,173,174,174,178,180,186,190,196,200,204,211,217,220,221,223,220,Upgrade
Shares Outstanding (Diluted),115,117,116,117,121,125,129,134,137,140,142,144,146,151,155,160,162,164,165,168,170,170,171,172,175,175,176,180,182,188,192,198,202,223,215,222,220,227,229,231,Upgrade
Shares Change,-5.34%,-6.69%,-10.15%,-12.35%,-11.45%,-10.95%,-8.97%,-7.04%,-6.29%,-7.28%,-8.71%,-9.89%,-10.09%,-7.74%,-5.65%,-4.91%,-4.41%,-3.56%,-3.76%,-2.54%,-3.08%,-2.85%,-2.70%,-4.39%,-3.88%,-6.80%,-8.65%,-8.99%,-9.96%,-15.81%,-10.72%,-10.82%,-8.18%,-1.70%,-6.06%,-3.80%,-9.51%,-7.97%,-0.92%,-21.32%,Upgrade
EPS (Basic),-0.01,0.39,0.92,1.18,1.55,0.94,0.79,0.59,1.10,0.79,0.92,0.57,-0.15,1.79,0.27,0.24,0.32,0.17,-3.22,0.62,0.50,-0.41,0.60,0.49,0.36,1.33,0.11,0.34,0.25,0.72,0.18,0.24,0.26,0.39,0.56,0.36,-1.03,0.48,1.27,0.35,Upgrade
EPS (Diluted),-0.01,0.38,0.91,1.16,1.52,0.92,0.77,0.58,1.08,0.79,0.91,0.57,-0.15,1.78,0.27,0.24,0.32,0.17,-3.22,0.61,0.50,-0.41,0.59,0.48,0.36,1.32,0.11,0.33,0.25,0.71,0.18,0.24,0.26,0.39,0.54,0.35,-1.03,0.47,1.23,0.34,Upgrade
EPS Growth,-,-58.70%,18.18%,100.00%,40.74%,16.46%,-15.38%,1.75%,-,-55.62%,237.04%,137.50%,-,947.06%,-,-60.66%,-36.00%,-,-,27.08%,38.89%,-,436.36%,45.45%,44.00%,85.92%,-38.89%,37.50%,-3.85%,82.05%,-66.67%,-31.43%,-,-17.02%,-56.10%,2.94%,-,23.68%,-,41.67%,Upgrade
Free Cash Flow Per Share,0.71,1.41,1.47,0.96,0.47,0.98,1.90,1.14,0.67,1.40,1.54,1.39,0.86,1.24,1.25,1.10,0.88,1.24,-0.78,1.03,0.43,1.10,0.97,0.84,0.83,1.10,1.41,1.10,0.80,1.15,1.08,1.06,0.61,1.20,0.91,0.76,-2.18,1.12,0.82,0.80,Upgrade
Dividend Per Share,0.140,0.140,0.140,0.140,0.130,0.130,0.130,0.130,0.120,0.120,0.120,0.120,0.110,0.110,0.110,0.110,0.100,0.200,0.100,0.100,0.090,0.090,0.090,0.090,0.080,0.080,0.080,0.080,0.070,0.070,0.070,0.070,0.060,0.060,0.060,0.060,0.060,0.030,0.030,0.030,Upgrade
Dividend Growth,7.69%,7.69%,7.69%,7.69%,8.33%,8.33%,8.33%,8.33%,9.09%,9.09%,9.09%,9.09%,10.00%,-45.00%,10.00%,10.00%,11.11%,122.22%,11.11%,11.11%,12.50%,12.50%,12.50%,12.50%,14.29%,14.29%,14.29%,14.29%,16.67%,16.67%,16.67%,16.67%,0%,100.00%,100.00%,100.00%,200.00%,50.00%,50.00%,50.00%,Upgrade
Gross Margin,39.33%,42.56%,54.47%,60.21%,59.56%,48.88%,45.80%,38.74%,54.36%,47.40%,44.68%,46.73%,31.57%,43.84%,38.26%,37.70%,39.05%,45.14%,56.33%,40.92%,41.79%,39.35%,40.88%,40.01%,37.49%,47.33%,39.97%,37.01%,35.55%,43.08%,35.64%,40.77%,38.06%,36.07%,41.52%,36.77%,36.36%,38.68%,35.80%,37.75%,Upgrade
Operating Margin,6.81%,10.60%,19.31%,23.77%,27.45%,15.98%,15.67%,11.70%,21.28%,15.50%,18.76%,13.19%,-5.24%,13.34%,9.64%,9.55%,10.42%,9.87%,-33.82%,16.37%,14.06%,14.75%,15.33%,15.13%,11.91%,21.01%,7.75%,11.12%,7.10%,19.96%,8.44%,13.63%,10.61%,-14.48%,14.91%,12.40%,12.32%,5.73%,12.82%,13.80%,Upgrade
Profit Margin,-0.08%,4.46%,11.60%,15.92%,21.76%,10.77%,10.31%,7.27%,14.65%,10.39%,12.75%,8.09%,-2.96%,26.01%,4.45%,3.84%,5.06%,3.64%,-35.77%,9.77%,8.36%,-6.50%,9.34%,7.89%,5.82%,23.31%,1.83%,5.97%,4.74%,14.16%,3.74%,4.88%,5.40%,8.39%,12.14%,7.15%,-21.02%,9.15%,25.87%,7.13%,Upgrade
Free Cash Flow Margin,8.14%,16.53%,18.50%,12.94%,6.69%,11.10%,24.86%,13.88%,8.89%,18.00%,21.39%,19.65%,17.53%,17.38%,20.47%,17.90%,13.91%,26.06%,-8.69%,16.39%,7.16%,16.86%,15.15%,13.49%,13.39%,19.00%,24.13%,19.53%,14.95%,21.92%,22.65%,21.67%,12.52%,24.57%,19.75%,15.13%,-44.28%,21.44%,16.66%,16.21%,Upgrade
Effective Tax Rate,-,21.66%,23.47%,22.41%,23.68%,21.81%,22.03%,23.23%,22.42%,22.09%,22.36%,22.20%,-,-158.85%,21.50%,21.17%,21.04%,23.72%,-,21.26%,22.02%,156.54%,22.40%,35.10%,35.57%,-29.61%,62.27%,27.57%,-12.35%,14.35%,35.50%,35.63%,35.84%,-10.54%,23.96%,31.73%,-,-157.91%,-147.38%,32.78%,Upgrade
EBITDA,53.7,103.2,174.8,203.2,264.1,171.7,151.7,125.6,214.1,166.8,190.1,133.8,-37.6,142.6,91,86.3,106.6,76.8,-501,167.5,141.7,156.8,160,159.9,127.5,211.1,78.7,111.6,68.2,184.5,76.3,98,103.8,97.9,176.3,138.7,-145,66.4,140.2,141.6,Upgrade
EBITDA Margin,5.34%,10.60%,19.31%,23.77%,31.33%,15.98%,15.67%,11.70%,21.28%,15.50%,18.76%,13.19%,-5.24%,13.34%,9.64%,8.81%,10.42%,9.87%,-33.82%,16.01%,14.06%,14.38%,14.82%,15.13%,11.91%,21.01%,7.75%,11.12%,7.10%,19.03%,8.44%,10.21%,10.61%,9.79%,18.23%,12.69%,-13.37%,5.73%,12.82%,13.09%,Upgrade
EBIT,53.7,103.2,174.8,203.2,264.1,171.7,151.7,125.6,214.1,166.8,190.1,133.8,-37.6,142.6,91,86.3,106.6,76.8,-501,167.5,141.7,156.8,160,159.9,127.5,211.1,78.7,111.6,68.2,184.5,76.3,98,103.8,97.9,176.3,138.7,-145,66.4,140.2,141.6,Upgrade
EBIT Margin,5.34%,10.60%,19.31%,23.77%,31.33%,15.98%,15.67%,11.70%,21.28%,15.50%,18.76%,13.19%,-5.24%,13.34%,9.64%,8.81%,10.42%,9.87%,-33.82%,16.01%,14.06%,14.38%,14.82%,15.13%,11.91%,21.01%,7.75%,11.12%,7.10%,19.03%,8.44%,10.21%,10.61%,9.79%,18.23%,12.69%,-13.37%,5.73%,12.82%,13.09%,Upgrade
