Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Revenue,126.08,125.34,139.95,147.43,154.19,159.63,154.19,144.27,125.75,116.46,111.16,94.09,105.83,109.85,104.97,101.79,94.23,93.91,98.33,94.41,94.46,99.45,96.79,92.71,89.74,91.06,94.39,86.37,79.68,81.67,79.67,83.5,83.82,81.84,80.85,78.41,72.84,73.43,74.03,77.8,Upgrade
Revenue Growth (YoY),-18.23%,-21.48%,-9.23%,2.19%,22.62%,37.07%,38.71%,53.34%,18.82%,6.02%,5.90%,-7.57%,12.32%,16.98%,6.75%,7.82%,-0.25%,-5.58%,1.60%,1.83%,5.26%,9.22%,2.54%,7.34%,12.63%,11.49%,18.48%,3.44%,-4.93%,-0.21%,-1.46%,6.49%,15.08%,11.45%,9.21%,0.79%,0.52%,3.29%,3.83%,15.37%,Upgrade
Cost of Revenue,14.22,14.32,16.42,18.24,33.95,20.63,19.91,18.85,16.51,73.82,14.64,12.52,14.1,14.37,14.14,14.19,12.54,11.55,13.21,12.44,12.84,13.61,12.97,13.59,13.16,23.58,11.09,9.77,8.7,8.98,8.58,9.53,9.25,8.86,9.05,9.26,8.3,8.13,8.36,9.68,Upgrade
Gross Profit,111.87,111.01,123.53,129.2,120.24,139,134.28,125.42,109.24,42.64,96.52,81.57,91.73,95.48,90.82,87.6,81.69,82.36,85.12,81.97,81.62,85.84,83.82,79.12,76.58,67.48,83.3,76.6,70.98,72.7,71.09,73.98,74.56,72.98,71.8,69.16,64.53,65.31,65.66,68.12,Upgrade
"Selling, General & Admin",65.98,63.09,65.22,67.1,68.25,57.56,65.07,64.71,56.14,53.43,52.07,45.05,62.21,47.94,49.59,48.39,45.15,46.98,44.76,44.48,43.34,43.88,41.74,40.74,39.94,32.97,44.08,40.78,40.78,40.83,38.07,41.22,38.45,39.01,37.99,37.94,35.13,33.8,35.75,37.41,Upgrade
Other Operating Expenses,0.99,1.15,1.14,1.11,0.99,0.93,0.98,1.02,1.17,1.13,1.14,1.23,1.15,1.08,1.1,1.12,1.1,1.07,1.14,1.21,1.06,1.07,1.11,1.02,1.11,-1.35,2,1.69,1.9,1.51,1.55,1.59,1.57,1.62,1.48,1.55,1.26,4.51,1.42,1.34,Upgrade
Operating Expenses,66.97,64.24,66.35,68.2,69.25,58.49,66.05,65.72,57.3,54.55,53.21,46.27,63.36,49.01,50.69,49.5,46.26,48.05,45.9,45.68,44.4,44.95,42.85,41.76,41.05,31.62,46.08,42.47,42.67,42.34,39.61,42.81,40.02,40.63,39.47,39.49,36.39,38.3,37.17,38.75,Upgrade
Operating Income,44.9,46.77,57.18,60.99,50.99,80.51,68.23,59.7,51.94,-11.91,43.31,35.3,28.37,46.46,40.13,38.1,35.44,34.31,39.22,36.29,37.22,40.89,40.97,37.36,35.53,35.86,37.21,34.13,28.31,30.35,31.48,31.17,34.55,32.35,32.33,29.67,28.14,27.01,28.5,29.37,Upgrade
Other Expense / Income,-0.65,1.56,-2.98,-0.81,-0.29,-1.39,-1.34,-2.71,-1.38,-1.65,-1.13,-4.31,7.34,-0.12,-4.24,-3.22,-7.48,3.07,-2.11,-3.61,1.54,-2.43,-1.67,-0.74,-0.27,-1.4,-1.4,-4.35,-0.86,5.52,7.6,-0.04,1.51,4.02,3.41,-4.25,-2.48,-4.31,-0.99,4.22,Upgrade
Pretax Income,45.55,45.21,60.16,61.8,51.28,81.89,69.57,62.41,53.31,-10.27,44.44,39.61,21.03,46.58,44.37,41.32,42.91,31.24,41.33,39.9,35.68,43.32,42.64,38.09,35.8,37.26,38.62,38.48,29.17,24.83,23.88,31.21,33.04,28.33,28.92,33.92,30.62,31.31,29.49,25.15,Upgrade
