Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-28
"Selling, General & Admin",0.67,0.35,0.35,0.59,0.34,0.48,0.39,0.5,0.14,0.01
Operating Expenses,0.67,0.35,0.35,0.59,0.34,0.48,0.39,0.5,0.14,0.01
Operating Income,-0.67,-0.35,-0.35,-0.59,-0.34,-0.48,-0.39,-0.5,-0.14,-0.01
Other Expense / Income,-2.99,-2.57,-5.6,-8.48,-2.4,-8.41,4.46,-0.91,0.99,-
Pretax Income,2.32,2.22,5.25,7.9,2.06,7.93,-4.85,0.41,-1.13,-0.01
Net Income,2.32,2.22,5.25,7.9,2.06,7.93,-4.85,0.41,-1.13,-0.01
Net Income Growth,12.48%,-72.02%,-,1832.26%,-,-,-,-,-,-
Shares Outstanding (Basic),45,50,50,50,50,50,50,50,17,8
Shares Outstanding (Diluted),45,50,50,50,50,50,50,50,17,8
Shares Change,-9.36%,-,-,-,189.84%,566.67%,-,-,-,-
EPS (Basic),0.05,0.04,0.11,0.16,0.04,0.16,-0.10,0.01,-0.07,-
EPS (Diluted),0.05,0.04,0.11,0.16,0.04,0.16,-0.10,0.01,-0.07,-
EPS Growth,25.00%,-75.00%,-,1500.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.05,-
EBITDA,2.32,2.22,5.25,7.9,2.06,7.93,-4.85,0.41,-1.13,-0.01
EBIT,2.32,2.22,5.25,7.9,2.06,7.93,-4.85,0.41,-1.13,-0.01
