Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,224.75,223.44,212.84,204.31,207.63,210.24,203.11,205.15,197.97,197.5,196.51,198.9,184.91,200.94,198.01,198.79,214.71,186.81,199.9,195.79,189.33,190.76,185.72,183.58,178.97,177.2,175.31,169.85,166.07,163.8,159.8,158.02,154.77,151.59,149.14,145.48,140.34,139.39,138.33,135.51,Upgrade
Revenue Growth (YoY),8.25%,6.28%,4.79%,-0.41%,4.88%,6.45%,3.36%,3.14%,7.06%,-1.71%,-0.76%,0.06%,-13.88%,7.57%,-0.95%,1.53%,13.41%,-2.07%,7.64%,6.65%,5.79%,7.65%,5.94%,8.09%,7.77%,8.18%,9.71%,7.49%,7.30%,8.05%,7.15%,8.62%,10.28%,8.75%,7.81%,7.36%,4.83%,5.68%,6.06%,6.45%,Upgrade
Cost of Revenue,139.45,150.22,156.99,142.9,119.53,140.38,149.43,115.59,120.51,118.35,122.69,107.03,119.09,123.24,133.19,133.48,125.46,145.18,141.78,136.97,157.89,132.03,115.76,129.22,115.27,115.01,112.32,103.95,96.41,103.73,103.12,98.53,96.86,102.74,91.94,98.49,98.03,83.83,85.34,89.86,Upgrade
Gross Profit,85.3,73.23,55.84,61.41,88.09,69.87,53.68,89.56,77.46,79.15,73.82,91.87,65.82,77.7,64.82,65.31,89.25,41.62,58.13,58.82,31.44,58.72,69.95,54.36,63.7,62.18,62.99,65.9,69.66,60.07,56.68,59.49,57.92,48.85,57.2,46.99,42.31,55.56,53,45.65,Upgrade
"Selling, General & Admin",78.41,68.73,68.92,71.41,71.29,62.93,61.88,69.33,63.96,60.11,59.09,63.2,62.53,58.77,57.82,59.13,61.28,60.54,55.64,59.07,58.99,57.67,60.8,56.96,56.17,54.74,55.86,53.13,52.59,50.16,49.19,50.03,47.84,43.77,45.68,43.57,41.78,42.38,42.22,41.04,Upgrade
Other Operating Expenses,0.44,-0.99,0.22,0.35,0.43,-0.96,0.22,0.31,0.43,-0.99,0.18,0.25,0.56,-1.16,0.25,0.34,0.57,-1.6,0.56,0.52,0.53,-1.04,0.18,0.42,0.44,-1.18,0.23,0.32,0.64,6.53,0.3,0.68,0.73,0.6,0.53,0.65,0.96,0.55,0.83,1.41,Upgrade
Operating Expenses,78.85,67.74,69.14,71.75,71.72,61.97,62.1,69.65,64.39,59.12,59.27,63.45,63.1,57.62,58.07,59.47,61.84,58.93,56.2,59.59,59.51,56.64,60.98,57.38,56.61,53.56,56.09,53.45,53.23,56.69,49.49,50.71,48.57,44.37,46.22,44.22,42.74,42.93,43.05,42.45,Upgrade
Operating Income,6.45,5.49,-13.3,-10.34,16.38,7.9,-8.42,19.91,13.06,20.03,14.55,28.42,2.73,20.08,6.75,5.84,27.41,-17.31,1.93,-0.77,-28.07,2.09,8.98,-3.01,7.09,8.62,6.9,12.45,16.43,3.39,7.19,8.78,9.35,4.48,10.98,2.76,-0.43,12.63,9.95,3.2,Upgrade
Interest Expense / Income,0.15,0.16,0.07,0.24,0.15,0.16,0.21,0.22,0.31,0.32,0.22,0.43,0.22,0.27,0.44,0.3,0.57,0.62,0.65,0.57,0.46,0.38,0.47,0.38,0.36,0.37,0.47,0.4,0.41,0.2,0.19,0.39,0.33,0.34,0.37,0.44,0.37,0.38,0.43,0.33,Upgrade
Other Expense / Income,-,1.24,-,-,-,1.22,-,-,-,1.26,-,-,-,1.42,-,-,-,1.72,-,-,-,1.43,-,-,-,1.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
