Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+49 Quarters
Revenue,33.99,34.95,38.26,39.02,42.26,43.06,55.05,45.07,39.01,35.04,31.18,28.25,31.93,35.91,34.59,33.55,32.58,34.45,37.47,35.93,37.78,37.85,36.77,35.54,35.13,40.04,32.94,32.67,30.46,32.3,31.42,31.38,29.32,28.47,27.46,25.44,23.19,22.32,20.82,19.91,Upgrade
Revenue Growth (YoY),-19.56%,-18.82%,-30.50%,-13.42%,8.31%,22.88%,76.59%,59.54%,22.20%,-2.42%,-9.88%,-15.79%,-2.01%,4.24%,-7.68%,-6.63%,-13.77%,-8.99%,1.90%,1.08%,7.54%,-5.47%,11.64%,8.79%,15.35%,23.95%,4.82%,4.10%,3.89%,13.45%,14.44%,23.36%,26.43%,27.54%,31.89%,27.75%,26.20%,31.14%,23.49%,23.22%,Upgrade
Cost of Revenue,16.36,17.38,17.26,17.22,18.65,17.4,20.43,18.94,16.81,16.61,13.7,12.56,15.42,16.65,15.71,14.34,13.56,11.57,15.44,14.57,14.39,10.04,14.45,14.31,13.68,13.77,12.71,13.38,12.4,9.56,12.94,12.67,12.78,5.92,13.37,12.73,11.87,10.16,10.82,10.36,Upgrade
Gross Profit,17.63,17.58,21.01,21.8,23.61,25.65,34.62,26.13,22.2,18.42,17.47,15.69,16.51,19.26,18.88,19.2,19.02,22.87,22.03,21.36,23.39,27.81,22.33,21.23,21.45,26.27,20.22,19.29,18.06,22.74,18.48,18.71,16.53,22.55,14.09,12.71,11.32,12.16,10,9.56,Upgrade
"Selling, General & Admin",5.94,6.08,6.02,6.24,5.72,6.55,6.3,6.85,5.56,5.76,5.54,4.84,4.2,5.37,5.76,5.84,5.48,5.21,5.11,5.01,5.19,7.03,5.44,5.26,5.62,6.74,5.08,4.59,4.35,5.48,4.34,4.59,3.34,4.32,3.1,3.04,2.75,2.73,2.53,2.4,Upgrade
Other Operating Expenses,0.74,2.52,-1.05,-4.69,-1.18,2.46,0,1.51,3.1,4.59,1.96,3.83,-8.16,1.93,0.36,1.28,2.41,-2.12,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Operating Expenses,6.69,8.6,4.97,1.55,4.54,9.01,6.3,8.36,8.67,10.35,7.5,8.66,-3.96,7.29,6.12,7.12,7.89,3.09,5.11,5.01,5.19,9.41,5.44,5.26,5.62,6.74,5.08,4.59,4.35,5.48,4.34,4.59,3.34,4.32,3.1,3.04,2.75,2.73,2.53,2.4,Upgrade
Operating Income,10.94,8.97,16.03,20.25,19.07,16.64,28.32,17.77,13.53,8.08,9.97,7.03,20.47,11.97,12.76,12.08,11.13,19.79,16.92,16.35,18.2,18.41,16.89,15.97,15.84,19.53,15.14,14.7,13.7,17.26,14.14,14.12,13.19,18.23,10.98,9.67,8.57,9.43,7.47,7.15,Upgrade
Other Expense / Income,-6.69,-10.98,-0.42,14.48,6.74,-6.65,-7.12,-5.12,-5.11,-10.82,-4.48,-10.12,18.34,-5.77,-2.72,-5.56,-11.66,10.76,-4.02,-3.04,1.51,-3.89,-2.31,-2.7,-3.42,-2.29,-5.99,-0.64,-0.73,-0.97,3.51,-0.46,-1.34,-2.07,1.01,-1.32,-0.52,-1.48,-0.91,-0.73,Upgrade
Pretax Income,17.63,19.96,16.46,5.77,12.34,23.28,35.44,22.88,18.64,18.89,14.45,17.15,2.13,17.73,15.48,17.64,22.8,9.03,20.93,19.39,16.69,22.29,19.2,18.66,19.25,21.82,21.13,15.34,14.44,18.24,10.63,14.58,14.54,20.3,9.98,11,9.09,10.92,8.38,7.88,Upgrade
