Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Revenue,5.72,5.9,5.84,5.3,5.05,5.34,4.88,4.79,4.55
Revenue Growth (YoY),13.19%,10.46%,19.75%,10.69%,11.11%,-,-,-,-
Gross Profit,5.72,5.9,5.84,5.3,5.05,5.34,4.88,4.79,4.55
"Selling, General & Admin",3.59,3.66,3.41,2.92,2.58,4.77,2.6,2.4,2.3
Other Operating Expenses,0.9,0.88,3.89,0.66,0.59,0.61,0.46,0.45,0.48
Operating Expenses,4.5,4.55,7.3,3.58,3.17,5.38,3.06,2.86,2.79
Operating Income,1.22,1.36,-1.46,1.72,1.88,-0.04,1.81,1.93,1.76
Pretax Income,1.22,1.36,-1.46,1.72,1.88,-0.04,1.81,1.93,1.76
Income Tax,0.32,0.38,-0.43,0.33,0.5,-0.03,0.47,0.52,0.47
Net Income,0.9,0.98,-1.04,1.4,1.38,-0.01,1.34,1.42,1.29
Net Income Growth,-34.85%,-,-,-1.55%,7.29%,-,-,-,-
Shares Outstanding (Basic),8,8,8,9,9,9,-,-,-
Shares Outstanding (Diluted),8,8,8,-,-,-,-,-,-
Shares Change,-4.87%,-4.79%,-,-,-,-,-,-,-
EPS (Basic),0.11,0.11,-0.12,-,-,-,-,-,-
EPS (Diluted),0.11,0.11,-0.12,-,-,-,-,-,-
Free Cash Flow Per Share,0.17,0.35,0.36,0.08,0.09,0.17,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,21.34%,23.01%,-25.02%,32.46%,37.19%,-0.65%,37.16%,40.38%,38.72%
Profit Margin,15.76%,16.53%,-17.73%,26.33%,27.39%,-0.09%,27.48%,29.60%,28.36%
Free Cash Flow Margin,24.49%,50.67%,52.27%,12.90%,16.38%,28.87%,17.74%,40.04%,44.42%
Effective Tax Rate,26.15%,28.13%,-,18.88%,26.36%,-,26.05%,26.68%,26.76%
EBITDA,1.29,1.44,-1.38,1.79,1.95,0.04,1.89,2.01,1.84
EBITDA Margin,22.60%,24.34%,-23.69%,33.82%,38.63%,0.73%,38.68%,41.88%,40.48%
Depreciation & Amortization,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08
EBIT,1.22,1.36,-1.46,1.72,1.88,-0.04,1.81,1.93,1.76
EBIT Margin,21.34%,23.01%,-25.02%,32.46%,37.19%,-0.65%,37.16%,40.38%,38.72%
