Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,152.24,153.59,133.07,123.15,123.87,128.35,95.22,100.61,90.37,86.49,61.9,56.2,54.51,74.69,74.78,71.96,60.1,59.18,54.24,56.35,53.84,55.61,51.58,50.15,44.23,43.86,38.96,40.45,37.67,39.01,34.36,32.94,34.32,33.57,33.71,31.27,29.96,32.68,34.13,38.2,Upgrade
Revenue Growth (YoY),22.90%,19.66%,39.74%,22.40%,37.08%,48.40%,53.83%,79.02%,65.77%,15.80%,-17.22%,-21.90%,-9.29%,26.22%,37.86%,27.69%,11.62%,6.41%,5.17%,12.36%,21.72%,26.78%,32.37%,23.98%,17.41%,12.44%,13.38%,22.82%,9.78%,16.19%,1.95%,5.33%,14.56%,2.74%,-1.24%,-18.15%,-16.10%,9.28%,2.25%,10.11%,Upgrade
Gross Profit,152.24,153.59,133.07,123.15,123.87,128.35,95.22,100.61,90.37,86.49,61.9,56.2,54.51,74.69,74.78,71.96,60.1,59.18,54.24,56.35,53.84,55.61,51.58,50.15,44.23,43.86,38.96,40.45,37.67,39.01,34.36,32.94,34.32,33.57,33.71,31.27,29.96,32.68,34.13,38.2,Upgrade
"Selling, General & Admin",50.27,46.02,45.04,43.45,43.67,41.17,41.55,34.51,36.2,32.35,27.62,27.72,27.11,25.7,26.08,26.33,23.9,20.76,20.33,20.46,20.36,19.17,18.91,19.87,18.77,15.62,14.95,15.46,15.43,14.53,14.22,14.02,14.24,14.06,14.64,14.65,14.88,17.39,13.61,13.4,Upgrade
Other Operating Expenses,30.71,31.13,23.8,21.98,19.13,22.52,35.34,17.95,16.68,18.7,11.91,10.19,11.56,12.66,12.16,22.72,15.94,9.98,9.6,8.76,8.78,9.1,8.49,12.78,7.97,7.56,5.87,5.9,5.33,8.36,5.71,5.44,5.71,10.73,6.48,5.79,6.22,10.81,7.4,7.75,Upgrade
Operating Expenses,80.98,77.15,68.84,65.42,62.8,63.69,76.89,52.46,52.88,51.05,39.52,37.91,38.67,38.35,38.24,49.05,39.84,30.75,29.92,29.22,29.14,28.26,27.4,32.65,26.74,23.18,20.81,21.35,20.76,22.89,19.93,19.46,19.95,24.8,21.12,20.45,21.1,28.2,21.01,21.15,Upgrade
Operating Income,71.26,76.44,64.23,57.73,61.07,64.66,18.34,48.16,37.48,35.44,22.38,18.29,15.84,36.34,36.54,22.9,20.26,28.43,24.32,27.13,24.7,27.35,24.17,17.5,17.5,20.68,18.15,19.1,16.91,16.12,14.43,13.48,14.37,8.78,12.59,10.82,8.86,4.48,13.12,17.06,Upgrade
Pretax Income,71.26,76.44,64.23,57.73,61.07,64.66,18.34,48.16,37.48,35.44,22.38,18.29,15.84,36.34,36.54,22.9,20.26,28.43,24.32,27.13,24.7,27.35,24.17,17.5,17.5,20.68,18.15,19.1,16.91,16.12,14.43,13.48,14.37,8.78,12.59,10.82,8.86,4.48,13.12,17.06,Upgrade
Income Tax,15.52,16.44,14.03,12.58,13.38,13.85,4.43,9.75,7.56,6.51,4.43,3.66,2.97,7.25,7.47,4.48,4.1,4.9,1.8,4.88,3.78,19.82,7.86,5.55,5.11,7.05,6.32,6.75,5.89,5.45,4.72,4.76,5.02,2.81,4.39,3.66,3.01,0.86,4.71,6.02,Upgrade
Net Income,55.74,60,50.2,45.15,47.69,50.81,13.91,38.41,29.93,28.93,17.95,14.63,12.87,29.09,29.07,18.42,16.16,23.53,22.52,22.25,20.92,7.53,16.32,11.96,12.39,13.63,11.83,12.35,11.03,10.68,9.71,8.72,9.35,5.97,8.2,7.16,5.85,3.62,8.41,11.03,Upgrade
