Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,22.09,22.75,23.63,22.4,20.71,23.99,24.78,23.53,20.85,21.36,19.62,18.58,13.12,16.91,19.22,17.77,16.17,15.69,16.6,15.18,14.47,13.59,14.3,12.8,13.6,11.68,11.4,11.17,11.05,11.15,12,10.71,10.45,8.18,10.86,10.56,10.54,10.13,9.02,10.14,Upgrade
Revenue Growth (YoY),6.67%,-5.15%,-4.65%,-4.81%,-0.67%,12.30%,26.31%,26.66%,58.98%,26.34%,2.09%,4.51%,-18.87%,7.78%,15.77%,17.12%,11.71%,15.47%,16.08%,18.59%,6.40%,16.36%,25.45%,14.55%,23.13%,4.69%,-5.02%,4.32%,5.74%,36.32%,10.50%,1.40%,-0.89%,-19.22%,20.44%,4.19%,8.82%,-3.64%,-11.17%,5.39%,Upgrade
Gross Profit,22.09,22.75,23.63,22.4,20.71,23.99,24.78,23.53,20.85,21.36,19.62,18.58,13.12,16.91,19.22,17.77,16.17,15.69,16.6,15.18,14.47,13.59,14.3,12.8,13.6,11.68,11.4,11.17,11.05,11.15,12,10.71,10.45,8.18,10.86,10.56,10.54,10.13,9.02,10.14,Upgrade
"Selling, General & Admin",12.98,13.12,14.16,13.09,12.88,13.96,13.66,13.37,12.72,12.69,12.04,11.53,10.94,10.55,10.79,10.58,9.8,9.95,9.61,9,8.93,8.81,8.63,8.3,7.82,7.61,7.41,7.6,7.68,7.32,7.38,7.14,6.64,6.67,6.53,6.41,6.65,6.65,6.44,6.21,Upgrade
Other Operating Expenses,1.52,1.78,1.63,1.7,1.59,2.33,1.74,1.81,1.65,1.82,2.43,6.48,1.93,1.63,1.48,1.57,1.42,1.49,1.85,1.23,1.25,1.58,1.21,1.01,1.24,1.53,1.31,1.12,0.85,1.34,0.91,1.1,0.87,1.15,0.95,1.93,0.96,1.05,0.91,1.05,Upgrade
Operating Expenses,14.5,14.9,15.79,14.78,14.46,16.29,15.39,15.18,14.37,14.51,14.47,18.01,12.87,12.17,12.28,12.15,11.22,11.43,11.46,10.23,10.17,10.39,9.84,9.32,9.06,9.14,8.71,8.72,8.53,8.66,8.28,8.24,7.51,7.82,7.49,8.33,7.62,7.7,7.35,7.26,Upgrade
Operating Income,7.59,7.85,7.84,7.61,6.25,7.7,9.39,8.35,6.49,6.85,5.15,0.56,0.25,4.74,6.94,5.63,4.94,4.26,5.14,4.94,4.3,3.2,4.46,3.48,4.55,2.54,2.69,2.45,2.52,2.49,3.72,2.47,2.93,0.36,3.38,2.23,2.92,2.43,1.67,2.88,Upgrade
Pretax Income,7.59,7.85,7.84,7.61,6.25,7.7,9.39,8.35,6.49,6.85,5.15,0.56,0.25,4.74,6.94,5.63,4.94,4.26,5.14,4.94,4.3,3.2,4.46,3.48,4.55,2.54,2.69,2.45,2.52,2.49,3.72,2.47,2.93,0.36,3.38,2.23,2.92,2.43,1.67,2.88,Upgrade
Income Tax,1.79,1.81,1.97,1.88,1.5,1.8,2.41,2.04,1.63,0.82,0.61,0.09,0.04,0.99,1.78,1.24,1.22,-0.2,0.35,1.15,0.98,2.21,0.74,0.86,1.4,0.2,0.47,0.45,0.8,0.73,1.21,0.79,1.03,-1.94,1.09,0.65,0.91,0.76,-0.78,0.96,Upgrade
Net Income,5.8,6.04,5.86,5.73,4.75,5.9,6.98,6.31,4.85,6.03,4.54,0.47,0.2,3.75,5.16,4.38,3.72,4.45,4.8,3.79,3.32,0.99,3.72,2.62,3.15,2.34,2.22,2,1.71,1.75,2.51,1.68,1.91,2.31,2.29,1.58,2.01,1.67,2.45,1.92,Upgrade
