Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,258.42,264.33,233.41,215.84,215.98,220.99,192.44,174.03,184.94,178.14,166.84,210.22,223.28,222.44,214.34,202.47,214.73,215.7,205.98,199.61,202.4,204.51,182.07,183.63,189.63,192.62,184.59,170.15,188.21,187.56,170.29,164.62,205.18,212.73,23.75,223.13,245.13,253.76,33.58,235.17,Upgrade
Revenue Growth (YoY),19.65%,19.61%,21.29%,24.02%,16.79%,24.06%,15.35%,-17.22%,-17.17%,-19.92%,-22.16%,3.83%,3.98%,3.12%,4.06%,1.43%,6.09%,5.47%,13.13%,8.70%,6.73%,6.17%,-1.36%,7.92%,0.75%,2.70%,8.39%,3.36%,-8.27%,-11.83%,617.04%,-26.22%,-16.30%,-16.17%,-29.28%,-5.12%,-8.57%,-6.93%,-85.98%,4.72%,Upgrade
Cost of Revenue,109.24,111.83,95.81,86.33,87.05,88.88,73.12,66.01,71.19,69.75,77.24,108.05,95.92,92.37,93.48,86.61,87.04,85.65,81.51,84.87,82.14,82.08,73.98,78.08,79.73,80.66,77.72,69.76,79.85,74.95,70.74,70.81,91.61,95.67,38.81,87.55,95.21,102.35,48.89,83.95,Upgrade
Gross Profit,149.18,152.5,137.6,129.51,128.93,132.11,119.33,108.02,113.75,108.39,89.6,102.18,127.36,130.07,120.86,115.85,127.69,130.05,124.46,114.74,120.26,122.43,108.09,105.56,109.9,111.97,106.86,100.39,108.36,112.61,99.55,93.81,113.57,117.06,-15.06,135.59,149.92,151.41,-15.31,151.22,Upgrade
"Selling, General & Admin",116.88,116.28,113.33,108.15,97.97,102.32,104.2,96.39,94.92,91.82,81.28,98.52,102.99,108.11,105.69,99.78,104.73,104.02,100.03,96.2,95.52,96.93,90.79,88.34,87.74,91.57,97.96,87.65,87.88,96,110.38,88.32,91.99,92.64,14.09,117.4,121.1,121.09,27.92,116.87,Upgrade
Other Operating Expenses,5.57,7.97,9.39,7.75,6.75,7.58,7.32,7.92,8.2,7.55,35.19,7.93,55.08,8.48,8.44,7.28,6.19,11.29,7.2,6.44,6.55,5.76,5.76,5.86,6.1,6.3,6.6,6.23,7.47,9.23,54.32,7.57,11.05,9.05,3.87,9.03,17.28,2.42,50.04,8.97,Upgrade
Operating Expenses,122.45,124.25,122.72,115.89,104.72,109.9,111.52,104.31,103.12,99.37,116.47,106.45,158.07,116.59,114.13,107.06,110.92,115.31,107.23,102.64,102.07,102.69,96.55,94.2,93.84,97.87,104.55,93.89,95.35,105.24,164.7,95.89,103.04,101.68,17.96,126.43,138.38,123.5,77.96,125.84,Upgrade
Operating Income,26.73,28.25,14.88,13.62,24.21,22.22,7.81,3.71,10.63,9.02,-26.88,-4.28,-30.71,13.48,6.73,8.8,16.77,14.74,17.23,12.1,18.19,19.74,11.54,11.35,16.05,14.1,2.31,6.51,13.01,7.38,-65.16,-2.08,10.53,15.37,-33.02,9.15,11.54,27.91,-93.27,25.38,Upgrade
Interest Expense / Income,3.39,6.19,2.32,2.69,2.53,2.43,5.64,5.57,5.52,5.46,5.88,5.38,5.88,5.33,5.43,9.83,8.59,8.79,8.76,7.39,5.83,5.85,10.96,5.65,5.63,5.57,4.46,3.94,3.95,4.13,3.93,3.78,11.3,12.03,-10.69,7.44,6.11,5.05,5.16,3.64,Upgrade
Other Expense / Income,30.68,-2.48,-0.6,-2.16,1.56,-1.56,-2.35,-1.09,-1.69,-1.94,-4.03,0.58,-2.47,5.15,0.92,-4.29,2.43,10.37,6.18,-11.25,-5.02,-6.3,-7.81,-2.99,-3.05,-3.42,-3.52,7.22,71.45,8.96,41.46,7.02,-2.47,-11.54,75.83,-2.62,-1.57,-0.7,-28.93,18.48,Upgrade
Pretax Income,-7.34,24.54,13.16,13.08,20.12,21.35,4.53,-0.77,6.8,5.5,-28.73,-10.24,-34.13,3,0.38,3.26,5.75,-4.42,2.29,15.96,17.38,20.19,8.39,8.69,13.47,11.95,1.37,-4.65,-62.39,-5.72,-110.54,-12.88,1.71,14.88,-98.15,4.34,6.99,23.55,-69.5,3.26,Upgrade
Income Tax,-0.55,7.76,5.82,0.87,5.24,5.63,2.97,1.8,1.47,1.2,-5.39,-4.75,6.75,1.76,1.03,0.1,2.36,-1.06,3.68,1.5,5.8,7.44,-2.57,3.43,5.45,4.78,-1.86,1.04,8.43,1.76,-18.24,-3.04,0.36,3.26,-1.63,0.41,0.85,4.82,-32.99,9.14,Upgrade
Net Income,-6.79,16.78,7.34,12.22,14.89,15.72,1.55,-2.57,5.33,4.3,-23.34,-5.49,-40.87,1.24,-0.65,3.16,3.39,-3.37,-1.39,14.45,11.58,12.75,10.96,5.26,8.02,7.17,3.23,-5.69,-70.81,-7.47,-92.3,-9.85,1.34,11.61,-96.52,3.93,6.14,18.73,-36.51,-5.88,Upgrade
Net Income Growth,-,6.72%,372.44%,-,179.31%,265.69%,-,-,-,247.25%,-,-,-,-,-,-78.15%,-70.69%,-,-,174.79%,44.35%,77.92%,239.28%,-,-,-,-,-,-,-,-,-,-78.13%,-38.00%,-,-,-81.93%,-39.02%,-,-,Upgrade
Shares Outstanding (Basic),56,56,57,57,57,56,56,56,56,55,55,55,55,56,55,55,55,55,54,54,54,54,54,54,54,54,54,54,55,55,55,55,54,54,54,54,54,54,54,54,Upgrade
