Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+18 Quarters
Revenue,"1,446.1","1,685","1,824","2,062","2,033.7","2,373","2,556","2,266","2,026","2,150.61","1,913.72","1,608.73","1,412.94","1,728.6","1,671.2","1,498.62","1,303.58","1,417.11","1,542.19","1,491.16","1,297.39","1,481.32","1,519.57","1,454.43","1,317.04","1,504.26","1,508.34","1,361.53","1,201.71","1,356.67","1,383.92","1,323.79","1,111.08","1,255.45","1,259.73","1,149.97","1,012.8","1,219.87","1,300.98","1,288.46",Upgrade
Revenue Growth (YoY),-28.89%,-28.99%,-28.64%,-9.00%,0.38%,10.34%,33.56%,40.86%,43.39%,24.41%,14.51%,7.35%,8.39%,21.98%,8.37%,0.50%,0.48%,-4.33%,1.49%,2.53%,-1.49%,-1.52%,0.74%,6.82%,9.60%,10.88%,8.99%,2.85%,8.16%,8.06%,9.86%,15.12%,9.70%,2.92%,-3.17%,-10.75%,-11.68%,-4.73%,7.66%,18.23%,Upgrade
Cost of Revenue,"1,038.9","1,255","1,426","1,493","1,481.9","1,588","1,535","1,457","1,346","1,378","1,241.91","1,062.57","1,022.52","1,120.64","1,114.19",985.24,905.93,"1,010.76","1,057.66","1,002.14",930.86,"1,028.43","1,062.25",983.17,963.45,"1,035.9","1,070.84",943.75,894.85,993.33,"1,013.4",925.6,810.41,903.76,880.02,820.87,753.07,916.01,933.28,959.56,Upgrade
Gross Profit,407.2,430,398,569,551.8,785,"1,021",809,680,772.61,671.81,546.16,390.43,607.97,557.01,513.38,397.65,406.35,484.53,489.01,366.53,452.89,457.32,471.26,353.59,468.36,437.51,417.78,306.86,363.34,370.51,398.19,300.67,351.69,379.71,329.1,259.73,303.86,367.7,328.91,Upgrade
Other Operating Expenses,318.5,342,377,409,402.3,432,398,394,357,375.12,412.46,307.42,306,307.53,299.46,271.97,244.04,276.45,278.17,277.04,264.24,284.38,430.25,278.12,261,378.12,262.74,256.38,223.47,239.23,247.83,249.3,234.48,222.55,259.09,248.16,220.63,214.92,256.62,265.75,Upgrade
Operating Expenses,318.5,342,377,409,402.3,432,398,394,357,375.12,412.46,307.42,306,307.53,299.46,271.97,244.04,276.45,278.17,277.04,264.24,284.38,430.25,278.12,261,378.12,262.74,256.38,223.47,239.23,247.83,249.3,234.48,222.55,259.09,248.16,220.63,214.92,256.62,265.75,Upgrade
Operating Income,88.7,88,21,160,149.5,353,623,415,323,397.49,259.35,238.74,84.42,300.44,257.55,241.41,153.61,129.9,206.36,211.97,102.29,168.51,27.07,193.14,92.6,90.24,174.77,161.4,83.39,124.11,122.68,148.89,66.19,129.14,120.62,80.94,39.1,88.94,111.08,63.16,Upgrade
Interest Expense / Income,29.1,30,24,19,19.7,20,19,16,17,15.48,15.98,13.44,12.1,11.94,12.21,11.91,11.94,10.98,10.77,10,9.22,9.18,9.11,8.99,8.72,8.79,7.84,7.79,7.8,7.31,7.29,7.27,7.24,6.24,4.67,4.49,3.85,4.09,4.03,3.93,Upgrade
Other Expense / Income,0.1,-,1,1,0.2,1,5,2,-,1.01,1.31,1.04,0.64,1.17,0.99,0.62,0.23,1.53,-0.02,-0.05,-0.06,-0.41,-0.2,-0.36,-0.21,-0.06,0.07,0.3,0.17,0.17,0.22,0.23,0.16,0.23,0.23,0.09,0.13,0.16,0.21,0.28,Upgrade
Pretax Income,59.5,58,-4,140,129.6,332,599,397,306,381,242.06,224.26,71.68,287.33,244.35,228.88,141.44,117.39,195.61,202.02,93.12,159.75,18.16,184.52,84.09,81.51,166.86,153.31,75.42,116.63,115.18,141.39,58.78,122.67,115.72,76.36,35.13,84.69,106.84,58.95,Upgrade
Income Tax,13.6,4,-6,31,31.7,72,154,95,72,101.14,59.78,53.6,8.48,63.74,57.17,42.23,31.87,25.74,44.13,46.88,16.89,-61.38,-3.22,62.26,25.81,0.49,59.54,51.16,22.92,35.06,39.64,48.04,21.15,42.16,35.02,25.77,13.4,33.06,42.95,24.28,Upgrade
Net Income,45.9,54,2,109,97.9,260,445,302,234,279.86,182.28,170.66,63.2,223.59,187.18,186.66,109.58,91.65,151.48,155.14,76.23,221.13,21.38,122.26,58.28,81.02,107.32,102.15,52.5,81.57,75.54,93.35,37.63,80.51,80.71,50.59,21.72,51.63,63.89,34.67,Upgrade
Net Income Growth,-53.12%,-79.23%,-99.55%,-63.91%,-58.16%,-7.10%,144.13%,76.97%,270.23%,25.17%,-2.62%,-8.57%,-42.32%,143.96%,23.57%,20.31%,43.75%,-58.55%,608.41%,26.90%,30.79%,172.92%,-80.08%,19.68%,11.01%,-0.67%,42.07%,9.43%,39.51%,1.31%,-6.40%,84.50%,73.23%,55.95%,26.32%,45.92%,-39.95%,-44.65%,-38.25%,-52.50%,Upgrade
Shares Outstanding (Basic),105,105,105,108,110,111,111,111,111,112,113,112,114,113,113,113,113,113,113,113,112,112,112,112,111,111,111,110,110,109,109,108,108,107,107,107,106,106,106,108,Upgrade
Shares Outstanding (Diluted),105,105,106,108,111,112,111,111,111,112,113,113,114,114,114,113,113,113,113,113,113,113,113,112,112,112,111,111,111,110,110,110,109,109,109,109,108,108,108,110,Upgrade
