Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.9,0.83,0.22,0.17,0.15,0,0,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0,0,0
Operating Expenses,0.95,0.88,0.27,0.22,0.2,0,0,0
Operating Income,-0.95,-0.88,-0.27,-0.22,-0.2,0,-0,-0
Other Expense / Income,-0.55,-0.75,-0.42,-0.07,-0.04,-,-,-
Pretax Income,-0.4,-0.12,0.14,-0.15,-0.16,0,-0,-0
Income Tax,0.1,0.23,0,0,0,0,0,0
Net Income,-0.51,-0.35,0.14,-0.15,-0.16,0,-0,-0
Shares Outstanding (Basic),10,11,11,11,6,2,2,2
Shares Outstanding (Diluted),10,11,11,11,6,2,2,2
Shares Change,59.38%,498.14%,497.42%,475.00%,-,-,-,-
EPS (Basic),-0.05,-0.03,0.01,-0.01,-0.03,-,-,-
EPS (Diluted),-0.05,-0.03,0.01,-0.01,-0.03,-,-,-
Free Cash Flow Per Share,-0.09,-0.03,-0.02,-0.01,-0.08,-0.00,-,-0.00
EBITDA,-0.4,-0.12,0.14,-0.15,-0.16,0,-0,-0
EBIT,-0.4,-0.12,0.14,-0.15,-0.16,0,-0,-0
