Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,54.62,55.69,64.18,65.2,62.37,58.99,61.48,59.33,56.04,54.9,58.05,47.06,44.39,53.11,54.6,51.53,42.63,41.79,41.28,41.85,41.16,39.7,35.19,35.08,32.8,29.8,33.27,29.9,26.63,25.66,27.88,23.13,23.34,22.28,22.05,23.08,18.79,20.81,20.48,22.7,Upgrade
Revenue Growth (YoY),-12.44%,-5.60%,4.40%,9.90%,11.29%,7.44%,5.91%,26.06%,26.26%,3.37%,6.31%,-8.67%,4.13%,27.11%,32.26%,23.14%,3.56%,5.25%,17.31%,19.29%,25.51%,33.22%,5.76%,17.31%,23.16%,16.13%,19.36%,29.28%,14.10%,15.16%,26.43%,0.23%,24.18%,7.06%,7.69%,1.68%,-12.12%,-10.34%,-5.51%,17.27%,Upgrade
Gross Profit,54.62,55.69,64.18,65.2,62.37,58.99,61.48,59.33,56.04,54.9,58.05,47.06,44.39,53.11,54.6,51.53,42.63,41.79,41.28,41.85,41.16,39.7,35.19,35.08,32.8,29.8,33.27,29.9,26.63,25.66,27.88,23.13,23.34,22.28,22.05,23.08,18.79,20.81,20.48,22.7,Upgrade
"Selling, General & Admin",24.94,26.14,26.45,25.75,25.83,26.43,24.36,23.2,22.57,25.42,24.18,21.25,22.25,22.18,22.22,22.24,19.2,18.35,18.6,17.94,19.04,18.38,16.81,16.16,15.47,15.24,16,13.35,13.11,13,13.66,10.73,10.98,11.06,10.53,10.59,9.78,10.18,9.63,9.83,Upgrade
Other Operating Expenses,9.58,5.73,11.91,10.61,9.44,7.06,9.99,10.19,9.61,5.63,9.23,9.18,8.9,8.47,7.84,9.35,10.53,7.76,7.02,7.01,6.8,7.91,7.7,6.32,6.05,7.34,8.08,7.6,6.16,4.27,8.58,5.92,5.09,4.61,4.83,5.82,4.74,5.43,4.43,4.96,Upgrade
Operating Expenses,34.52,31.87,38.35,36.37,35.27,33.49,34.35,33.39,32.17,31.04,33.41,30.43,31.15,30.65,30.06,31.58,29.74,26.12,25.62,24.94,25.84,26.29,24.51,22.49,21.52,22.59,24.08,20.95,19.27,17.27,22.24,16.65,16.07,15.67,15.35,16.41,14.51,15.61,14.06,14.8,Upgrade
Operating Income,20.09,23.81,25.83,28.83,27.1,25.51,27.13,25.94,23.87,23.86,24.64,16.63,13.24,22.46,24.54,19.95,12.89,15.67,15.66,16.91,15.33,13.41,10.68,12.59,11.28,7.21,9.19,8.95,7.36,8.39,5.64,6.48,7.27,6.61,6.7,6.67,4.28,5.2,6.41,7.9,Upgrade
Pretax Income,20.09,23.81,25.83,28.83,27.1,25.51,27.13,25.94,23.87,23.86,24.64,16.63,13.24,22.46,24.54,19.95,12.89,15.67,15.66,16.91,15.33,13.41,10.68,12.59,11.28,7.21,9.19,8.95,7.36,8.39,5.64,6.48,7.27,6.61,6.7,6.67,4.28,5.2,6.41,7.9,Upgrade
Income Tax,1.86,2.65,2.01,3.98,3.54,4.08,4.06,3.77,3.45,1.97,4.33,1.99,1.58,3.92,4,3.31,2.07,2.54,2.6,2.79,2.52,5.76,2.51,3.52,3.05,1.61,2.59,2.63,1.98,2.22,1.35,1.75,1.91,1.66,1.74,1.89,0.86,1.09,1.63,2.24,Upgrade
Net Income,18.23,21.17,23.82,24.86,23.56,21.43,23.07,22.17,20.42,21.89,20.31,14.64,11.66,18.54,20.54,16.64,10.82,13.13,13.07,14.12,12.8,7.65,8.17,9.07,8.22,5.6,6.6,6.33,5.38,6.18,4.29,4.73,5.36,4.95,4.96,4.78,3.42,4.12,4.79,5.67,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.07,0.1,Upgrade
Net Income Common,18.23,21.17,23.82,24.86,23.56,21.43,23.07,22.17,20.42,21.89,20.31,14.64,11.66,18.54,20.54,16.64,10.82,13.13,13.07,14.12,12.8,7.65,8.17,9.07,8.22,5.6,6.6,6.33,5.34,6.14,4.26,4.7,5.33,4.92,4.92,4.75,3.39,4.05,4.72,5.57,Upgrade
Net Income Growth,-22.64%,-1.21%,3.25%,12.11%,15.38%,-2.14%,13.58%,51.47%,75.22%,18.07%,-1.10%,-12.04%,7.76%,41.19%,57.19%,17.90%,-15.53%,71.67%,59.89%,55.59%,55.69%,36.53%,23.77%,43.41%,54.04%,-8.81%,55.09%,34.68%,0.23%,24.95%,-13.44%,-1.03%,57.32%,21.32%,4.22%,-14.78%,-34.44%,-19.17%,-1.42%,15.92%,Upgrade
Shares Outstanding (Basic),44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,38,38,38,38,38,38,33,33,33,33,33,27,27,27,21,21,21,21,21,21,19,20,20,20,Upgrade
Shares Change,0.03%,0.95%,-0.86%,-0.86%,-0.81%,-0.82%,0.17%,0.40%,-2.15%,-2.42%,-2.63%,-2.84%,16.96%,17.21%,17.46%,17.53%,0.09%,0.38%,15.13%,15.14%,15.16%,14.93%,0.22%,23.48%,23.93%,23.87%,59.65%,29.80%,29.60%,29.55%,0.49%,0.33%,6.74%,5.92%,5.92%,5.84%,0.16%,0.02%,0.12%,15.99%,Upgrade
EPS (Basic),0.42,0.48,0.55,0.57,0.54,0.49,0.53,0.50,0.46,0.50,0.46,0.33,0.26,0.41,0.46,0.37,0.28,0.35,0.34,0.37,0.33,0.20,0.24,0.27,0.25,0.17,0.21,0.23,0.20,0.23,0.16,0.23,0.26,0.24,0.24,0.23,0.17,0.21,0.24,0.29,Upgrade
EPS (Diluted),0.42,0.49,0.55,0.57,0.54,0.49,0.52,0.50,0.46,0.49,0.46,0.33,0.26,0.42,0.46,0.37,0.28,0.34,0.34,0.37,0.33,0.20,0.24,0.27,0.25,0.16,0.20,0.23,0.20,0.23,0.16,0.22,0.24,0.23,0.23,0.22,0.17,0.20,0.23,0.28,Upgrade
