Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.38,0.41,0.5,0.28,0.01,0,0,0
Other Operating Expenses,0.05,0.05,0.1,0,0,0,0,0
Operating Expenses,0.43,0.46,0.6,0.28,0.01,0,0,0
Operating Income,-0.43,-0.46,-0.6,-0.28,-0.01,-0,-0,-0
Other Expense / Income,-0.74,-0.4,-0.12,-0.01,-,-,-,-
Pretax Income,0.31,-0.06,-0.48,-0.27,-0.01,-0,-0,-0
Income Tax,0.22,0,0,0,0,0,0,0
Net Income,0.09,-0.06,-0.48,-0.27,-0.01,-0,-0,-0
Shares Outstanding (Basic),12,12,12,7,3,5,5,5
Shares Outstanding (Diluted),12,12,12,7,3,5,5,5
Shares Change,365.74%,132.63%,132.63%,42.20%,-,-,-,-
EPS (Basic),0.04,0.01,-0.04,-0.04,-,-,-,-
EPS (Diluted),0.04,0.01,-0.04,-0.04,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.02,-0.10,-0.04,-,-,-
Effective Tax Rate,71.10%,-,-,-,-,-,-,-
EBITDA,0.31,-0.06,-0.48,-0.27,-0.01,-0,-0,-0
EBIT,0.31,-0.06,-0.48,-0.27,-0.01,-0,-0,-0
