Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Revenue,41.22,46.98,52.91,48.75,51.99,54.59,56.44,58.52,69.77,62.17,62.15,58.02,41.59,44.35,44.37,40.68,35.02,36.94,34.13,32.57,30.67,32.83,32.98,32.04,28.62,34.38,35.06,29.74,24.74,26.84,27.52,15.95,16.03
Revenue Growth (YoY),-20.72%,-13.93%,-6.26%,-16.69%,-25.48%,-12.20%,-9.19%,0.86%,67.76%,40.19%,40.08%,42.62%,18.77%,20.05%,30.00%,24.92%,14.19%,12.53%,3.50%,1.63%,7.14%,-4.53%,-5.95%,7.75%,15.67%,28.08%,27.43%,86.42%,54.36%,-,-,-,-
Gross Profit,41.22,46.98,52.91,48.75,51.99,54.59,56.44,58.52,69.77,62.17,62.15,58.02,41.59,44.35,44.37,40.68,35.02,36.94,34.13,32.57,30.67,32.83,32.98,32.04,28.62,34.38,35.06,29.74,24.74,26.84,27.52,15.95,16.03
"Selling, General & Admin",26.82,28.67,29.35,29.69,30.03,33.26,33.01,33.46,36.27,34.98,37.81,35.39,29.3,31.7,30.84,28.79,27.19,27.02,22.52,23.31,22.55,23.57,23.34,21.91,20.26,23.76,23.63,21.22,20.63,19.57,19.36,12.03,12.21
Other Operating Expenses,4.69,5.98,5.12,5.27,4.81,4.93,5.17,5.14,6.54,6.31,7.89,8.39,5.86,6.16,5.36,6.29,5.41,9.58,4.86,5.21,5.05,6.12,5.1,4.97,4.15,5.6,5.98,9.55,3.93,4.59,4.4,2.57,2.31
Operating Expenses,31.51,34.64,34.47,34.95,34.84,38.19,38.18,38.6,42.8,41.29,45.7,43.78,35.16,37.86,36.2,35.08,32.59,36.59,27.38,28.52,27.6,29.69,28.44,26.88,24.41,29.36,29.61,30.77,24.56,24.16,23.75,14.6,14.52
Operating Income,9.71,12.34,18.44,13.8,17.16,16.4,18.26,19.92,26.97,20.88,16.45,14.24,6.43,6.49,8.17,5.6,2.42,0.35,6.75,4.05,3.07,3.13,4.54,5.17,4.22,5.02,5.45,-1.03,0.19,2.68,3.76,1.35,1.51
Other Expense / Income,-,-,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,0.28,0.36,-,0.35
Pretax Income,9.71,12.34,18.44,13.8,17.16,16.4,17.17,19.92,26.97,20.88,16.45,14.24,6.43,6.49,8.17,5.6,2.42,0.35,6.75,4.05,3.07,3.13,4.54,5.17,4.22,5.02,5.45,-1.43,0.19,2.4,3.41,1.35,1.17
Income Tax,2.42,2.76,4.68,3.81,4.89,3.81,4.91,5.65,7.58,3.28,4.56,3.67,1.71,2.18,1.05,0.82,0.36,0.24,0.82,0.95,0.81,1.54,1.7,1.95,1.48,2.08,1.9,-0.75,0.06,0.86,1.17,0.29,0.24
