Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+53 Quarters
Revenue,143.16,154.43,157.34,151.08,157.36,144.92,150.91,144.65,128.08,104.67,113.15,103.55,104.56,125.49,127.15,128.31,128.03,130.71,129.29,135.79,137.42,139.24,134.11,130.18,126.91,134.6,111.12,80.57,79.88,77.84,79.34,76.87,74.67,75.1,75.02,74.99,73.04,67.29,74.42,71.92,Upgrade
Revenue Growth (YoY),-9.03%,6.57%,4.26%,4.45%,22.86%,38.45%,33.37%,39.69%,22.50%,-16.59%,-11.01%,-19.29%,-18.34%,-3.99%,-1.66%,-5.51%,-6.83%,-6.13%,-3.59%,4.31%,8.28%,3.45%,20.69%,61.57%,58.87%,72.91%,40.05%,4.81%,6.98%,3.65%,5.76%,2.52%,2.24%,11.62%,0.81%,4.26%,17.51%,0.31%,26.14%,15.00%,Upgrade
Gross Profit,143.16,154.43,157.34,151.08,157.36,144.92,150.91,144.65,128.08,104.67,113.15,103.55,104.56,125.49,127.15,128.31,128.03,130.71,129.29,135.79,137.42,139.24,134.11,130.18,126.91,134.6,111.12,80.57,79.88,77.84,79.34,76.87,74.67,75.1,75.02,74.99,73.04,67.29,74.42,71.92,Upgrade
"Selling, General & Admin",72.57,69.54,69.08,68.13,62.19,61.76,63.97,58.71,56.73,56.16,56.24,54.14,58.48,56.5,58.36,55.99,56.57,53.96,54.02,58.33,56.14,55.63,52.2,50.73,51.8,52.29,46.15,32.55,31.98,31.69,32.23,32.01,31.88,30.1,29.73,28.68,28.79,27.52,26,25.72,Upgrade
Other Operating Expenses,17.78,12.43,12.51,10.39,13.19,9.71,8.89,11.47,11,11.05,9.71,10.02,11.11,21.54,9.3,15.38,14.26,16.23,13.44,13.3,12.31,17.4,9.64,10.26,13.74,16.57,20.24,7.53,8.07,7.25,4.53,6.6,7.2,6.54,9.7,9.06,7.49,10.65,9.75,8.71,Upgrade
Operating Expenses,90.35,81.97,81.59,78.52,75.37,71.47,72.86,70.17,67.73,67.22,65.95,64.16,69.59,78.03,67.66,71.37,70.83,70.19,67.46,71.63,68.45,73.03,61.84,60.98,65.54,68.86,66.39,40.08,40.05,38.94,36.76,38.61,39.08,36.63,39.42,37.74,36.28,38.17,35.75,34.43,Upgrade
Operating Income,52.8,72.46,75.76,72.56,81.99,73.45,78.06,74.48,60.35,37.45,47.2,39.4,34.97,47.46,59.49,56.94,57.2,60.52,61.84,64.16,68.97,66.22,72.27,69.19,61.37,65.74,44.73,40.49,39.83,38.91,42.59,38.26,35.59,38.47,35.6,37.25,36.76,29.12,38.67,37.49,Upgrade
Other Expense / Income,-,2.55,2.33,1.84,-,2.77,2.65,2.95,2.7,3.85,7.46,2.87,2.55,-7.6,2.33,-,-,-,-,-,-,-,-,3.06,2.16,-2.13,1.46,0.27,-,-,-,-,-,1.56,-,-,-,-,-,-,Upgrade
Pretax Income,52.8,69.91,73.43,70.72,81.99,70.68,75.41,71.53,57.65,33.61,39.74,36.52,32.42,55.06,57.16,56.94,57.2,60.52,61.84,64.16,68.97,66.22,72.27,66.14,59.21,67.87,43.27,40.22,39.83,38.91,42.59,38.26,35.59,36.91,35.6,37.25,36.76,29.12,38.67,37.49,Upgrade
Income Tax,13.68,18.21,19.68,18.63,21.25,19.06,19.91,17.77,13.97,5.29,9.25,9.77,6.46,12.05,14.57,14.26,14.44,16.07,15.46,16.63,17.73,48.23,27.71,25.45,23,27.24,17.17,16.83,16.21,16.04,17.5,15.32,14.24,14.23,14.18,14.94,14.56,11.05,15.12,14.82,Upgrade
Net Income,39.12,51.7,53.75,52.09,60.74,51.62,55.5,53.76,43.69,28.32,30.49,26.75,25.95,43.01,42.59,42.68,42.76,44.45,46.38,47.53,51.23,17.98,44.56,40.69,36.21,40.63,26.11,23.39,23.62,22.87,25.09,22.94,21.36,22.69,21.42,22.31,22.2,18.07,23.55,22.67,Upgrade
Net Income Growth,-35.59%,0.15%,-3.16%,-3.12%,39.03%,82.29%,82.02%,100.96%,68.33%,-34.16%,-28.41%,-37.32%,-39.30%,-3.24%,-8.16%,-10.20%,-16.54%,147.16%,4.07%,16.82%,41.49%,-55.74%,70.71%,73.95%,53.28%,77.67%,4.04%,1.96%,10.60%,0.80%,17.14%,2.82%,-3.78%,25.54%,-9.05%,-1.58%,27.12%,-16.05%,28.01%,45.39%,Upgrade
Shares Outstanding (Basic),119,119,119,120,120,120,123,124,123,123,123,123,124,127,127,127,127,129,130,136,136,135,135,135,135,135,80,80,80,80,80,80,80,79,79,79,79,79,79,79,Upgrade
Shares Change,-0.51%,-0.60%,-2.78%,-2.57%,-2.56%,-2.48%,-0.29%,0.30%,-0.82%,-2.71%,-2.71%,-2.74%,-1.86%,-1.61%,-2.53%,-6.53%,-6.55%,-4.96%,-3.97%,0.20%,0.21%,0.19%,70.02%,69.90%,69.96%,69.99%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.08%,0.29%,0.37%,0.65%,0.84%,1.57%,1.52%,1.26%,Upgrade
EPS (Basic),0.33,0.43,0.45,0.43,0.51,0.43,0.45,0.44,0.35,0.23,0.25,0.22,0.21,0.34,0.34,0.34,0.34,0.35,0.36,0.36,0.38,0.13,0.33,0.30,0.27,0.30,0.22,0.29,0.30,0.29,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.22,0.30,0.29,Upgrade
EPS (Diluted),0.33,0.43,0.45,0.43,0.50,0.43,0.45,0.43,0.35,0.23,0.25,0.22,0.21,0.34,0.34,0.34,0.34,0.35,0.36,0.36,0.38,0.13,0.33,0.30,0.27,0.31,0.22,0.29,0.30,0.29,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.23,0.30,0.29,Upgrade
EPS Growth,-34.00%,0%,0%,0%,42.86%,86.96%,80.00%,95.45%,66.67%,-32.35%,-26.47%,-35.29%,-38.24%,-2.86%,-5.56%,-5.56%,-10.53%,169.23%,9.09%,20.00%,40.74%,-58.06%,50.00%,3.45%,-10.00%,6.90%,-31.25%,0%,11.11%,3.57%,18.52%,3.57%,-3.57%,21.74%,-10.00%,-3.45%,27.27%,-14.81%,25.00%,45.00%,Upgrade
