Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Revenue,6.15,6.43,5.94,6.67,5.94,7.08,7.13,7.22,7.66,8.59,6.07,4.13,3.62,4.04,3.68,2.74,2.66,2.74,2.83,2.7,2.43,2.5,2.59,2.56,2.01,2.43,3.13,2.35,2.28,2.15
Revenue Growth (YoY),3.50%,-9.14%,-16.68%,-7.71%,-22.45%,-17.63%,17.51%,75.04%,111.69%,112.83%,64.90%,50.69%,36.26%,47.51%,29.96%,1.37%,9.30%,9.31%,9.44%,5.63%,21.02%,2.88%,-17.35%,8.62%,-11.85%,13.22%,-,-,-,-
Gross Profit,6.15,6.43,5.94,6.67,5.94,7.08,7.13,7.22,7.66,8.59,6.07,4.13,3.62,4.04,3.68,2.74,2.66,2.74,2.83,2.7,2.43,2.5,2.59,2.56,2.01,2.43,3.13,2.35,2.28,2.15
"Selling, General & Admin",4.19,4.09,3.73,4.33,4.62,4.12,3.74,4.03,3.99,4.19,2.82,2.85,2.6,2.66,2.75,1.91,1.66,1.51,1.68,1.73,1.53,1.42,1.54,1.7,1.4,1.4,1.67,1.33,1.4,1.25
Other Operating Expenses,1.54,1.5,1.39,1.61,0.9,1.48,1.56,1.4,0.83,1.55,1.16,1.08,0.73,0.95,0.4,0.79,0.85,0.86,0.88,0.82,0.63,0.76,0.79,0.72,0.61,0.67,0.66,0.82,0.71,0.54
Operating Expenses,5.73,5.59,5.12,5.93,5.52,5.6,5.3,5.43,4.82,5.74,3.98,3.93,3.33,3.6,3.14,2.7,2.51,2.38,2.56,2.56,2.16,2.18,2.33,2.42,2.01,2.06,2.33,2.15,2.11,1.78
Operating Income,0.42,0.84,0.82,0.73,0.42,1.48,1.83,1.79,2.84,2.85,2.09,0.2,0.29,0.43,0.53,0.04,0.14,0.36,0.27,0.15,0.27,0.32,0.25,0.14,0,0.37,0.8,0.21,0.17,0.37
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0
Pretax Income,0.42,0.84,0.82,0.73,0.42,1.48,1.83,1.79,2.84,2.85,2.09,0.2,0.29,0.43,0.53,0.04,0.14,0.36,0.27,0.15,0.27,0.32,0.25,0.14,0,0.37,0.8,0.21,0.17,0.37
Income Tax,0.13,0.13,0.18,0.13,0.07,0.36,0.54,0.49,0.78,0.79,0.59,0.05,0.08,0.1,0.13,-0.02,0,0.09,0.05,0.01,0.09,0.09,0.08,0.04,-0.04,0.12,0.3,0.04,0.05,0.13
Net Income,0.28,0.71,0.64,0.6,0.35,1.12,1.28,1.3,2.06,2.06,1.5,0.15,0.21,0.33,0.41,0.06,0.14,0.27,0.22,0.13,0.18,0.24,0.18,0.1,0.04,0.25,0.5,0.17,0.12,0.24
Net Income Growth,-19.09%,-36.88%,-50.08%,-53.84%,-82.96%,-45.86%,-14.30%,773.83%,895.17%,519.52%,266.67%,140.32%,48.92%,23.33%,82.96%,-53.03%,-22.35%,14.41%,24.58%,34.69%,358.97%,-6.72%,-63.91%,-42.01%,-66.95%,4.55%,-,-,-,-
Shares Outstanding (Basic),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-
Shares Change,2.91%,2.99%,-0.55%,-0.52%,-2.08%,-2.65%,-2.90%,-4.17%,-2.08%,-1.49%,-0.82%,0.67%,0.43%,0.43%,3.53%,3.35%,3.53%,3.53%,-,-,-,-,-,-,-,-,-,-,-,-
EPS (Basic),0.14,0.35,0.33,0.30,0.18,0.56,0.65,0.66,1.02,1.02,0.73,0.07,0.10,0.16,0.20,0.03,0.07,0.13,0.11,0.07,0.08,0.11,-0.06,0.05,-,-,-,-,-,-
EPS (Diluted),0.12,0.34,0.31,0.29,0.16,0.54,0.63,0.65,1.02,1.02,0.73,0.07,0.10,0.16,0.20,0.03,0.07,0.13,0.11,0.07,0.08,0.11,-0.06,0.05,-,-,-,-,-,-
EPS Growth,-25.00%,-37.04%,-50.79%,-55.38%,-84.31%,-47.06%,-13.70%,828.57%,920.00%,537.50%,265.00%,133.33%,42.86%,23.08%,81.82%,-57.14%,-12.50%,18.18%,-,40.00%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.78,2.06,-2.18,13.28,13.53,0.22,-5.56,11.04,9.04,-24.26,-2.19,0.37,0.75,-1.84,-12.69,4.59,0.33,-0.69,-2.28,1.79,-0.68,1.34,-2.92,0.19,8.06,0.34,-4.97,-,-,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.500,-,-,-,-,-,-,-,-,-,-
