Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.34,0.24,0.25,0.29,0.36,0.01,0
Operating Expenses,0.34,0.24,0.25,0.29,0.36,0.01,0
Operating Income,-0.34,-0.24,-0.25,-0.29,-0.36,-0.01,0
Other Expense / Income,-0.53,-0.35,-0.06,0.99,-0.01,-0,-
Pretax Income,0.19,0.11,-0.2,-1.28,-0.34,-0.01,0
Income Tax,0.24,0.03,0,0,0,0,0
Net Income,-0.05,0.08,-0.2,-1.28,-0.34,-0.01,0
Shares Outstanding (Basic),14,14,14,17,5,3,3
Shares Outstanding (Diluted),14,14,14,17,5,3,3
Shares Change,191.59%,475.00%,475.00%,-,-,-,-
EPS (Basic),-,0.01,-0.01,-0.07,-0.07,-,-
EPS (Diluted),-,0.01,-0.01,-0.07,-0.07,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.13,0.01,-
Effective Tax Rate,124.21%,26.73%,-,-,-,-,-
EBITDA,0.19,0.11,-0.2,-1.28,-0.34,-0.01,0
EBIT,0.19,0.11,-0.2,-1.28,-0.34,-0.01,0
