Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.31,1.57,0.32,0.3,0.27,0,0,0.04
Operating Expenses,2.31,1.57,0.32,0.3,0.27,0,0,0.04
Operating Income,-2.31,-1.57,-0.32,-0.3,-0.27,-0,-0,-0.04
Other Expense / Income,-1.57,-1.98,-3.26,-3.96,1.12,-,-,-
Pretax Income,-0.75,0.4,2.94,3.66,-1.39,-0,-0,-0.04
Net Income,-0.75,0.4,2.94,3.66,-1.39,-0,-0,-0.04
Shares Outstanding (Basic),31,31,31,31,19,7,7,7
Shares Outstanding (Diluted),31,31,31,31,19,7,7,7
Shares Change,64.29%,360.49%,360.00%,360.00%,-,-,-,-
EPS (Basic),-0.02,-,0.10,0.12,-0.07,-,-,-0.01
EPS (Diluted),-0.02,-,0.10,0.12,-0.07,-,-,-0.01
Free Cash Flow Per Share,-0.02,-0.01,0.00,-0.01,-0.07,-,-,-0.00
EBITDA,-0.75,0.4,2.94,3.66,-1.39,-0,-0,-0.04
EBIT,-0.75,0.4,2.94,3.66,-1.39,-0,-0,-0.04
