Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Revenue,38.36,26.82,50.66,52.04,50.07,51.63,58.89,61.13,44.01,39.63,29.76,22.07,17.43,26.08,22.1,25.18,0,52.19,0,0,0,0
Revenue Growth (YoY),-23.38%,-48.05%,-13.98%,-14.86%,13.77%,30.27%,97.88%,177.00%,152.48%,51.99%,34.65%,-12.37%,-,-50.04%,-,-,-,-,-,-,-,-
Cost of Revenue,5.43,4.9,5.2,5.09,4.79,4.74,6.38,4.14,3.36,2.97,2.5,1.83,2.5,2.29,1.92,2.07,0,4.6,0,0,0,0
Gross Profit,32.93,21.93,45.46,46.96,45.28,46.89,52.51,56.99,40.65,36.67,27.27,20.24,14.94,23.79,20.18,23.12,0,47.59,0,0,0,0
"Selling, General & Admin",14.6,15.31,15.32,11.96,11.22,9.94,10.51,11.34,10.61,11.7,7.13,15.95,5.65,6.13,5.07,5.2,0.1,18.01,0.12,0.1,0.09,0.03
Research & Development,1.23,1.84,2.36,2.19,1.82,1.72,1.27,0.77,0.59,0.68,0.58,0.35,0.36,0.3,0.29,0.33,0,0.8,0,0,0,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0.13,0,0,-0,-0,-0.19,-0,-0,0.05,-0.32,0.05,0.05,0.05,0
Operating Expenses,15.83,17.15,17.67,14.15,13.04,11.66,11.77,12.11,11.33,12.38,7.71,16.29,6.01,6.24,5.36,5.53,0.15,18.49,0.17,0.15,0.14,0.03
Operating Income,17.1,4.77,27.79,32.81,32.24,35.23,40.74,44.88,29.32,24.28,19.55,3.95,8.93,17.54,14.82,17.58,-0.15,29.1,-0.17,-0.15,-0.14,-0.03
Interest Expense / Income,2.39,2.3,1.61,1.12,0.8,0.49,0.96,1.12,3.29,3.62,3.57,3.64,0.76,0.08,0.07,0.08,0,0.34,0,0,0,0
Other Expense / Income,-2.06,-1.63,-0.08,-0.02,-0.03,-0.05,-0.04,-55.48,8.69,4.27,83.09,48.76,-0.02,-0.01,-0.01,-0.01,-1.52,2.7,-1.22,-1.05,-0.44,-
Pretax Income,16.77,4.1,26.27,31.71,31.46,34.79,39.82,99.23,17.33,16.39,-67.11,-48.45,8.18,17.47,14.76,17.51,1.37,26.06,1.05,0.9,0.3,-0.03
Income Tax,4.24,8.29,1.74,8.58,8.31,6.95,10.4,23.27,4.47,1.19,4.02,1.35,0.01,0.03,0.04,0.02,0.31,-0.5,0.31,0.13,0.09,0
